Column1;Column2;Column3;Column4;Column5;Column6;Column7
02/01/2023;17:00:00;12509.551958;12540.481397;12431.384832;12435.602483;5251
02/01/2023;17:15:00;12435.321306;12438.133073;12420.981294;12424.355414;2066
02/01/2023;17:30:00;12425.480121;12428.854242;12413.951876;12424.074238;1450
02/01/2023;17:45:00;12423.793061;12432.509539;12416.763643;12430.541302;1160
02/01/2023;18:00:00;12430.541302;12432.228362;12386.396558;12393.707153;2217
02/01/2023;18:15:00;12393.707153;12400.736571;12388.364795;12391.457739;1257
02/01/2023;18:30:00;12391.738916;12407.203635;12390.333032;12393.707153;1222
02/01/2023;18:45:00;12393.144799;12399.330687;12366.433012;12368.682425;2239
02/01/2023;19:00:00;12368.963602;12368.963602;12334.660043;12344.501228;3663
02/01/2023;19:15:00;12344.501228;12350.687116;12317.78944;12325.100035;2277
02/01/2023;19:30:00;12324.537681;12341.408284;12320.601207;12340.845931;1594
02/01/2023;19:45:00;12340.845931;12359.403594;12331.848276;12355.46712;1647
02/01/2023;20:00:00;12355.185943;12363.340068;12347.031818;12350.124762;1283
02/01/2023;20:15:00;12351.249469;12365.308305;12344.220051;12362.496538;1125
02/01/2023;20:30:00;12363.058891;12387.802442;12359.122417;12386.958912;1961
02/01/2023;20:45:00;12386.958912;12390.333032;12378.52361;12382.460084;951
02/01/2023;21:00:00;12382.460084;12393.988329;12377.68008;12388.645972;1096
02/01/2023;21:15:00;12388.927149;12396.237743;12385.271851;12393.707153;724
02/01/2023;21:30:00;12394.269506;12404.673044;12390.051855;12399.611864;1310
02/01/2023;21:45:00;12399.611864;12411.140109;12399.611864;12408.609518;1115
02/01/2023;22:00:00;12409.453049;12413.951876;12398.768334;12402.704808;953
02/01/2023;22:15:00;12402.704808;12409.453049;12401.580101;12408.047165;518
02/01/2023;22:30:00;12408.047165;12410.577755;12401.861277;12402.985984;540
02/01/2023;22:45:00;12403.267161;12404.954221;12395.394213;12396.51892;591
02/01/2023;23:00:00;12396.800097;12412.827169;12396.237743;12409.734225;746
02/01/2023;23:15:00;12409.453049;12417.88835;12402.704808;12403.267161;820
02/01/2023;23:30:00;12404.391868;12434.758953;12404.391868;12429.978949;1701
02/01/2023;23:45:00;12431.103656;12437.008366;12423.793061;12428.573065;966
03/01/2023;00:00:00;12427.729535;12427.729535;12417.325997;12426.323651;978
03/01/2023;00:15:00;12427.167182;12443.475431;12426.042475;12440.382487;1341
03/01/2023;00:30:00;12440.10131;12444.881314;12413.389523;12414.233053;1625
03/01/2023;00:45:00;12414.514229;12429.416595;12410.296579;12429.135419;1111
03/01/2023;01:00:00;12429.135419;12435.88366;12410.015402;12415.076583;2116
03/01/2023;01:15:00;12414.795406;12426.886005;12411.702462;12425.480121;955
03/01/2023;01:30:00;12426.323651;12446.568375;12423.793061;12442.069547;1873
03/01/2023;01:45:00;12442.631901;12470.749572;12437.008366;12469.062512;2309
03/01/2023;02:00:00;12468.781335;12487.901352;12444.881314;12447.693082;5604
03/01/2023;02:15:00;12447.130728;12470.468395;12444.037784;12469.624865;2959
03/01/2023;02:30:00;12469.906042;12505.615484;12461.189564;12500.554304;4287
03/01/2023;02:45:00;12500.273127;12521.36138;12499.429597;12514.331963;3914
03/01/2023;03:00:00;12514.894316;12540.481397;12510.676665;12539.637867;6740
03/01/2023;03:15:00;12539.919043;12552.290819;12527.828445;12537.66963;3793
03/01/2023;03:30:00;12536.544923;12556.227293;12535.701393;12547.510815;2695
03/01/2023;03:45:00;12548.354345;12559.88259;12545.823754;12559.88259;2335
03/01/2023;04:00:00;12559.88259;12564.100241;12530.359035;12531.764919;2627
03/01/2023;04:15:00;12532.608449;12538.794337;12509.270782;12517.14373;3037
03/01/2023;04:30:00;12517.14373;12532.327272;12513.207256;12530.359035;2286
03/01/2023;04:45:00;12530.359035;12546.948461;12527.547268;12532.608449;1622
03/01/2023;05:00:00;12533.170802;12539.35669;12510.676665;12514.050786;2108
03/01/2023;05:15:00;12513.769609;12519.67432;12508.989605;12515.737846;1490
03/01/2023;05:30:00;12516.581376;12521.642557;12448.255435;12453.316616;3691
03/01/2023;05:45:00;12453.035439;12467.094275;12433.634246;12459.78368;4732
03/01/2023;06:00:00;12459.221327;12460.62721;12430.822479;12456.128383;3888
03/01/2023;06:15:00;12456.40956;12476.93546;12450.223672;12465.969568;3013
03/01/2023;06:30:00;12465.126038;12493.243709;12464.563684;12488.182528;2405
03/01/2023;06:45:00;12488.182528;12488.463705;12462.876624;12481.15311;2887
