Column1;Column2;Column3;Column4;Column5;Column6;Column7
01/01/2025;17:00:00;21927.625319;21980.720091;21901.593416;21926.594353;6512
01/01/2025;18:00:00;21925.047903;21926.594353;21775.81551;21888.190852;12103
01/01/2025;19:00:00;21889.479561;21973.503326;21889.479561;21954.430447;8776
01/01/2025;20:00:00;21953.657222;21993.607172;21946.95594;21982.524282;5438
01/01/2025;21:00:00;21982.008799;22000.566195;21953.914963;21966.286561;5275
01/01/2025;22:00:00;21966.286561;21996.184588;21946.182715;21984.328473;4749
01/01/2025;23:00:00;21985.101698;22038.454212;21980.977833;22032.268413;5858
02/01/2025;00:00:00;22032.783896;22059.331282;22017.3194;22051.856776;4779
02/01/2025;01:00:00;22051.599034;22061.393215;22007.009735;22019.123591;6196
02/01/2025;02:00:00;22018.608108;22087.940601;21978.142675;22037.423245;16972
02/01/2025;03:00:00;22036.392279;22068.352239;22011.391343;22065.259339;10485
02/01/2025;04:00:00;22065.517081;22074.022554;22020.927782;22060.362249;6712
02/01/2025;05:00:00;22060.61999;22134.849574;22032.268413;22132.5299;9231
02/01/2025;06:00:00;22131.756675;22155.984387;22076.857712;22108.302189;13725
02/01/2025;07:00:00;22107.786705;22131.241192;22067.063531;22080.723836;14877
02/01/2025;08:00:00;22080.981578;22083.301252;21821.951258;22053.660967;97770
02/01/2025;09:00:00;22054.949675;22108.044447;21866.540557;21936.130792;97678
02/01/2025;10:00:00;21937.161759;22018.865849;21842.312846;21976.338484;62750
02/01/2025;11:00:00;21976.338484;22003.401353;21633.542141;21728.391054;87195
02/01/2025;12:00:00;21729.164278;21743.340067;21637.666006;21699.266251;61500
02/01/2025;13:00:00;21699.523993;21800.300963;21679.162406;21716.277198;52517
02/01/2025;14:00:00;21715.503973;21852.107027;21714.215265;21824.528675;56838
02/01/2025;15:00:00;21825.044158;21860.097017;21824.270933;21838.446722;10980
02/01/2025;17:00:00;21842.828329;21844.890262;21798.754513;21818.858359;4252
02/01/2025;18:00:00;21818.085134;21898.500517;21808.290953;21896.696326;6082
02/01/2025;19:00:00;21896.954067;21907.00599;21862.674433;21881.231829;4060
02/01/2025;20:00:00;21881.747312;21908.036957;21878.396671;21900.304708;4514
02/01/2025;21:00:00;21900.820191;21918.346621;21900.304708;21905.975024;3217
02/01/2025;22:00:00;21907.00599;21913.44953;21880.200863;21880.974087;2022
02/01/2025;23:00:00;21882.262795;21889.221819;21864.220883;21883.03602;2612
03/01/2025;00:00:00;21882.778279;21914.99598;21876.076997;21894.892134;2625
03/01/2025;01:00:00;21894.892134;21912.160822;21867.313782;21903.913091;4596
03/01/2025;02:00:00;21903.655349;21934.326601;21869.891198;21894.376651;9402
03/01/2025;03:00:00;21894.892134;21947.213681;21885.613436;21929.944994;7168
03/01/2025;04:00:00;21928.914027;21931.491443;21884.324728;21894.634393;4501
03/01/2025;05:00:00;21895.407618;21910.614373;21876.334738;21904.686316;4125
03/01/2025;06:00:00;21904.428574;21904.428574;21865.251849;21900.046967;5939
03/01/2025;07:00:00;21899.531483;21932.264668;21884.324728;21885.097953;9761
03/01/2025;08:00:00;21885.613436;22098.250266;21885.355695;22044.382269;76084
03/01/2025;09:00:00;22044.897752;22104.693806;21919.893071;22039.485178;90262
03/01/2025;10:00:00;22038.454212;22157.788578;21997.988779;22128.663776;65292
03/01/2025;11:00:00;22129.437001;22152.376004;22105.467031;22135.880541;33931
03/01/2025;12:00:00;22135.365058;22197.996269;22113.972504;22175.315007;34771
03/01/2025;13:00:00;22175.572749;22226.86333;22162.427927;22201.34691;30748
03/01/2025;14:00:00;22201.34691;22201.34691;22139.746665;22174.026299;58055
03/01/2025;15:00:00;22173.768558;22179.954356;22141.550856;22158.561803;15439
05/01/2025;17:00:00;22199.027236;22211.914316;22167.582759;22190.779504;4765
05/01/2025;18:00:00;22192.325954;22203.151101;22143.355048;22161.39696;4538
05/01/2025;19:00:00;22161.654702;22172.995333;22147.736655;22166.294051;3782
05/01/2025;20:00:00;22165.520826;22185.109189;22148.50988;22175.572749;4529
05/01/2025;21:00:00;22176.345974;22183.820481;22166.809534;22174.541783;2242
05/01/2025;22:00:00;22175.057266;22190.521762;22169.902434;22189.490796;1694
05/01/2025;23:00:00;22189.748538;22219.131081;22186.91338;22205.986259;3255
06/01/2025;00:00:00;22206.501742;22222.997206;22196.707561;22216.553665;2935
06/01/2025;01:00:00;22216.295924;22245.162984;22207.274967;22233.049128;4979
06/01/2025;02:00:00;22233.049128;22294.649373;22232.275904;22288.205833;8472
06/01/2025;03:00:00;22287.174867;22344.135763;22285.886159;22340.52738;8638
06/01/2025;04:00:00;22340.011897;22365.012833;22325.578367;22342.07383;7847
06/01/2025;05:00:00;22341.300605;22418.365347;22312.175803;22402.90085;16703
