Column1;Column2;Column3;Column4;Column5;Column6;Column7
02/01/2018;00:00:00;2675.25;2696;2674.5;2693;1003194
03/01/2018;00:00:00;2693.75;2714.25;2692.25;2711;1119190
04/01/2018;00:00:00;2710.25;2729;2708.5;2723.75;1168202
05/01/2018;00:00:00;2725;2743.25;2723.75;2742.5;1144318
08/01/2018;00:00:00;2741.75;2748.5;2736.5;2746.75;914070
09/01/2018;00:00:00;2746.5;2760;2742.75;2752.25;1145427
10/01/2018;00:00:00;2749.75;2752;2736.5;2750.5;1297506
11/01/2018;00:00:00;2750;2770.5;2747.75;2769.5;1058070
12/01/2018;00:00:00;2768.75;2790;2766.75;2788.75;1371218
16/01/2018;00:00:00;2789.75;2808.5;2769.25;2782.5;1994269
17/01/2018;00:00:00;2782.75;2809.5;2779;2803.75;1549362
18/01/2018;00:00:00;2803.25;2808;2793.75;2796.25;1357879
19/01/2018;00:00:00;2797;2815;2791.75;2811;1375766
22/01/2018;00:00:00;2804;2838.25;2802;2835.25;1195211
23/01/2018;00:00:00;2835.25;2844.75;2828.75;2839.5;1292778
24/01/2018;00:00:00;2837;2855.25;2825.5;2841;1906689
25/01/2018;00:00:00;2840;2853.75;2830.75;2841.25;1470072
26/01/2018;00:00:00;2842.25;2876;2841.25;2874.5;1291423
29/01/2018;00:00:00;2874.25;2878.5;2851.5;2853.5;1422375
30/01/2018;00:00:00;2853.25;2858;2818.5;2824.5;2181499
31/01/2018;00:00:00;2823.25;2839.75;2813;2825.75;1894898
01/02/2018;00:00:00;2828.75;2837.25;2809.5;2822.5;1662546
02/02/2018;00:00:00;2826.5;2831;2755.25;2756.75;2554343
05/02/2018;00:00:00;2757;2763;2595.75;2607.75;4043910
06/02/2018;00:00:00;2624;2699.75;2529;2694.25;4841782
07/02/2018;00:00:00;2685.5;2726.75;2660.5;2668.25;2523602
08/02/2018;00:00:00;2664.75;2686.5;2577;2593.5;3146525
09/02/2018;00:00:00;2593.75;2637.75;2530.25;2619;3933555
12/02/2018;00:00:00;2628.25;2671.5;2620;2655.25;2179160
13/02/2018;00:00:00;2653.25;2667.5;2634.25;2661.75;1474206
14/02/2018;00:00:00;2662.5;2701.75;2627;2697;2101456
15/02/2018;00:00:00;2695.5;2736.75;2688.5;2734;1698395
16/02/2018;00:00:00;2734;2754.75;2722.25;2735;1757320
20/02/2018;00:00:00;2734.5;2747.75;2705.75;2714;1457113
21/02/2018;00:00:00;2714.5;2747.75;2693.5;2698.75;1681713
22/02/2018;00:00:00;2698.5;2731;2682;2711.5;1638992
23/02/2018;00:00:00;2712.75;2750.25;2710;2748.75;1306103
26/02/2018;00:00:00;2751.5;2786;2742.5;2784.5;1278416
27/02/2018;00:00:00;2783.5;2789.75;2742;2747.5;1753963
28/02/2018;00:00:00;2746.5;2762;2712;2714.5;1913257
01/03/2018;00:00:00;2718.25;2731;2658.5;2678.25;2878307
02/03/2018;00:00:00;2678.75;2696;2647;2690.25;2218894
05/03/2018;00:00:00;2683.25;2727.75;2663.75;2718.5;1839649
06/03/2018;00:00:00;2719;2734.5;2710.25;2724;1578133
07/03/2018;00:00:00;2700;2730.25;2681.25;2723.25;2108984
08/03/2018;00:00:00;2722.5;2740.5;2720;2739.25;2156683
09/03/2018;00:00:00;2742;2792;2735.5;2788.75;3031893
12/03/2018;00:00:00;2788.75;2805.25;2783.75;2789;2893869
13/03/2018;00:00:00;2787;2807.25;2762.5;2772.75;3464141
14/03/2018;00:00:00;2767;2783.5;2748.25;2754;2699403
15/03/2018;00:00:00;2754.75;2767.25;2745;2755.5;1756421
16/03/2018;00:00:00;2757.5;2766.25;2750.25;2756;1143601
19/03/2018;00:00:00;2756.25;2756.5;2697.25;2722.75;1991728
