Column1;Column2;Column3;Column4;Column5;Column6;Column7
01/01/2018;17:00:00;2675.25;2681;2674.5;2680.75;17050
01/01/2018;18:00:00;2680.75;2681.75;2680;2680.75;5597
01/01/2018;19:00:00;2680.5;2680.75;2679;2679.5;5650
01/01/2018;20:00:00;2679.5;2680;2676.5;2677.25;5557
01/01/2018;21:00:00;2677.25;2679.25;2676.5;2678.75;2351
01/01/2018;22:00:00;2678.75;2679.25;2678.5;2679.25;1356
01/01/2018;23:00:00;2679.5;2680.75;2679;2680;3125
02/01/2018;00:00:00;2680;2680.5;2679.75;2680;1332
02/01/2018;01:00:00;2680;2680.75;2680;2680.5;4382
02/01/2018;02:00:00;2680.5;2680.5;2677.25;2678.25;19005
02/01/2018;03:00:00;2678.25;2678.5;2675.25;2676.25;14127
02/01/2018;04:00:00;2676;2679.25;2676;2679;12507
02/01/2018;05:00:00;2678.75;2682;2678.75;2681.75;13484
02/01/2018;06:00:00;2681.75;2684.75;2681.5;2684.25;21273
02/01/2018;07:00:00;2684.25;2686;2683.25;2684.5;23780
02/01/2018;08:00:00;2684.75;2688.25;2681.75;2687.5;185462
02/01/2018;09:00:00;2687.5;2692.25;2687.25;2690.75;159139
02/01/2018;10:00:00;2690.5;2692;2687.75;2689.25;73991
02/01/2018;11:00:00;2689.25;2690.75;2688.5;2689.25;47442
02/01/2018;12:00:00;2689.25;2691.25;2689;2690.75;44270
02/01/2018;13:00:00;2690.5;2691.5;2689.75;2691;42180
02/01/2018;14:00:00;2691.25;2696;2690.5;2695.75;173473
02/01/2018;15:00:00;2696;2696;2692;2694;88071
02/01/2018;17:00:00;2693.75;2694.25;2692.25;2693.75;7668
02/01/2018;18:00:00;2693.75;2695.75;2693.5;2694.75;5519
02/01/2018;19:00:00;2694.5;2695.25;2694.25;2695.25;4528
02/01/2018;20:00:00;2695.5;2696.75;2695.25;2696;3925
02/01/2018;21:00:00;2695.75;2696.75;2695.5;2696;2598
02/01/2018;22:00:00;2696;2696.5;2695.5;2696;1837
02/01/2018;23:00:00;2696.25;2697;2696;2696.25;1419
03/01/2018;00:00:00;2696.5;2696.75;2695.75;2696;1215
03/01/2018;01:00:00;2696;2697;2695.75;2696.75;4240
03/01/2018;02:00:00;2696.75;2698;2696.25;2697.5;13615
03/01/2018;03:00:00;2697.75;2698;2696.75;2697.5;9965
03/01/2018;04:00:00;2697.5;2698.5;2697;2698.25;12997
03/01/2018;05:00:00;2698;2698.75;2697;2697.25;7394
03/01/2018;06:00:00;2697.25;2697.5;2695.75;2696.5;10544
03/01/2018;07:00:00;2696.5;2697.75;2695.75;2696.5;13005
03/01/2018;08:00:00;2696.75;2703.75;2696.5;2703.25;149519
03/01/2018;09:00:00;2703.25;2708.5;2703;2706.25;180445
03/01/2018;10:00:00;2706.25;2707.75;2705.25;2706;85459
03/01/2018;11:00:00;2706;2712.5;2706;2711;98134
03/01/2018;12:00:00;2711;2711.5;2707.5;2708;69850
03/01/2018;13:00:00;2708.25;2711.5;2707.5;2710.5;105280
03/01/2018;14:00:00;2710.5;2714.25;2709.75;2712.5;197856
03/01/2018;15:00:00;2712.25;2712.75;2708.25;2709.25;90313
03/01/2018;17:00:00;2710.25;2710.5;2709;2710.5;7731
03/01/2018;18:00:00;2710.5;2712.25;2709.5;2710;9181
03/01/2018;19:00:00;2710.25;2710.5;2708.5;2709.25;6425
03/01/2018;20:00:00;2709.5;2711;2709;2710.75;2752
03/01/2018;21:00:00;2710.5;2712.75;2710.5;2712;5322
03/01/2018;22:00:00;2712;2713;2712;2712.25;3390
03/01/2018;23:00:00;2712.25;2714.25;2712.25;2714;5947
04/01/2018;00:00:00;2714;2714;2712.5;2712.5;3277
04/01/2018;01:00:00;2712.5;2713.5;2712.25;2713;5329
04/01/2018;02:00:00;2712.75;2714.25;2712.75;2713.25;13965
04/01/2018;03:00:00;2713.25;2716;2713.25;2715;11479
04/01/2018;04:00:00;2715;2715.5;2713.25;2713.25;14695
04/01/2018;05:00:00;2713.25;2715.5;2713;2715;11153
04/01/2018;06:00:00;2715;2717.25;2714.75;2715.75;13167
04/01/2018;07:00:00;2715.75;2719;2715.5;2718.5;26806
04/01/2018;08:00:00;2718.5;2726;2718.25;2725.25;207423
04/01/2018;09:00:00;2725.5;2729;2723.75;2726.25;194410
04/01/2018;10:00:00;2726.25;2726.5;2721.5;2723.25;133705
04/01/2018;11:00:00;2723.5;2726.5;2723;2726;88151
