Column1;Column2;Column3;Column4;Column5;Column6;Column7
01/01/2024;17:00:00;4818;4820.75;4815.75;4818.75;3200
01/01/2024;17:05:00;4819;4821.75;4819;4821.25;1023
01/01/2024;17:10:00;4821.5;4822.5;4820.75;4821;1318
01/01/2024;17:15:00;4820.75;4821.5;4820.75;4820.75;938
01/01/2024;17:20:00;4821;4821.75;4820.25;4821.5;978
01/01/2024;17:25:00;4821.5;4822.25;4821.5;4821.75;1068
01/01/2024;17:30:00;4822;4822.25;4821;4821;1064
01/01/2024;17:35:00;4821;4822;4820.75;4821.5;971
01/01/2024;17:40:00;4821.5;4822;4820.25;4820.25;1549
01/01/2024;17:45:00;4820.25;4820.75;4820.25;4820.25;614
01/01/2024;17:50:00;4820.25;4821;4820.25;4820.75;511
01/01/2024;17:55:00;4820.75;4821;4820.75;4821;162
01/01/2024;18:00:00;4820.75;4821.25;4820.5;4821.25;478
01/01/2024;18:05:00;4821;4821.25;4820.75;4821.25;391
01/01/2024;18:10:00;4821.25;4821.5;4820.75;4821;326
01/01/2024;18:15:00;4821.25;4821.25;4820.5;4820.5;324
01/01/2024;18:20:00;4820.75;4820.75;4820;4820.5;371
01/01/2024;18:25:00;4820.5;4820.5;4819;4819.25;643
01/01/2024;18:30:00;4819.25;4819.5;4818.75;4819.5;335
01/01/2024;18:35:00;4819.5;4820.5;4819.5;4820.5;441
01/01/2024;18:40:00;4820.25;4820.5;4819.75;4820.25;247
01/01/2024;18:45:00;4820.25;4820.25;4819.5;4820;215
01/01/2024;18:50:00;4820;4820.25;4819.75;4819.75;368
01/01/2024;18:55:00;4819.5;4820;4819.5;4819.75;469
01/01/2024;19:00:00;4819.75;4822.75;4819.75;4822.5;1933
01/01/2024;19:05:00;4822.5;4822.75;4821.25;4821.5;1621
01/01/2024;19:10:00;4821.5;4821.75;4820.5;4820.5;2057
01/01/2024;19:15:00;4820.75;4822.5;4820.5;4822.5;1366
01/01/2024;19:20:00;4822.5;4822.75;4821.5;4822.25;637
01/01/2024;19:25:00;4822.25;4822.25;4820.5;4821.25;567
01/01/2024;19:30:00;4821.25;4821.5;4820.5;4820.5;339
01/01/2024;19:35:00;4820.5;4820.5;4819.5;4819.5;747
01/01/2024;19:40:00;4819.5;4819.5;4817.75;4818.25;1105
01/01/2024;19:45:00;4818.5;4820;4818;4818.25;781
01/01/2024;19:50:00;4818.5;4819.25;4818.25;4819.25;391
01/01/2024;19:55:00;4819.25;4819.5;4818.5;4818.75;402
01/01/2024;20:00:00;4819;4820;4818.75;4819.5;611
01/01/2024;20:05:00;4819.25;4819.5;4818.75;4819.25;209
01/01/2024;20:10:00;4819.25;4819.25;4819;4819.25;262
01/01/2024;20:15:00;4819.25;4819.5;4818.5;4819;735
01/01/2024;20:20:00;4819;4819.5;4818.75;4819.5;1137
01/01/2024;20:25:00;4819.5;4819.5;4819;4819;1087
01/01/2024;20:30:00;4819.25;4819.25;4818.5;4818.75;717
01/01/2024;20:35:00;4819;4819;4818.25;4818.75;673
01/01/2024;20:40:00;4818.75;4819;4818.5;4818.75;680
01/01/2024;20:45:00;4818.75;4819.25;4818.5;4819;377
01/01/2024;20:50:00;4819;4819;4817;4817.75;961
01/01/2024;20:55:00;4817.75;4818.75;4817.75;4818.5;415
01/01/2024;21:00:00;4818.75;4819.5;4818.75;4819;472
01/01/2024;21:05:00;4819;4819.5;4819;4819.5;142
01/01/2024;21:10:00;4819.5;4820.25;4819.5;4819.5;553
01/01/2024;21:15:00;4819.75;4820;4818.75;4818.75;459
01/01/2024;21:20:00;4818.75;4819;4818.75;4819;288
01/01/2024;21:25:00;4819;4819.25;4818.75;4819.25;174
01/01/2024;21:30:00;4819.5;4819.5;4819.25;4819.25;282
01/01/2024;21:35:00;4819.25;4819.5;4818.25;4818.75;382
01/01/2024;21:40:00;4819;4819.5;4818.75;4819.25;281
01/01/2024;21:45:00;4819.25;4820;4819.25;4819.5;323
01/01/2024;21:50:00;4819.25;4819.25;4818.5;4819;282
01/01/2024;21:55:00;4819;4819.5;4818.75;4819.5;168
01/01/2024;22:00:00;4819.5;4819.5;4819;4819;233
01/01/2024;22:05:00;4819.25;4819.5;4819;4819.25;176
01/01/2024;22:10:00;4819.25;4820;4819;4819.75;304
01/01/2024;22:15:00;4819.75;4820;4819.75;4819.75;107
01/01/2024;22:20:00;4820;4820;4819.5;4820;208
01/01/2024;22:25:00;4820;4820;4819.75;4820;133
01/01/2024;22:30:00;4820;4820.5;4820;4820.5;352
01/01/2024;22:35:00;4820.25;4821.5;4820.25;4821;614
01/01/2024;22:40:00;4821;4821.5;4820.5;4820.5;263
01/01/2024;22:45:00;4820.5;4821.25;4820.5;4821.25;132
01/01/2024;22:50:00;4821.25;4821.25;4820.75;4821;220
01/01/2024;22:55:00;4820.75;4821;4820.5;4820.75;77
01/01/2024;23:00:00;4820.75;4821.25;4820.75;4821.25;366
01/01/2024;23:05:00;4821.25;4821.5;4820.75;4821.5;284
01/01/2024;23:10:00;4821.25;4823;4821.25;4823;749
01/01/2024;23:15:00;4822.75;4823;4822.5;4822.5;602
01/01/2024;23:20:00;4822.75;4822.75;4822.5;4822.5;448
01/01/2024;23:25:00;4822.75;4823.5;4822.25;4822.25;718
01/01/2024;23:30:00;4822.25;4822.75;4822;4822.5;583
01/01/2024;23:35:00;4822.5;4822.5;4822;4822.25;236
01/01/2024;23:40:00;4822.25;4822.5;4822.25;4822.25;110
01/01/2024;23:45:00;4822.25;4822.25;4821.75;4821.75;119
01/01/2024;23:50:00;4822;4822.5;4822;4822.5;174
01/01/2024;23:55:00;4822.5;4822.5;4822;4822.25;173
02/01/2024;00:00:00;4822.5;4822.5;4822;4822.25;378
02/01/2024;00:05:00;4822.5;4822.5;4821.5;4821.75;376
02/01/2024;00:10:00;4821.75;4822;4821;4821.25;358
02/01/2024;00:15:00;4821.25;4821.5;4821;4821;201
02/01/2024;00:20:00;4821;4821.5;4821;4821.5;200
02/01/2024;00:25:00;4821.5;4821.75;4821;4821.25;298
02/01/2024;00:30:00;4821.5;4821.75;4820.25;4820.25;429
02/01/2024;00:35:00;4820.5;4820.75;4820;4820.25;298
02/01/2024;00:40:00;4820.25;4821;4820;4820.75;344
02/01/2024;00:45:00;4821;4821.5;4820.75;4821.5;687
02/01/2024;00:50:00;4821.25;4821.75;4821;4821;314
02/01/2024;00:55:00;4821;4821.25;4819.75;4820;551
02/01/2024;01:00:00;4820.25;4821.5;4820.25;4820.5;674
02/01/2024;01:05:00;4820.5;4821.25;4820.5;4821.25;515
