Date,Direction,Entry_Time,Entry_Price,SL_Level,SL_Distance,TP_Level,TP_Distance,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Result,Asian_High,Asian_Low,Asian_Mid
2018-01-02,SHORT,2018-01-02 02:15:00,7503.739664,7518.676851,14.93718700000045,7403.739664,100,2018-01-02 06:00:00,7518.676851,STOP_LOSS,-14.93718700000045,LOSS,7525.706115,7511.647587,7518.676851
2018-01-03,LONG,2018-01-03 01:45:00,7645.203609,7639.1994455,6.004163499999777,7745.203609,100,2018-01-03 07:45:00,7639.1994455,STOP_LOSS,-6.004163499999777,LOSS,7644.324951,7634.07394,7639.1994455
2018-01-04,LONG,2018-01-04 02:15:00,7732.776527,7720.3288715,12.44765550000011,7832.776527,100,2018-01-04 08:00:00,7749.178143,TIME_EXIT,16.401616000000104,WIN,7731.019211,7709.638532,7720.3288715
2018-01-05,LONG,2018-01-05 01:45:00,7747.420827,7739.366462,8.054364999999962,7847.420827,100,2018-01-05 08:00:00,7762.6509,TIME_EXIT,15.23007299999972,WIN,7746.835055,7731.897869,7739.366462
2018-01-09,LONG,2018-01-09 02:15:00,7841.730124,7832.9435435,8.786580500000127,7941.730124,100,2018-01-09 08:00:00,7855.495766,TIME_EXIT,13.765642000000298,WIN,7841.144352,7824.742735,7832.9435435
2018-01-10,SHORT,2018-01-10 01:45:00,7817.127699,7826.353608,9.225909000000684,7717.127699,100,2018-01-10 08:00:00,7797.504336,TIME_EXIT,19.6233629999997,WIN,7832.943543,7819.763673,7826.353608
2018-01-12,LONG,2018-01-12 01:00:00,7885.955912,7875.851344000001,10.104567999999745,7985.955912,100,2018-01-12 07:30:00,7875.851344000001,STOP_LOSS,-10.104567999999745,LOSS,7881.562621,7870.140067,7875.851344000001
2018-01-15,SHORT,2018-01-15 02:00:00,7941.89714,7955.2234535,13.326313499999742,7841.89714,100,2018-01-15 08:00:00,7938.089622,TIME_EXIT,3.807517999999618,WIN,7964.742249,7945.704658,7955.2234535
2018-01-16,LONG,2018-01-16 02:00:00,7963.863591,7949.8050625,14.058528500000648,8063.863591,100,2018-01-16 08:00:00,7979.38655,TIME_EXIT,15.5229589999999,WIN,7960.641845,7938.96828,7949.8050625
2018-01-17,LONG,2018-01-17 02:00:00,7936.625192,7920.3700185,16.255173500000637,8036.625192,100,2018-01-17 08:00:00,7958.591643,TIME_EXIT,21.966450999999324,WIN,7933.696332,7907.043705,7920.3700185
2018-01-19,LONG,2018-01-19 02:45:00,7997.545483,7982.31541,15.23007299999972,8097.545483,100,2018-01-19 08:00:00,8015.41153,TIME_EXIT,17.866047000000435,WIN,7996.373939,7968.256881,7982.31541
2018-01-23,LONG,2018-01-23 01:00:00,8141.938287,8128.3190875,13.619199499999922,8241.938287,100,2018-01-23 05:00:00,8128.3190875,STOP_LOSS,-13.619199499999922,LOSS,8139.009427,8117.628748,8128.3190875
2018-01-24,LONG,2018-01-24 01:00:00,8169.469573,8158.486347,10.983226000000286,8269.469573,100,2018-01-24 08:00:00,8182.356557,TIME_EXIT,12.886983999999757,WIN,8164.783396,8152.189298,8158.486347
2018-01-25,LONG,2018-01-25 03:30:00,8141.645401,8124.5115695,17.13383149999936,8241.645401,100,2018-01-25 08:00:00,8178.256153,TIME_EXIT,36.6107520000005,WIN,8136.373453,8112.649686,8124.5115695
2018-01-26,LONG,2018-01-26 03:15:00,8150.724868,8139.5951995,11.129668500000662,8250.724868000001,100,2018-01-26 08:00:00,8161.268764,TIME_EXIT,10.543896000000132,WIN,8149.84621,8129.344189,8139.5951995
2018-01-29,SHORT,2018-01-29 02:00:00,8219.845967,8242.691076,22.845108999999866,8119.845966999999,100,2018-01-29 08:00:00,8208.716298,TIME_EXIT,11.129668999999922,WIN,8256.163833,8229.218319,8242.691076
2018-02-01,SHORT,2018-02-01 03:15:00,8160.390106,8175.620178499999,15.230072499999551,8060.390106,100,2018-02-01 08:00:00,8085.704173,TIME_EXIT,74.68593299999975,WIN,8186.456961,8164.783396,8175.620178499999
2018-02-02,SHORT,2018-02-02 02:45:00,8082.189541,8123.1935825,41.00404150000031,7982.189541,100,2018-02-02 08:00:00,8059.051546,TIME_EXIT,23.137995000000046,WIN,8148.088894,8098.298271,8123.1935825
2018-02-05,LONG,2018-02-05 01:00:00,7916.123171,7887.127456,28.99571500000002,8016.123171,100,2018-02-05 05:30:00,7887.127456,STOP_LOSS,-28.99571500000002,LOSS,7906.750819,7867.504093,7887.127456
2018-02-06,LONG,2018-02-06 02:15:00,7595.705872,7459.074547,136.6313250000003,7695.705872,100,2018-02-06 05:45:00,7459.074547,STOP_LOSS,-136.6313250000003,LOSS,7583.990432,7334.158662,7459.074547
2018-02-07,SHORT,2018-02-07 02:00:00,7702.023495,7758.404053,56.38055799999984,7602.023495,100,2018-02-07 05:45:00,7758.404053,STOP_LOSS,-56.38055799999984,LOSS,7807.169574,7709.638532,7758.404053
2018-02-08,LONG,2018-02-08 02:00:00,7718.717998,7663.2160985,55.501899500000036,7818.717998,100,2018-02-08 05:30:00,7663.2160985,STOP_LOSS,-55.501899500000036,LOSS,7712.567392,7613.864805,7663.2160985
2018-02-09,LONG,2018-02-09 02:45:00,7462.442736,7413.823657999999,48.61907800000063,7562.442736,100,2018-02-09 05:30:00,7413.823657999999,STOP_LOSS,-48.61907800000063,LOSS,7460.392534,7367.254782,7413.823657999999
2018-02-12,LONG,2018-02-12 02:30:00,7580.4758,7547.9654525000005,32.510347499999625,7680.4758,100,2018-02-12 08:00:00,7556.459147,TIME_EXIT,-24.016653000000588,LOSS,7561.438209,7534.492696,7547.9654525000005
2018-02-13,SHORT,2018-02-13 01:45:00,7617.086551,7648.425354999999,31.338803999999072,7517.086551,100,2018-02-13 08:00:00,7598.341846,TIME_EXIT,18.744705000000067,WIN,7675.370868,7621.479842,7648.425354999999
2018-02-14,LONG,2018-02-14 01:00:00,7700.559065,7686.793422500001,13.765642499999558,7800.559065,100,2018-02-14 07:30:00,7686.793422500001,STOP_LOSS,-13.765642499999558,LOSS,7697.630205,7675.95664,7686.793422500001
2018-02-15,LONG,2018-02-15 02:15:00,7893.570948,7853.2991215,40.271826499999406,7993.570948,100,2018-02-15 08:00:00,7887.713228,TIME_EXIT,-5.857719999999972,LOSS,7887.127456,7819.470787,7853.2991215
2018-02-16,LONG,2018-02-16 02:00:00,8019.80482,8005.0140759999995,14.790744000000814,8119.80482,100,2018-02-16 05:30:00,8005.0140759999995,STOP_LOSS,-14.790744000000814,LOSS,8019.219048,7990.809104,8005.0140759999995
2018-02-20,SHORT,2018-02-20 03:00:00,7917.294715,7941.89714,24.60242500000004,7817.294715,100,2018-02-20 08:00:00,7903.529072,TIME_EXIT,13.765642999999727,WIN,7962.399161,7921.395119,7941.89714
2018-02-23,LONG,2018-02-23 01:00:00,7988.17313,7960.4954020000005,27.67772799999966,8088.17313,100,2018-02-23 08:00:00,7987.587358,TIME_EXIT,-0.585772000000361,LOSS,7974.700374,7946.29043,7960.4954020000005
2018-02-26,LONG,2018-02-26 02:15:00,8109.42794,8086.875717000001,22.552222999998776,8209.42794,100,2018-02-26 08:00:00,8122.607811,TIME_EXIT,13.179871000000276,WIN,8101.812904,8071.93853,8086.875717000001
2018-03-01,LONG,2018-03-01 01:15:00,8066.666582,8040.160398,26.50618399999985,8166.666582,100,2018-03-01 03:30:00,8040.160398,STOP_LOSS,-26.50618399999985,LOSS,8065.787924,8014.532872,8040.160398
2018-03-02,SHORT,2018-03-02 03:45:00,7892.106518,7919.198474000001,27.09195600000112,7792.106518,100,2018-03-02 08:00:00,7815.956154,TIME_EXIT,76.15036399999917,WIN,7941.018482,7897.378466,7919.198474000001
2018-03-06,LONG,2018-03-06 01:00:00,8085.997059,8066.373696000001,19.6233629999997,8185.997059,100,2018-03-06 08:00:00,8106.206194,TIME_EXIT,20.20913500000006,WIN,8076.038934,8056.708458,8066.373696000001
2018-03-08,LONG,2018-03-08 01:00:00,8137.837883,8112.7961295000005,25.041753499999686,8237.837883,100,2018-03-08 08:00:00,8155.118158,TIME_EXIT,17.280275000000074,WIN,8125.243785,8100.348474,8112.7961295000005
2018-03-12,LONG,2018-03-12 02:15:00,8373.759529,8355.6654605,18.094068500000503,8473.759529,100,2018-03-12 06:45:00,8355.6654605,STOP_LOSS,-18.094068500000503,LOSS,8373.175849,8338.155072,8355.6654605
2018-03-13,LONG,2018-03-13 02:00:00,8366.463534,8356.2491405,10.21439350000037,8466.463534,100,2018-03-13 08:00:00,8398.274072,TIME_EXIT,31.810537999999724,WIN,8364.420655,8348.077626,8356.2491405
2018-03-14,LONG,2018-03-14 02:30:00,8259.358325,8236.8866605,22.47166449999895,8359.358325,100,2018-03-14 08:00:00,8287.666786,TIME_EXIT,28.308461000000534,WIN,8252.64601,8221.127311,8236.8866605
2018-03-15,LONG,2018-03-15 02:30:00,8260.525684,8230.903944,29.6217400000005,8360.525684,100,2018-03-15 05:45:00,8230.903944,STOP_LOSS,-29.6217400000005,LOSS,8258.482806,8203.325082,8230.903944
2018-03-19,SHORT,2018-03-19 01:45:00,8155.463354,8196.904607,41.44125299999996,8055.463354,100,2018-03-19 08:00:00,8130.365131,TIME_EXIT,25.09822300000087,WIN,8220.543631,8173.265583,8196.904607
2018-03-21,SHORT,2018-03-21 03:15:00,8054.778622,8072.434929499999,17.656307499999457,7954.778622,100,2018-03-21 08:00:00,8038.435593,TIME_EXIT,16.34302899999966,WIN,8082.211563,8062.658296,8072.434929499999
2018-03-22,SHORT,2018-03-22 01:30:00,8029.680398,8053.9031025,24.222704499999963,7929.680398,100,2018-03-22 05:45:00,7929.680398,TAKE_PROFIT,100.0,WIN,8072.28901,8035.517195,8053.9031025
2018-03-26,LONG,2018-03-26 01:00:00,7722.956763,7674.073596,48.88316699999996,7822.956763,100,2018-03-26 08:00:00,7762.063297,TIME_EXIT,39.106533999999556,WIN,7718.579166,7629.568026,7674.073596
2018-03-27,LONG,2018-03-27 01:30:00,7966.059321,7933.081423,32.977898000000096,8066.059321,100,2018-03-27 08:00:00,7956.428607,TIME_EXIT,-9.630713999999898,LOSS,7962.557243,7903.605603,7933.081423
2018-03-28,SHORT,2018-03-28 02:15:00,7615.559715,7652.0396905,36.479975499999455,7515.559715,100,2018-03-28 06:00:00,7652.0396905,STOP_LOSS,-36.479975499999455,LOSS,7683.850229,7620.229152,7652.0396905
2018-03-29,LONG,2018-03-29 01:30:00,7601.551404,7571.3459845,30.205419500000062,7701.551404,100,2018-03-29 08:00:00,7605.929001,TIME_EXIT,4.3775970000006055,WIN,7591.045171,7551.646798,7571.3459845
2018-04-02,SHORT,2018-04-02 01:45:00,7643.868176,7660.648965,16.780789000000368,7543.868176,100,2018-04-02 05:00:00,7660.648965,STOP_LOSS,-16.780789000000368,LOSS,7677.137914,7644.160016,7660.648965
2018-04-03,LONG,2018-04-03 02:00:00,7510.497385,7487.0042809999995,23.49310400000013,7610.497385,100,2018-04-03 08:00:00,7538.805846,TIME_EXIT,28.308461000000534,WIN,7509.621866,7464.386696,7487.0042809999995
2018-04-04,SHORT,2018-04-04 01:15:00,7502.325871,7526.986334,24.660463000000163,7402.325871,100,2018-04-04 03:00:00,7402.325871,TAKE_PROFIT,100.0,WIN,7546.977361,7506.995307,7526.986334
2018-04-05,LONG,2018-04-05 01:30:00,7743.09371,7712.304609999999,30.78910000000087,7843.09371,100,2018-04-05 04:30:00,7712.304609999999,STOP_LOSS,-30.78910000000087,LOSS,7742.21819,7682.39103,7712.304609999999
2018-04-06,LONG,2018-04-06 01:30:00,7640.657938,7602.8646835,37.79325450000033,7740.657938,100,2018-04-06 08:00:00,7627.525147,TIME_EXIT,-13.132790999999997,LOSS,7635.112982,7570.616385,7602.8646835
2018-04-09,LONG,2018-04-09 03:30:00,7612.057637,7575.285822,36.77181500000006,7712.057637,100,2018-04-09 07:00:00,7575.285822,STOP_LOSS,-36.77181500000006,LOSS,7609.431079,7541.140565,7575.285822
2018-04-17,LONG,2018-04-17 01:00:00,7865.082748,7843.7784425,21.304305499999828,7965.082748,100,2018-04-17 08:00:00,7888.429933,TIME_EXIT,23.347185000000536,WIN,7864.499069,7823.057816,7843.7784425
2018-04-19,SHORT,2018-04-19 01:15:00,7994.659622,8009.543452,14.883829999999762,7894.659622,100,2018-04-19 08:00:00,7952.92653,TIME_EXIT,41.7330920000004,WIN,8015.380248,8003.706656,8009.543452
2018-04-20,SHORT,2018-04-20 02:15:00,7888.138093,7909.5883185,21.45022550000067,7788.138093,100,2018-04-20 05:45:00,7909.5883185,STOP_LOSS,-21.45022550000067,LOSS,7926.660947,7892.51569,7909.5883185
2018-04-23,SHORT,2018-04-23 02:15:00,7786.286001,7811.384224,25.09822299999996,7686.286001,100,2018-04-23 06:45:00,7811.384224,STOP_LOSS,-25.09822299999996,LOSS,7824.517015,7798.251433,7811.384224
2018-04-24,LONG,2018-04-24 01:00:00,7794.749355,7781.032884,13.716470999999729,7894.749355,100,2018-04-24 08:00:00,7805.839268,TIME_EXIT,11.089912999999797,WIN,7794.457515,7767.608253,7781.032884
2018-04-25,SHORT,2018-04-25 03:30:00,7573.826623,7609.139239,35.31261600000016,7473.826623,100,2018-04-25 07:30:00,7609.139239,STOP_LOSS,-35.31261600000016,LOSS,7633.070103,7585.208375,7609.139239
