Date,Timeframe,Direction,Entry Price,SL Level,SL Price,R:R,TP Price,Outcome
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,1.0,7740.6112275,WIN
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,1.5,7741.746160749999,WIN
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,2.0,7742.881093999999,WIN
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,2.5,7744.01602725,LOSS
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,3.0,7745.150960499999,LOSS
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,3.5,7746.285893749999,LOSS
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,4.0,7747.420826999999,LOSS
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,4.5,7748.555760249999,LOSS
2018-01-04,1m,LONG,7738.341361,25%,7736.0714945,5.0,7749.690693499999,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,1.0,7742.881094,WIN
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,1.5,7745.150960500001,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,2.0,7747.420827000001,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,2.5,7749.690693500001,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,3.0,7751.960560000001,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,3.5,7754.230426500002,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,4.0,7756.500293000002,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,4.5,7758.770159500002,LOSS
2018-01-04,1m,LONG,7738.341361,50%,7733.801627999999,5.0,7761.040026000002,LOSS
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,1.0,7745.1509605,WIN
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,1.5,7748.55576025,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,2.0,7751.96056,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,2.5,7755.365359750001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,3.0,7758.770159500001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,3.5,7762.174959250001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,4.0,7765.579759000001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,4.5,7768.984558750001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,75%,7731.531761499999,5.0,7772.389358500001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,1.0,7747.420827,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,1.5,7751.9605599999995,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,2.0,7756.500293,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,2.5,7761.040026000001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,3.0,7765.579759,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,3.5,7770.119492,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,4.0,7774.659225,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,4.5,7779.198958000001,NO_RESULT
2018-01-04,1m,LONG,7738.341361,100%,7729.261895,5.0,7783.7386910000005,NO_RESULT
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,1.0,7838.2887125,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,1.5,7838.91109525,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,2.0,7839.533477999999,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,2.5,7840.155860749999,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,3.0,7840.778243499999,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,3.5,7841.400626249999,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,4.0,7842.023008999999,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,4.5,7842.645391749998,LOSS
2018-01-08,1m,LONG,7837.043947,25%,7835.7991815000005,5.0,7843.267774499998,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,1.0,7839.533477999999,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,1.5,7840.778243499999,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,2.0,7842.023008999999,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,2.5,7843.267774499998,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,3.0,7844.512539999998,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,3.5,7845.7573054999975,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,4.0,7847.002070999997,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,4.5,7848.246836499997,LOSS
2018-01-08,1m,LONG,7837.043947,50%,7834.554416000001,5.0,7849.491601999996,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,1.0,7840.7782435,WIN
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,1.5,7842.64539175,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,2.0,7844.51254,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,2.5,7846.379688249999,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,3.0,7848.2468364999995,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,3.5,7850.11398475,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,4.0,7851.981132999999,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,4.5,7853.848281249999,LOSS
2018-01-08,1m,LONG,7837.043947,75%,7833.3096505,5.0,7855.715429499999,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,1.0,7842.023009,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,1.5,7844.51254,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,2.0,7847.002070999999,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,2.5,7849.491601999998,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,3.0,7851.981132999998,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,3.5,7854.470663999999,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,4.0,7856.960194999998,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,4.5,7859.449725999997,LOSS
2018-01-08,1m,LONG,7837.043947,100%,7832.064885000001,5.0,7861.939256999997,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,1.0,7830.8201195,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,1.5,7830.49062275,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,2.0,7830.161126,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,2.5,7829.83162925,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,3.0,7829.5021325,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,3.5,7829.172635749999,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,4.0,7828.843139,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,4.5,7828.51364225,LOSS
2018-01-09,1m,SHORT,7831.479113,25%,7832.1381065000005,5.0,7828.184145499999,LOSS
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,1.0,7830.161126,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,1.5,7829.5021325,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,2.0,7828.843139,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,2.5,7828.184145499999,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,3.0,7827.525151999999,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,3.5,7826.866158499999,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,4.0,7826.207164999999,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,4.5,7825.548171499999,WIN
2018-01-09,1m,SHORT,7831.479113,50%,7832.797100000001,5.0,7824.8891779999985,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,1.0,7829.5021325,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,1.5,7828.51364225,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,2.0,7827.525151999999,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,2.5,7826.5366617499985,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,3.0,7825.548171499999,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,3.5,7824.559681249999,WIN
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,4.0,7823.571190999998,LOSS
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,4.5,7822.5827007499975,LOSS
2018-01-09,1m,SHORT,7831.479113,75%,7833.456093500001,5.0,7821.594210499998,LOSS
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,1.0,7828.843139,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,1.5,7827.525151999999,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,2.0,7826.207164999999,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,2.5,7824.8891779999985,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,3.0,7823.571190999998,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,3.5,7822.253203999998,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,4.0,7820.9352169999975,WIN
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,4.5,7819.617229999997,NO_RESULT
2018-01-09,1m,SHORT,7831.479113,100%,7834.115087000001,5.0,7818.299242999997,NO_RESULT
