Date,Actual,Signal_M1,Signal_M2,Signal_M3,Signal_M4,Daily_Move,Open,Close
2018-03-27,-1,1,0,0,0,260.90478600000006,7909.734239,7648.829453
2018-03-28,-1,-1,0,0,-1,72.08443199999965,7646.494734,7574.410302
2018-03-29,1,0,0,0,-1,93.09689800000069,7577.036861,7670.133759
2018-04-02,-1,0,-1,0,0,168.9752470000003,7654.374409,7485.399162
2018-04-03,1,0,-1,0,-1,76.46202899999935,7477.811327,7554.273356
2018-04-04,1,0,-1,0,-1,134.5381499999994,7548.14472,7682.68287
2018-04-05,1,1,-1,0,0,28.01662099999976,7683.55839,7711.575011
2018-04-06,-1,0,-1,0,0,176.85492199999953,7713.909729,7537.054807
2018-04-09,1,0,-1,0,-1,35.604457000000366,7544.642642,7580.247099
2018-04-10,1,0,-1,0,-1,156.4261350000006,7576.745021,7733.171156
2018-04-11,-1,0,-1,0,0,34.72893699999986,7734.046676,7699.317739
2018-04-12,1,0,-1,0,0,90.17849999999999,7700.193258,7790.371758
2018-04-13,-1,0,0,0,1,30.935018999999556,7784.826802,7753.891783
2018-04-16,1,0,-1,0,0,34.14525700000013,7791.247278,7825.392535
2018-04-17,1,0,0,0,1,141.54230600000028,7826.268054,7967.81036
2018-04-18,1,1,0,0,1,31.810538999999153,7960.806204,7992.616743
2018-04-19,-1,0,0,0,1,91.34585900000002,8002.539297,7911.193438
2018-04-20,-1,-1,0,0,0,119.07064100000025,7912.068957,7792.998316
2018-04-23,-1,0,-1,0,-1,50.19644599999992,7827.727253,7777.530807
2018-04-24,-1,0,-1,0,-1,156.71797499999957,7775.487928,7618.769953
2018-04-25,1,0,-1,0,-1,55.15772399999969,7617.894433,7673.052157
2018-04-26,1,0,-1,1,-1,185.61011599999983,7685.017589,7870.627705
2018-04-27,-1,1,0,0,1,84.92538400000012,7873.546103,7788.620719
2018-04-30,-1,0,-1,0,0,75.58651000000009,7783.951283,7708.364773
2018-05-01,1,0,-1,0,-1,131.03607199999988,7711.575011,7842.611083
2018-05-02,-1,0,0,0,1,101.26841200000035,7839.400845,7738.132433
2018-05-03,1,0,-1,0,0,41.14941199999976,7740.467152,7781.616564
2018-05-04,1,0,-1,0,-1,131.61975200000052,7782.200244,7913.819996
2018-05-07,1,1,0,0,1,46.11068900000009,7913.528156,7959.638845
2018-05-08,1,0,0,0,1,5.836796000000504,7957.887806,7963.724602
2018-05-09,1,0,0,0,1,87.55194200000005,7963.724602,8051.276544
2018-05-10,1,1,0,0,1,65.95579600000019,8050.109185,8116.064981
2018-05-11,1,0,1,0,1,8.755194000000301,8112.562903,8121.318097
2018-05-14,1,0,1,0,1,12.840951999999561,8122.777296,8135.618248
2018-05-15,-1,0,1,0,1,90.47033999999985,8135.326408,8044.856068
2018-05-16,1,0,1,0,0,45.235170000000835,8049.525505,8094.760675
2018-05-17,-1,0,1,0,0,36.18813599999976,8095.928034,8059.739898
2018-05-18,-1,0,1,0,1,40.565733000000364,8064.701175,8024.135442
2018-05-21,-1,0,1,0,0,5.836795999999595,8076.958447,8071.121651
2018-05-22,-1,0,1,0,1,6.420476000000235,8071.121651,8064.701175
2018-05-23,1,0,1,0,1,60.1190000000006,8061.199097,8121.318097
2018-05-24,-1,1,1,0,1,1.7510380000003352,8121.026257,8119.275219
2018-05-25,1,0,1,0,1,11.965431999999964,8118.983379,8130.948811
2018-05-28,1,0,1,0,1,4.085758000000169,8158.673592,8162.75935
2018-05-29,-1,0,1,0,1,48.44540799999959,8159.257272,8110.811864
2018-05-30,1,0,1,0,0,42.02493199999935,8110.811864,8152.836796
2018-05-31,1,0,1,0,0,5.253116999999293,8146.41632,8151.669437
2018-06-01,1,0,1,0,1,120.52984000000015,8151.085757,8271.615597
2018-06-04,1,1,1,0,1,81.13146500000039,8264.611442,8345.742907
2018-06-05,1,1,1,0,1,41.7330920000004,8343.700029,8385.433121
2018-06-06,1,0,1,0,1,41.44125200000053,8383.682082,8425.123334
2018-06-07,-1,1,1,0,1,65.0802760000006,8425.415174,8360.334898
2018-06-08,-1,0,1,0,0,9.950301000000763,8358.292019,8348.341718
2018-06-11,1,0,1,0,0,25.30681999999979,8341.069643,8366.376463
2018-06-12,1,0,1,0,1,57.30394800000067,8368.703527,8426.007475
2018-06-13,-1,1,1,0,1,10.471787000000404,8426.007475,8415.535688
2018-06-14,1,0,1,0,1,92.50079000000005,8414.953922,8507.454712
2018-06-15,-1,0,1,0,1,38.68743800000084,8505.709414,8467.021976
2018-06-18,-1,0,1,0,1,2.9088300000003073,8465.858445,8462.949615
2018-06-19,-1,0,1,0,0,22.979755999998815,8464.694913,8441.715157
2018-06-20,1,0,1,0,0,69.81191699999908,8439.969859,8509.781776
2018-06-21,-1,0,1,0,1,101.22727899999882,8511.527073,8410.299794
2018-06-22,-1,0,1,0,0,10.471787000000404,8410.008911,8399.537124
2018-06-25,-1,0,1,0,0,178.31127000000015,8403.900368,8225.589098
2018-06-26,1,0,0,0,-1,33.16065999999955,8219.480555,8252.641215
2018-06-27,-1,0,0,0,-1,115.1896629999992,8259.040641,8143.850978
2018-06-28,1,0,0,0,-1,67.7757360000005,8143.269212,8211.044948
2018-06-29,1,0,0,0,-1,14.544150000001537,8209.008767,8223.552917
2018-07-02,1,0,0,0,0,49.74099099999876,8229.661459,8279.40245
2018-07-03,-1,0,0,0,0,105.59052400000019,8277.075386,8171.484862
2018-07-04,1,0,0,0,-1,22.688873000000058,8171.484862,8194.173735
2018-07-05,1,0,0,0,-1,95.40962000000036,8195.62815,8291.03777
2018-07-06,1,1,1,0,1,130.60646100000122,8282.893046,8413.499507
2018-07-09,1,1,1,0,1,82.02900199999931,8415.244805,8497.273807
2018-07-10,-1,0,1,0,1,32.28801100000055,8494.65586,8462.367849
2018-07-11,-1,0,1,0,1,9.890020999999251,8451.314295,8441.424274
2018-07-12,1,0,1,0,0,143.98707900000045,8446.95105,8590.938129
2018-07-13,1,1,1,0,1,18.325628000000506,8589.192831,8607.518459
2018-07-16,-1,0,1,0,1,90.75549200000023,8609.55464,8518.799148
2018-07-17,1,-1,1,0,0,122.1708550000003,8517.05385,8639.224705
2018-07-18,-1,1,1,0,1,30.251830999999584,8638.352056,8608.100225
2018-07-19,-1,0,1,0,1,39.269202999999834,8610.136406,8570.867203
2018-07-20,-1,0,1,0,0,16.580330000000686,8587.15665,8570.57632
2018-07-23,1,0,1,0,0,60.794544000000315,8572.903384,8633.697928
2018-07-24,-1,1,1,0,1,9.89002199999959,8633.697928,8623.807906
2018-07-25,1,0,1,0,1,85.51959800000077,8622.353491,8707.873089
2018-07-26,1,0,1,0,0,15.998564999999871,8624.389672,8640.388237
2018-07-27,-1,0,1,0,1,151.25915299999906,8644.751481,8493.492328
2018-07-30,-1,-1,0,0,-1,98.900216,8485.638488,8386.738272
2018-07-31,1,0,0,0,-1,95.9913859999997,8389.065336,8485.056722
2018-08-01,-1,0,0,0,-1,8.14472399999977,8485.638488,8477.493764
2018-08-02,1,0,0,0,0,126.24321600000076,8475.457583,8601.700799
2018-08-03,1,1,1,0,1,16.289448000001357,8600.82815,8617.117598
2018-08-06,1,1,1,0,1,44.505097000001115,8615.081417,8659.586514
2018-08-07,1,1,1,0,1,44.21421399999963,8659.586514,8703.800728
2018-08-08,-1,0,1,0,1,18.03474499999902,8701.182781,8683.148036
2018-08-09,1,0,1,0,1,6.981191000000763,8684.020685,8691.001876
2018-08-10,-1,0,1,0,0,46.5412780000006,8694.201589,8647.660311
2018-08-13,-1,0,1,0,0,8.14472399999977,8639.806471,8631.661747
2018-08-14,1,0,1,0,0,48.28657600000042,8633.988811,8682.275387
2018-08-15,-1,0,1,0,1,93.66432200000054,8680.530089,8586.865767
2018-08-16,1,0,0,0,-1,1.4544150000001537,8586.865767,8588.320182
2018-08-17,1,0,0,0,-1,9.308254999999917,8589.774597,8599.082852
2018-08-20,-1,0,1,0,1,12.217084999998406,8599.373735,8587.15665
2018-08-21,-1,0,0,0,0,4.945010999999795,8588.320182,8583.375171
2018-08-22,1,0,0,0,-1,69.8119170000009,8580.175458,8649.987375
2018-08-23,-1,0,1,0,1,9.308254999999917,8649.114726,8639.806471
2018-08-24,1,0,1,0,1,80.86547100000098,8641.551768,8722.417239
2018-08-27,1,1,1,0,1,80.57458699999916,8725.326069,8805.900656
2018-08-28,1,1,1,0,1,14.54414899999938,8805.900656,8820.444805
2018-08-29,1,1,1,0,1,106.4631730000001,8820.735688,8927.198861
2018-08-30,-1,1,1,0,1,35.19684100000086,8927.489744,8892.292903
2018-08-31,1,0,1,0,1,37.52390500000001,8891.420254,8928.944159
2018-09-03,1,0,1,0,0,13.089733999999225,8924.290032,8937.379766
2018-09-04,-1,0,1,0,0,45.377746000000116,8937.088883,8891.711137
2018-09-05,-1,0,1,0,0,123.62526900000012,8892.00202,8768.376751
2018-09-06,-1,0,1,0,0,86.68313000000126,8761.395559,8674.712429
2018-09-07,-1,0,0,0,-1,24.14328800000112,8673.83978,8649.696492
2018-09-10,1,0,0,0,-1,31.997128999999404,8648.53296,8680.530089
2018-09-11,1,0,0,0,0,62.8307249999998,8680.530089,8743.360814
2018-09-12,-1,0,1,0,1,38.6874370000005,8744.233463,8705.546026
2018-09-13,1,0,0,0,0,97.04623700000047,8707.00044,8804.046677
2018-09-14,-1,0,1,0,1,22.02823200000057,8803.177142,8781.14891
2018-09-17,-1,0,1,0,1,112.74976699999934,8767.236342,8654.486575
2018-09-18,1,0,0,0,-1,76.22927600000003,8653.03735,8729.266626
2018-09-19,-1,0,0,0,-1,0.28984500000115077,8729.266626,8728.976781
2018-09-20,1,0,0,0,0,96.80828199999996,8729.846317,8826.654599
2018-09-21,-1,1,1,0,1,71.3019089999998,8821.727232,8750.425323
2018-09-24,1,0,1,-1,0,59.41825699999936,8741.440123,8800.85838
2018-09-25,1,0,1,0,0,8.695354999999836,8800.85838,8809.553735
2018-09-26,-1,1,1,0,1,8.985200000000987,8808.974045,8799.988845
2018-09-27,1,0,1,0,1,86.66370199999983,8799.988845,8886.652547
2018-09-28,1,0,1,0,1,5.507058000001052,8884.913476,8890.420534
2018-10-01,1,0,1,0,1,3.188295999998445,8894.768212,8897.956508
2018-10-02,-1,0,1,0,0,19.41962500000045,8898.246353,8878.826728
2018-10-03,-1,0,1,0,0,5.507057999999233,8876.507967,8871.000909
2018-10-04,-1,0,1,0,0,147.82102999999915,8870.421218,8722.600188
2018-10-05,-1,0,0,0,-1,95.93874700000015,8719.701736,8623.762989
2018-10-08,-1,0,0,0,-1,59.418257999999696,8629.559892,8570.141634
2018-10-09,1,0,0,0,-1,4.347676999999749,8568.982254,8573.329931
2018-10-10,-1,0,0,0,-1,453.89751700000033,8573.329931,8119.432414
2018-10-11,1,0,0,0,-1,37.96971600000052,8127.548078,8165.517794
2018-10-12,1,0,-1,0,-1,166.9508109999997,8162.909187,8329.859998
2018-10-15,-1,0,-1,0,0,124.05372700000044,8320.584953,8196.531226
2018-10-16,1,0,-1,0,0,315.6413769999999,8194.792155,8510.433532
2018-10-17,-1,1,-1,0,0,28.9845150000001,8509.563996,8480.579481
2018-10-18,-1,0,-1,0,0,175.93601099999978,8472.463816,8296.527805
2018-10-19,-1,0,-1,0,-1,57.38934100000006,8294.209044,8236.819703
2018-10-22,1,0,-1,-1,-1,84.92463099999986,8215.081316,8300.005947
2018-10-23,-1,0,-1,0,-1,15.361794000000373,8295.368425,8280.006631
2018-10-24,-1,0,-1,0,0,301.43896499999937,8273.630038,7972.191073
2018-10-25,1,0,-1,0,-1,13.332876999999826,7974.79968,7988.132557
2018-10-26,-1,0,-1,0,-1,15.651638999999705,7978.857512,7963.205873
2018-10-29,-1,0,-1,0,0,204.05099100000007,7997.407602,7793.356611
2018-10-30,1,0,-1,0,-1,144.34288900000047,7790.168314,7934.511203
2018-10-31,1,0,-1,1,-1,118.25682500000039,7949.872996,8068.129821
2018-11-01,1,0,-1,0,0,79.99726400000054,8069.289201,8149.286465
2018-11-02,-1,0,-1,0,0,13.332876999999826,8100.882323,8087.549446
2018-11-05,-1,0,-1,0,0,27.535289999999804,8084.071304,8056.536014
2018-11-06,1,0,-1,0,-1,76.80896699999994,8054.507098,8131.316065
2018-11-07,1,1,-1,0,0,248.97699000000011,8121.171485,8370.148475
2018-11-08,-1,0,0,0,1,73.04097999999976,8362.322656,8289.281676
2018-11-09,-1,0,0,0,1,135.35768899999948,8284.644154,8149.286465
2018-11-12,-1,0,-1,0,-1,214.48541700000078,8146.098168,7931.612751
2018-11-13,1,0,-1,0,-1,10.144580000000133,7938.27919,7948.42377
2018-11-14,-1,0,-1,0,-1,92.17075999999997,7955.380054,7863.209294
2018-11-15,1,0,-1,0,-1,125.50295399999959,7860.600687,7986.103641
2018-11-16,1,0,-1,0,0,26.37591000000066,7970.162157,7996.538067
2018-11-19,-1,0,-1,0,0,232.45581700000002,7970.741848,7738.286031
2018-11-20,-1,-1,-1,0,-1,168.68988199999967,7731.329747,7562.639865
2018-11-21,1,0,-1,0,-1,59.7081019999996,7568.146923,7627.855025
2018-11-22,-1,0,-1,0,-1,73.330825,7633.651929,7560.321104
2018-11-23,1,0,-1,0,-1,6.376594000000296,7564.958626,7571.33522
2018-11-26,1,0,-1,0,-1,118.54666999999972,7579.450884,7697.997554
2018-11-27,1,1,-1,0,0,90.431689,7697.707709,7788.139398
2018-11-28,1,1,-1,0,0,224.629997,7793.646456,8018.276453
2018-11-29,-1,0,0,0,1,0.0,8007.842028,8007.842028
2018-11-30,1,0,0,0,1,74.20035999999982,8002.33497,8076.53533
2018-12-03,1,1,0,1,1,15.941483999999946,8163.199032,8179.140516
2018-12-04,-1,0,0,0,1,293.3232989999997,8179.720206,7886.396907
2018-12-05,1,0,-1,0,-1,60.57763799999975,7879.150778,7939.728416
2018-12-06,1,0,0,0,0,8.985200000000077,7923.786932,7932.772132
2018-12-07,-1,0,-1,0,-1,236.51364900000044,7924.946313,7688.432664
2018-12-10,1,-1,-1,0,-1,114.48883800000021,7647.564496,7762.053334
2018-12-11,-1,0,-1,0,-1,15.361794000000373,7762.053334,7746.69154
2018-12-12,1,0,-1,0,0,91.30122500000016,7752.198598,7843.499823
2018-12-13,-1,0,-1,0,0,26.955598999999893,7847.8475,7820.891901
2018-12-14,-1,0,-1,0,0,197.5037570000004,7828.13803,7630.634273
2018-12-17,-1,-1,-1,-1,-1,122.41813700000057,7621.395169,7498.977032
2018-12-18,-1,0,-1,0,-1,40.132360999999946,7502.730418,7462.598057
2018-12-19,-1,0,-1,0,-1,133.67829600000005,7466.062722,7332.384426
2018-12-20,-1,-1,-1,0,-1,31.47069999999985,7333.539314,7302.068614
2018-12-21,-1,0,-1,0,-1,282.0814129999999,7304.667112,7022.585699
2018-12-24,-1,-1,-1,0,-1,179.87381900000037,6986.784168,6806.910349
2018-12-26,1,0,-1,0,-1,432.79430799999955,6816.149454,7248.943762
2018-12-27,1,0,-1,0,0,29.738368000000264,7256.161813,7285.900181
2018-12-28,-1,0,-1,0,0,14.72482300000047,7286.188903,7271.46408
2018-12-31,1,0,-1,0,0,46.19552400000066,7289.942289,7336.137813
2019-01-02,-1,0,-1,0,-1,101.91887300000053,7332.96187,7231.042997
2019-01-03,-1,0,-1,0,-1,81.41960999999992,7209.677568,7128.257958
2019-01-04,1,0,-1,0,-1,303.73556500000086,7124.21585,7427.951415
2019-01-07,1,0,0,0,1,62.07523399999991,7450.471733,7512.546967
2019-01-08,1,1,0,0,1,52.836129999999685,7513.701855,7566.537985
2019-01-09,1,1,0,0,1,65.53989899999942,7560.763544,7626.303443
2019-01-10,1,0,0,0,1,35.2240869999996,7619.085392,7654.309479
2019-01-11,-1,0,0,0,1,8.084217000000535,7648.246317,7640.1621
2019-01-14,-1,0,0,0,0,61.209069000000454,7621.106447,7559.897378
2019-01-15,1,0,0,0,0,156.4873350000007,7556.432714,7712.920049
2019-01-16,-1,1,0,0,1,3.464665000000423,7708.300497,7704.835832
2019-01-17,1,0,0,0,1,70.15945099999954,7703.1035,7773.262951
2019-01-18,1,0,0,0,1,95.56698799999958,7764.023847,7859.590835
2019-01-21,-1,0,0,0,1,38.111305999999786,7846.887066,7808.77576
2019-01-22,-1,0,0,0,1,117.22113999999965,7801.846431,7684.625291
2019-01-23,1,0,0,0,0,21.65415099999973,7682.315515,7703.969666
2019-01-24,1,0,0,0,0,25.407538000000386,7695.019284,7720.426822
2019-01-25,1,0,0,0,1,127.90385400000014,7719.849378,7847.753232
2019-01-28,-1,0,0,0,1,98.74293099999977,7835.049464,7736.306533
2019-01-29,-1,0,0,0,1,16.168432999999823,7732.264424,7716.095991
2019-01-30,1,0,0,0,0,171.5008800000005,7726.489984,7897.990864
2019-01-31,1,1,0,0,1,101.91887399999996,7904.342748,8006.261622
2019-02-01,-1,0,0,0,1,35.512808999999834,7981.431528,7945.918719
2019-02-04,1,0,1,0,1,94.12337899999966,7926.863066,8020.986445
2019-02-05,1,0,1,0,1,86.61660599999959,8012.036062,8098.652668
2019-02-06,-1,0,1,0,1,23.67520599999989,8094.899282,8071.224076
2019-02-07,-1,0,1,0,1,96.43315499999972,8070.35791,7973.924755
2019-02-08,1,0,1,0,0,25.407537999999477,7971.037535,7996.445073
2019-02-11,-1,0,1,0,0,13.281212999999298,7993.846575,7980.565362
2019-02-12,1,0,1,0,1,129.34746500000074,7978.544308,8107.891773
2019-02-13,-1,1,1,0,1,0.5774439999995593,8104.138386,8103.560942
2019-02-14,-1,0,1,0,1,0.0,8104.138386,8104.138386
2019-02-15,1,0,1,0,0,54.27973899999961,8104.427109,8158.706848
2019-02-18,1,0,1,0,1,19.633098000000246,8157.840682,8177.47378
2019-02-19,-1,0,1,0,1,12.992490999999973,8176.318892,8163.326401
2019-02-20,1,0,1,0,1,3.1759420000007594,8163.615123,8166.791065
2019-02-21,-1,0,1,0,1,38.40002899999945,8165.924899,8127.52487
2019-02-22,1,0,1,0,0,79.97599900000023,8120.30682,8200.282819
2019-02-25,1,0,1,1,1,14.436100999999326,8209.521924,8223.958025
2019-02-26,-1,0,1,0,1,12.415047000000413,8225.112913,8212.697866
2019-02-27,1,0,1,0,1,16.745876999999382,8210.38809,8227.133967
2019-02-28,-1,0,1,0,0,12.703768999999738,8224.246747,8211.542978
2019-03-01,1,0,1,0,1,60.92034599999897,8207.212148,8268.132494
2019-03-04,-1,0,1,1,1,37.82258399999955,8288.631757,8250.809173
2019-03-05,1,0,1,0,1,16.457155000000057,8251.097895,8267.55505
