Timeframe;SL_Type;RR_Ratio;Total_Trades;Wins;Losses;Inconclusive;Win_Rate_%;Total_PnL;Avg_Win;Avg_Loss;Avg_Candles_To_Win;Avg_Candles_To_Loss;Win_Loss_Ratio
1m;SL100;1.0;1209;554;655;0;45.82;-870.28;17.51;-16.14;3.6;2.5;1.08
1m;SL100;1.5;1209;480;729;0;39.7;350.22;25.78;-16.49;5.9;3.8;1.56
1m;SL100;2.0;1209;428;781;0;35.4;1945.02;34.61;-16.47;11.0;4.3;2.1
1m;SL100;2.5;1209;368;841;0;30.44;1830.87;42.9;-16.6;17.2;6.2;2.59
1m;SL100;3.0;1209;329;878;2;27.21;2317.37;50.96;-16.6;23.6;9.1;3.07
1m;SL100;3.5;1209;296;906;7;24.48;2546.2;58.13;-16.67;27.8;11.1;3.49
1m;SL100;4.0;1209;267;931;11;22.08;2984.26;66.33;-16.61;33.0;11.9;3.99
1m;SL100;4.5;1209;241;956;12;19.93;2603.53;73.5;-16.66;45.9;13.4;4.41
1m;SL100;5.0;1209;224;969;16;18.53;3189.97;81.28;-16.6;52.7;14.8;4.9
1m;SL75;1.0;1209;537;672;0;44.42;-967.59;13.26;-12.03;1.9;1.9;1.1
1m;SL75;1.5;1209;466;743;0;38.54;-51.94;19.51;-12.31;3.0;2.2;1.59
1m;SL75;2.0;1209;416;793;0;34.41;744.22;25.56;-12.47;4.5;2.8;2.05
1m;SL75;2.5;1209;375;834;0;31.02;1581.17;31.97;-12.48;6.7;3.1;2.56
1m;SL75;3.0;1209;333;876;0;27.54;1771.5;38.23;-12.51;10.4;3.8;3.06
1m;SL75;3.5;1209;301;908;0;24.9;1854.5;44.08;-12.57;13.2;5.7;3.51
1m;SL75;4.0;1209;275;933;1;22.75;2153.46;50.2;-12.56;16.4;7.1;4.0
1m;SL75;4.5;1209;253;954;2;20.93;2192.52;55.6;-12.6;24.6;8.7;4.41
1m;SL75;5.0;1209;234;969;6;19.35;2478.86;61.14;-12.59;24.7;9.2;4.86
1m;SL50;1.0;1209;474;735;0;39.21;-1425.49;9.19;-7.87;1.2;1.2;1.17
1m;SL50;1.5;1209;417;792;0;34.49;-795.99;13.44;-8.08;1.6;1.4;1.66
1m;SL50;2.0;1209;369;840;0;30.52;-484.54;17.44;-8.24;2.2;1.6;2.12
1m;SL50;2.5;1209;339;870;0;28.04;59.52;21.48;-8.3;3.2;1.7;2.59
