Timeframe,SL Level,R:R Ratio,Total Trades,Wins,Losses,No Result,Win Rate (%),Expectancy (R),Long Trades,Long Win Rate (%),Short Trades,Short Win Rate (%)
1m,25%,1.0,901,436,429,36,50.40462427745665,0.008092485549132944,491,52.96610169491526,410,47.32824427480916
1m,25%,1.5,901,355,499,47,41.569086651053865,0.0392271662763467,491,44.516129032258064,410,38.04627249357326
1m,25%,2.0,901,277,564,60,32.936979785969086,-0.01189060642092743,491,34.93449781659388,410,30.548302872062667
1m,25%,2.5,901,226,607,68,27.13085234093637,-0.050420168067226934,491,27.43362831858407,410,26.77165354330709
1m,25%,3.0,901,190,636,75,23.002421307506054,-0.07990314769975781,491,24.22222222222222,410,21.54255319148936
1m,25%,3.5,901,170,655,76,20.606060606060606,-0.07272727272727275,491,21.555555555555557,410,19.466666666666665
1m,25%,4.0,901,148,674,79,18.004866180048662,-0.0997566909975669,491,18.080357142857142,410,17.914438502673796
1m,25%,4.5,901,132,689,80,16.07795371498173,-0.11571254567600486,491,15.848214285714285,410,16.353887399463808
1m,25%,5.0,901,128,693,80,15.590742996345918,-0.06455542021924487,491,15.625,410,15.549597855227882
1m,50%,1.0,901,399,402,100,49.812734082397,-0.0037453183520599342,491,52.06422018348624,410,47.12328767123288
1m,50%,1.5,901,302,479,120,38.668373879641486,-0.033290653008962834,491,41.78403755868544,410,34.92957746478873
1m,50%,2.0,901,253,520,128,32.72962483829237,-0.018111254851228997,491,35.15439429928741,410,29.829545454545453
1m,50%,2.5,901,219,545,137,28.664921465968586,0.003272251308900409,491,31.009615384615387,410,25.862068965517242
1m,50%,3.0,901,185,562,154,24.765729585006692,-0.009370816599732268,491,26.550868486352357,410,22.674418604651162
1m,50%,3.5,901,164,576,161,22.162162162162165,-0.002702702702702675,491,23.67758186397985,410,20.408163265306122
1m,50%,4.0,901,137,594,170,18.741450068399455,-0.06292749658002728,491,19.948849104859335,410,17.352941176470587
1m,50%,4.5,901,114,601,186,15.944055944055943,-0.12307692307692308,491,17.36842105263158,410,14.328358208955224
1m,50%,5.0,901,103,606,192,14.527503526093088,-0.1283497884344147,491,15.957446808510639,410,12.912912912912914
1m,75%,1.0,901,379,363,159,51.078167115902964,0.021563342318059286,491,52.97029702970298,410,48.81656804733728
1m,75%,1.5,901,290,425,186,40.55944055944056,0.013986013986013957,491,42.05128205128205,410,38.76923076923077
1m,75%,2.0,901,233,455,213,33.866279069767444,0.015988372093023284,491,35.120643431635386,410,32.38095238095238
1m,75%,2.5,901,192,482,227,28.486646884272997,-0.0029673590504450953,491,29.395604395604398,410,27.419354838709676
1m,75%,3.0,901,145,496,260,22.620904836193446,-0.09516380655226209,491,24.418604651162788,410,20.53872053872054
1m,75%,3.5,901,123,503,275,19.64856230031949,-0.11581469648562293,491,21.492537313432834,410,17.525773195876287
1m,75%,4.0,901,101,510,290,16.53027823240589,-0.17348608837970536,491,17.391304347826086,410,15.570934256055363
1m,75%,4.5,901,77,515,309,13.006756756756758,-0.2846283783783784,491,12.662337662337661,410,13.380281690140844
1m,75%,5.0,901,58,517,326,10.08695652173913,-0.3947826086956522,491,9.427609427609427,410,10.79136690647482
1m,100%,1.0,901,354,345,202,50.64377682403433,0.012875536480686733,491,51.822916666666664,410,49.2063492063492
1m,100%,1.5,901,262,388,251,40.30769230769231,0.007692307692307665,491,41.29213483146067,410,39.1156462585034
1m,100%,2.0,901,203,416,282,32.794830371567045,-0.016155088852988664,491,34.21828908554572,410,31.071428571428573
1m,100%,2.5,901,152,433,316,25.982905982905987,-0.09059829059829061,491,28.30188679245283,410,23.220973782771537
1m,100%,3.0,901,119,441,341,21.25,-0.15000000000000002,491,22.40802675585284,410,19.923371647509576
1m,100%,3.5,901,81,447,373,15.340909090909092,-0.30965909090909083,491,15.467625899280577,410,15.2
1m,100%,4.0,901,59,449,393,11.614173228346457,-0.41929133858267714,491,10.984848484848484,410,12.295081967213115
1m,100%,4.5,901,48,449,404,9.6579476861167,-0.46881287726358156,491,9.266409266409266,410,10.084033613445378
1m,100%,5.0,901,42,450,409,8.536585365853659,-0.4878048780487805,491,7.8431372549019605,410,9.282700421940929
5m,25%,1.0,781,337,350,94,49.053857350800584,-0.01892285298398838,456,50.742574257425744,325,46.64310954063604
5m,25%,1.5,781,266,406,109,39.58333333333333,-0.01041666666666663,456,40.050377833753146,325,38.90909090909091
5m,25%,2.0,781,215,449,117,32.37951807228915,-0.028614457831325324,456,32.31552162849873,325,32.47232472324723
5m,25%,2.5,781,172,483,126,26.259541984732827,-0.08091603053435115,456,26.94300518134715,325,25.27881040892193
5m,25%,3.0,781,149,496,136,23.10077519379845,-0.07596899224806197,456,24.409448818897637,325,21.21212121212121
5m,25%,3.5,781,115,509,157,18.429487179487182,-0.17067307692307687,456,18.40659340659341,325,18.461538461538463
5m,25%,4.0,781,99,512,170,16.20294599018003,-0.18985270049099845,456,15.29745042492918,325,17.441860465116278
5m,25%,4.5,781,82,518,181,13.666666666666666,-0.2483333333333333,456,13.294797687861271,325,14.173228346456693
5m,25%,5.0,781,66,523,192,11.205432937181664,-0.32767402376910026,456,11.209439528023598,325,11.200000000000001
5m,50%,1.0,781,308,295,178,51.07794361525705,0.021558872305140975,456,53.08988764044944,325,48.178137651821864
5m,50%,1.5,781,221,339,221,39.464285714285715,-0.013392857142857095,456,41.46341463414634,325,36.637931034482754
5m,50%,2.0,781,158,351,272,31.041257367387033,-0.06876227897838905,456,30.526315789473685,325,31.69642857142857
5m,50%,2.5,781,112,361,308,23.678646934460886,-0.17124735729386897,456,23.754789272030653,325,23.58490566037736
5m,50%,3.0,781,82,365,334,18.344519015659955,-0.2662192393736018,456,18.0327868852459,325,18.7192118226601
5m,50%,3.5,781,66,371,344,15.102974828375288,-0.3203661327231121,456,15.126050420168067,325,15.07537688442211
5m,50%,4.0,781,53,373,355,12.44131455399061,-0.37793427230046944,456,12.5,325,12.371134020618557
5m,50%,4.5,781,41,373,367,9.903381642512077,-0.4553140096618358,456,9.375,325,10.526315789473683
5m,50%,5.0,781,28,373,380,6.982543640897755,-0.5810473815461348,456,6.018518518518518,325,8.108108108108109
5m,75%,1.0,781,256,244,281,51.2,0.02400000000000002,456,54.794520547945204,325,46.15384615384615
5m,75%,1.5,781,157,257,367,37.92270531400966,-0.05193236714975835,456,38.93805309734513,325,36.702127659574465
5m,75%,2.0,781,98,268,415,26.775956284153008,-0.19672131147540983,456,27.835051546391753,325,25.581395348837212
5m,75%,2.5,781,71,274,436,20.579710144927535,-0.2797101449275363,456,21.85792349726776,325,19.1358024691358
5m,75%,3.0,781,49,275,457,15.123456790123457,-0.3950617283950617,456,15.384615384615385,325,14.838709677419354
5m,75%,3.5,781,30,275,476,9.836065573770492,-0.5573770491803278,456,8.9171974522293,325,10.81081081081081
5m,75%,4.0,781,20,275,486,6.779661016949152,-0.6610169491525424,456,6.535947712418301,325,7.042253521126761
5m,75%,4.5,781,16,275,490,5.498281786941581,-0.697594501718213,456,4.666666666666667,325,6.382978723404255
5m,75%,5.0,781,8,276,497,2.8169014084507045,-0.8309859154929577,456,2.7210884353741496,325,2.9197080291970803
5m,100%,1.0,781,200,194,387,50.76142131979695,0.015228426395939076,456,51.36363636363637,325,50.0
5m,100%,1.5,781,107,206,468,34.185303514377,-0.14536741214057514,456,34.33734939759036,325,34.01360544217687
5m,100%,2.0,781,70,211,500,24.91103202846975,-0.2526690391459075,456,25.503355704697988,325,24.242424242424242
5m,100%,2.5,781,37,211,533,14.919354838709678,-0.4778225806451613,456,13.953488372093023,325,15.966386554621847
5m,100%,3.0,781,23,211,547,9.82905982905983,-0.6068376068376069,456,9.75609756097561,325,9.90990990990991
5m,100%,3.5,781,13,212,556,5.777777777777778,-0.74,456,5.88235294117647,325,5.660377358490567
5m,100%,4.0,781,7,213,561,3.1818181818181817,-0.8409090909090908,456,2.608695652173913,325,3.8095238095238098
5m,100%,4.5,781,5,213,563,2.293577981651376,-0.8738532110091743,456,1.7543859649122806,325,2.8846153846153846
5m,100%,5.0,781,5,213,563,2.293577981651376,-0.8623853211009175,456,1.7543859649122806,325,2.8846153846153846
15m,25%,1.0,695,265,298,132,47.06927175843694,-0.058614564831261096,410,47.16417910447761,285,46.92982456140351
15m,25%,1.5,695,210,332,153,38.74538745387454,-0.03136531365313655,410,39.318885448916404,285,37.89954337899543
15m,25%,2.0,695,162,357,176,31.213872832369944,-0.06358381502890176,410,32.7922077922078,285,28.90995260663507
15m,25%,2.5,695,134,366,195,26.8,-0.061999999999999944,410,28.2312925170068,285,24.75728155339806
15m,25%,3.0,695,104,378,213,21.57676348547718,-0.13692946058091282,410,23.214285714285715,285,19.306930693069308
15m,25%,3.5,695,80,381,234,17.35357917570499,-0.21908893709327548,410,17.803030303030305,285,16.751269035532996
15m,25%,4.0,695,64,384,247,14.285714285714285,-0.2857142857142857,410,14.173228346456693,285,14.432989690721648
15m,25%,4.5,695,46,388,261,10.599078341013826,-0.41705069124423966,410,10.612244897959183,285,10.582010582010582
15m,25%,5.0,695,40,388,267,9.345794392523365,-0.4392523364485981,410,9.50413223140496,285,9.13978494623656
15m,50%,1.0,695,237,206,252,53.49887133182845,0.06997742663656886,410,54.263565891472865,285,52.43243243243243
15m,50%,1.5,695,153,225,317,40.476190476190474,0.011904761904761973,410,40.0,285,41.07142857142857
15m,50%,2.0,695,94,234,367,28.65853658536585,-0.1402439024390244,410,26.81564245810056,285,30.87248322147651
15m,50%,2.5,695,60,238,397,20.13422818791946,-0.2953020134228188,410,18.51851851851852,285,22.058823529411764
15m,50%,3.0,695,41,240,414,14.590747330960854,-0.41637010676156583,410,13.725490196078432,285,15.625
15m,50%,3.5,695,26,241,428,9.737827715355806,-0.5617977528089888,410,9.58904109589041,285,9.917355371900827
15m,50%,4.0,695,17,241,437,6.5891472868217065,-0.6705426356589147,410,5.0359712230215825,285,8.403361344537815
15m,50%,4.5,695,16,241,438,6.22568093385214,-0.6575875486381323,410,4.3478260869565215,285,8.403361344537815
15m,50%,5.0,695,12,241,442,4.743083003952568,-0.7154150197628459,410,3.64963503649635,285,6.0344827586206895
15m,75%,1.0,695,163,146,386,52.75080906148867,0.05501618122977342,410,53.80116959064327,285,51.449275362318836
15m,75%,1.5,695,76,153,466,33.18777292576419,-0.1703056768558952,410,33.057851239669425,285,33.33333333333333
15m,75%,2.0,695,43,155,497,21.71717171717172,-0.3484848484848485,410,22.115384615384613,285,21.27659574468085
15m,75%,2.5,695,23,157,515,12.777777777777777,-0.5527777777777778,410,12.76595744680851,285,12.790697674418606
15m,75%,3.0,695,16,157,522,9.248554913294797,-0.6300578034682082,410,6.8181818181818175,285,11.76470588235294
15m,75%,3.5,695,11,157,527,6.547619047619048,-0.7053571428571428,410,5.747126436781609,285,7.4074074074074066
