sweep_type,sweep_level,sweep_wick,sweep_time,fvg_type,fvg_time,fvg_high,fvg_low,direction,entry_time,entry_price,stop_loss,take_profit,risk,outcome,exit_time,exit_price,pnl
bullish,7511.647587,7511.3547,2018-01-02 02:00:00,bearish_fvg,2018-01-02 02:15:00,7511.940473,7510.476042,LONG,2018-01-02 02:16:00,7511.940473,7510.8547,7515.197791999999,1.08577299999979,LOSS,2018-01-02 02:18:00,7510.8547,-1.08577299999979
bearish,7650.182671,7651.354215,2018-01-03 08:15:00,bullish_fvg,2018-01-03 08:25:00,7645.496495,7643.446293,SHORT,2018-01-03 08:27:00,7644.324951,7651.854215,7621.7371589999975,7.529264000000694,LOSS,2018-01-03 08:31:00,7651.854215,-7.529264000000694
bullish,7722.23263,7718.132226,2018-01-04 12:15:00,bearish_fvg,2018-01-04 12:20:00,7724.868604,7723.989946,LONG,2018-01-04 12:35:00,7723.989946,7717.632226,7743.063106,6.357719999999972,WIN,2018-01-04 17:35:00,7743.063106,19.073159999999916
bullish,7809.805548,7809.512662,2018-01-08 02:15:00,bearish_fvg,2018-01-08 02:20:00,7813.32018,7811.562864,LONG,2018-01-08 02:21:00,7812.441522,7809.012662,7822.728102,3.428859999999986,LOSS,2018-01-08 03:37:00,7809.012662,-3.428859999999986
bullish,7824.156963,7823.571191,2018-01-08 13:45:00,bearish_fvg,2018-01-08 13:50:00,7830.014683,7828.550253,LONG,2018-01-08 13:50:00,7829.721797,7823.071191,7849.673615000001,6.650606000000153,WIN,2018-01-09 07:26:00,7849.673615000001,19.951818000000458
bullish,7823.864077,7823.278305,2018-01-09 18:45:00,bearish_fvg,2018-01-09 18:50:00,7827.671595,7826.207165,LONG,2018-01-09 18:52:00,7827.378709,7822.778305,7841.179920999999,4.6004039999997985,LOSS,2018-01-09 20:52:00,7822.778305,-4.6004039999997985
bullish,7779.638289,7771.43748,2018-01-10 08:45:00,bearish_fvg,2018-01-10 08:50:00,7792.818159,7784.910237,LONG,2018-01-10 08:51:00,7787.253325,7770.93748,7836.20086,16.31584500000008,LOSS,2018-01-10 09:01:00,7770.93748,-16.31584500000008
bearish,7961.227617,7964.156477,2018-01-17 11:30:00,bullish_fvg,2018-01-17 11:35:00,7959.470301,7954.491239,SHORT,2018-01-17 11:36:00,7954.784125,7964.656477,7925.167068999999,9.872352000000319,LOSS,2018-01-17 11:54:00,7964.656477,-9.872352000000319
bullish,8112.3568,8102.691562,2018-01-25 08:45:00,bearish_fvg,2018-01-25 08:50:00,8151.017754,8137.252111,LONG,2018-01-25 08:50:00,8147.796008,8102.191562,8284.609346000001,45.60444600000028,LOSS,2018-01-25 13:48:00,8102.191562,-45.60444600000028
bullish,8148.674666,8145.745806,2018-01-30 07:15:00,bearish_fvg,2018-01-30 07:25:00,8153.653728,8151.603526,LONG,2018-01-30 07:26:00,8153.653728,8145.245806,8178.877494000001,8.407922000000326,LOSS,2018-01-30 07:46:00,8145.245806,-8.407922000000326
bullish,8176.205951,8174.155749,2018-02-01 02:00:00,bearish_fvg,2018-02-01 02:15:00,8175.620179,8174.741521,LONG,2018-02-01 02:18:00,8175.327293,8173.655749,8180.341925000002,1.671544000000722,LOSS,2018-02-01 02:20:00,8173.655749,-1.671544000000722
bullish,8018.633276,8008.089379,2018-02-02 08:45:00,bearish_fvg,2018-02-02 08:50:00,8039.135297,8025.369654,LONG,2018-02-02 08:50:00,8025.955426,8007.589379,8081.053567000002,18.366047000000435,LOSS,2018-02-02 09:00:00,8007.589379,-18.366047000000435
bearish,7900.307326,7902.064642,2018-02-04 22:00:00,bullish_fvg,2018-02-04 22:05:00,7897.964238,7895.035378,SHORT,2018-02-04 22:06:00,7895.035378,7902.564642,7872.4475859999975,7.529264000000694,LOSS,2018-02-04 22:18:00,7902.564642,-7.529264000000694
bullish,7483.530529,7470.350659,2018-02-05 19:30:00,bearish_fvg,2018-02-05 19:45:00,7486.752275,7454.534814,LONG,2018-02-05 19:47:00,7455.120586,7469.850659,7410.930367000001,-14.73007299999972,LOSS,2018-02-05 19:48:00,7469.850659,14.73007299999972
bearish,7660.726567,7664.534086,2018-02-06 08:30:00,bullish_fvg,2018-02-06 08:35:00,7604.492453,7586.919292,SHORT,2018-02-06 08:35:00,7600.392049,7665.034086,7406.465938000001,64.64203699999962,LOSS,2018-02-06 08:48:00,7665.034086,-64.64203699999962
bearish,7460.392534,7470.057773,2018-02-09 02:30:00,bullish_fvg,2018-02-09 02:45:00,7466.250254,7463.907166,SHORT,2018-02-09 02:46:00,7464.200052,7470.557773,7445.126888999999,6.357721000000311,LOSS,2018-02-09 02:49:00,7470.557773,-6.357721000000311
bullish,7623.237158,7621.479842,2018-02-12 18:00:00,bearish_fvg,2018-02-12 18:10:00,7637.0028,7629.973536,LONG,2018-02-12 18:10:00,7637.0028,7620.979842,7685.071674000002,16.02295800000047,LOSS,2018-02-13 01:45:00,7620.979842,-16.02295800000047
bearish,7895.62115,7896.206922,2018-02-15 03:15:00,bullish_fvg,2018-02-15 03:20:00,7891.813632,7889.177658,SHORT,2018-02-15 03:23:00,7889.177658,7896.706922,7866.5898659999975,7.529264000000694,WIN,2018-02-15 06:49:00,7866.5898659999975,22.587792000002082
bearish,7965.328021,7965.913793,2018-02-21 05:45:00,bullish_fvg,2018-02-21 05:50:00,7958.298757,7952.441037,SHORT,2018-02-21 05:50:00,7953.905467,7966.413793,7916.380488999999,12.508326000000125,LOSS,2018-02-21 06:00:00,7966.413793,-12.508326000000125
bearish,7973.52883,7974.407488,2018-02-22 23:45:00,bullish_fvg,2018-02-23 00:00:00,7973.821716,7973.235944,SHORT,2018-02-23 00:06:00,7973.821716,7974.907488,7970.564400000002,1.0857719999994515,LOSS,2018-02-23 00:07:00,7974.907488,-1.0857719999994515
bearish,7987.001586,7987.587358,2018-02-23 05:45:00,bullish_fvg,2018-02-23 05:55:00,7986.7087,7983.77984,SHORT,2018-02-23 05:56:00,7985.24427,7988.087358,7976.715006000001,2.843087999999625,LOSS,2018-02-23 06:00:00,7988.087358,-2.843087999999625
bearish,8161.56165,8162.733194,2018-02-26 11:30:00,bullish_fvg,2018-02-26 11:45:00,8161.854536,8157.754132,SHORT,2018-02-26 11:49:00,8161.854536,8163.233194,8157.718561999998,1.3786580000005415,LOSS,2018-02-26 11:50:00,8163.233194,-1.3786580000005415
bearish,8209.594957,8210.180729,2018-02-26 19:30:00,bullish_fvg,2018-02-26 19:40:00,8207.251868,8206.37321,SHORT,2018-02-26 19:40:00,8206.37321,8210.680729,8193.450653,4.307518999999957,LOSS,2018-02-26 19:45:00,8210.680729,-4.307518999999957
bullish,8174.155749,8169.176687,2018-02-27 09:30:00,bearish_fvg,2018-02-27 09:40:00,8182.649443,8178.256153,LONG,2018-02-27 09:42:00,8180.306355,8168.676687,8215.195358999998,11.629667999999583,LOSS,2018-02-27 09:46:00,8168.676687,-11.629667999999583
bullish,8100.64136,8098.591157,2018-02-28 09:45:00,bearish_fvg,2018-02-28 09:50:00,8126.122443,8118.507406,LONG,2018-02-28 09:50:00,8124.950899,8098.091157,8205.530125000001,26.85974200000055,LOSS,2018-02-28 10:12:00,8098.091157,-26.85974200000055
bearish,8052.608053,8054.365369,2018-03-01 00:45:00,bullish_fvg,2018-03-01 00:50:00,8050.850737,8047.921877,SHORT,2018-03-01 00:53:00,8048.214763,8054.865369,8028.2629449999995,6.650606000000153,LOSS,2018-03-01 01:00:00,8054.865369,-6.650606000000153
bullish,8026.834084,8026.248312,2018-03-01 03:45:00,bearish_fvg,2018-03-01 03:50:00,8036.499323,8033.863348,LONG,2018-03-01 03:51:00,8035.327779,8025.748312,8064.066180000002,9.579467000000477,LOSS,2018-03-01 04:21:00,8025.748312,-9.579467000000477
bearish,8079.260681,8080.432225,2018-03-05 13:45:00,bullish_fvg,2018-03-05 13:55:00,8076.624706,8071.059872,SHORT,2018-03-05 13:56:00,8075.453162,8080.932225,8059.0159730000005,5.479062999999769,LOSS,2018-03-05 14:01:00,8080.932225,-5.479062999999769
bullish,8353.914422,8353.622582,2018-03-12 06:45:00,bearish_fvg,2018-03-12 06:50:00,8358.875699,8358.292019,LONG,2018-03-12 06:50:00,8358.875699,8353.122582,8376.13505,5.753117000000202,LOSS,2018-03-12 07:01:00,8353.122582,-5.753117000000202
bearish,8374.635048,8376.094247,2018-03-12 11:45:00,bullish_fvg,2018-03-12 12:00:00,8376.677927,8376.094247,SHORT,2018-03-12 12:44:00,8376.677927,8376.594247,8376.928967,-0.08367999999973108,LOSS,2018-03-12 12:45:00,8376.594247,0.08367999999973108
bullish,8221.127311,8215.874194,2018-03-14 10:30:00,bearish_fvg,2018-03-14 10:35:00,8247.976573,8234.843781,LONG,2018-03-14 10:35:00,8237.762179,8215.374194,8304.926133999998,22.38798499999939,LOSS,2018-03-14 11:10:00,8215.374194,-22.38798499999939
bullish,8101.47299,8096.803554,2018-03-19 09:00:00,bearish_fvg,2018-03-19 09:05:00,8113.730262,8111.687384,LONG,2018-03-19 09:05:00,8112.562903,8096.303554,8161.34095,16.25934899999993,LOSS,2018-03-19 09:23:00,8096.303554,-16.25934899999993
bearish,8065.284855,8066.452214,2018-03-20 05:45:00,bullish_fvg,2018-03-20 05:50:00,8061.199097,8060.323578,SHORT,2018-03-20 05:53:00,8061.199097,8066.952214,8043.939745999999,5.753117000000202,LOSS,2018-03-20 06:07:00,8066.952214,-5.753117000000202
bearish,8079.293165,8080.168685,2018-03-20 22:00:00,bullish_fvg,2018-03-20 22:05:00,8078.417646,8078.125806,SHORT,2018-03-20 22:08:00,8078.417646,8080.668685,8071.664529000001,2.251038999999764,LOSS,2018-03-20 23:50:00,8080.668685,-2.251038999999764
bullish,8061.199097,8059.739898,2018-03-21 03:00:00,bearish_fvg,2018-03-21 03:05:00,8066.452214,8064.701175,LONG,2018-03-21 03:07:00,8065.868534,8059.239898,8085.754442000001,6.62863600000037,LOSS,2018-03-21 03:24:00,8059.239898,-6.62863600000037
bullish,8035.517195,8033.182476,2018-03-21 06:30:00,bearish_fvg,2018-03-21 06:40:00,8050.401025,8047.190787,LONG,2018-03-21 06:40:00,8049.233665,8032.682476,8098.887231999999,16.551188999999795,LOSS,2018-03-21 08:30:00,8032.682476,-16.551188999999795
bullish,8029.388559,8022.384403,2018-03-21 13:30:00,bearish_fvg,2018-03-21 13:35:00,8043.980549,8042.22951,LONG,2018-03-21 13:37:00,8043.688709,8021.884403,8109.101627,21.804305999999997,LOSS,2018-03-21 13:47:00,8021.884403,-21.804305999999997
bearish,7797.959593,7800.586151,2018-03-26 13:00:00,bullish_fvg,2018-03-26 13:05:00,7783.075763,7779.865525,SHORT,2018-03-26 13:09:00,7782.492083,7801.086151,7726.709878999999,18.594068000000334,LOSS,2018-03-26 13:16:00,7801.086151,-18.594068000000334
bearish,7610.890278,7612.057637,2018-03-29 04:15:00,bullish_fvg,2018-03-29 04:20:00,7602.718764,7600.675885,SHORT,2018-03-29 04:22:00,7601.843244,7612.557637,7569.700064999999,10.7143930000002,LOSS,2018-03-29 04:34:00,7612.557637,-10.7143930000002
bearish,7694.940142,7700.193258,2018-04-04 18:15:00,bullish_fvg,2018-04-04 18:20:00,7692.897263,7690.854385,SHORT,2018-04-04 18:23:00,7692.605424,7700.693258,7668.3419220000005,8.08783399999993,LOSS,2018-04-04 18:35:00,7700.693258,-8.08783399999993
bullish,7710.115812,7708.072933,2018-04-05 09:00:00,bearish_fvg,2018-04-05 09:15:00,7713.32605,7710.699491,LONG,2018-04-05 09:30:00,7713.03421,7707.572933,7729.418040999998,5.461276999999427,LOSS,2018-04-05 09:34:00,7707.572933,-5.461276999999427
bullish,7606.512681,7605.345322,2018-04-06 00:15:00,bearish_fvg,2018-04-06 00:20:00,7613.224997,7612.057637,LONG,2018-04-06 00:57:00,7612.349477,7604.845322,7634.861941999999,7.504154999999628,WIN,2018-04-06 01:25:00,7634.861941999999,22.512464999998883
bullish,7567.406147,7559.526472,2018-04-09 14:45:00,bearish_fvg,2018-04-09 14:55:00,7582.873657,7570.032705,LONG,2018-04-09 14:56:00,7571.783744,7559.026472,7610.0555600000025,12.75727200000074,LOSS,2018-04-09 15:00:00,7559.026472,-12.75727200000074
bullish,7638.61506,7637.4477,2018-04-10 11:15:00,bearish_fvg,2018-04-10 11:20:00,7678.305273,7673.635836,LONG,2018-04-10 11:21:00,7678.013433,7636.9477,7801.210632000001,41.065733000000364,WIN,2018-04-12 09:10:00,7801.210632000001,123.19719900000109
bullish,7734.338516,7728.20988,2018-04-13 14:00:00,bearish_fvg,2018-04-13 14:15:00,7734.922195,7727.6262,LONG,2018-04-13 14:16:00,7729.085399,7727.70988,7733.211955999997,1.375518999999258,LOSS,2018-04-13 14:17:00,7727.70988,-1.375518999999258
bearish,7876.172661,7879.674739,2018-04-17 05:00:00,bullish_fvg,2018-04-17 05:05:00,7871.795064,7869.752185,SHORT,2018-04-17 05:07:00,7870.044025,7880.174739,7839.651883,10.130713999999898,LOSS,2018-04-17 07:01:00,7880.174739,-10.130713999999898
bearish,7885.511535,7886.387054,2018-04-27 06:45:00,bullish_fvg,2018-04-27 06:55:00,7884.636015,7881.717617,SHORT,2018-04-27 06:56:00,7883.468656,7886.887054,7873.213462000001,3.4183979999997973,LOSS,2018-04-27 07:00:00,7886.887054,-3.4183979999997973
bearish,7831.813011,7835.898768,2018-04-30 04:30:00,bullish_fvg,2018-04-30 04:35:00,7829.478292,7828.310933,SHORT,2018-04-30 04:35:00,7828.310933,7836.398768,7804.047427999999,8.087835000000268,WIN,2018-04-30 08:06:00,7804.047427999999,24.263505000000805
bearish,7841.443724,7841.735564,2018-05-02 01:15:00,bullish_fvg,2018-05-02 01:20:00,7839.109006,7838.525326,SHORT,2018-05-02 01:24:00,7839.109006,7842.235564,7829.729332,3.126557999999932,LOSS,2018-05-02 01:48:00,7842.235564,-3.126557999999932
bullish,7734.046676,7731.128278,2018-05-02 20:15:00,bearish_fvg,2018-05-02 20:20:00,7742.80187,7739.883472,LONG,2018-05-02 20:20:00,7740.175312,7730.628278,7768.816414000001,9.547034000000167,LOSS,2018-05-03 06:51:00,7730.628278,-9.547034000000167
bearish,7749.514186,7762.646977,2018-05-03 12:15:00,bullish_fvg,2018-05-03 12:30:00,7763.814336,7744.552909,SHORT,2018-05-03 12:31:00,7753.891783,7763.146977,7726.126200999999,9.255194000000301,LOSS,2018-05-03 12:34:00,7763.146977,-9.255194000000301
bullish,7755.934661,7751.557064,2018-05-03 20:45:00,bearish_fvg,2018-05-03 20:50:00,7770.818491,7759.144899,LONG,2018-05-03 20:50:00,7770.818491,7751.057064,7830.102772000001,19.761427000000367,LOSS,2018-05-03 21:03:00,7751.057064,-19.761427000000367
bullish,7917.613913,7915.279195,2018-05-08 11:45:00,bearish_fvg,2018-05-08 11:50:00,7938.0427,7929.287505,LONG,2018-05-08 11:51:00,7935.416141,7914.779195,7997.326978999999,20.636945999999625,LOSS,2018-05-08 13:40:00,7914.779195,-20.636945999999625
bearish,7964.600122,7965.475641,2018-05-08 15:45:00,bullish_fvg,2018-05-08 15:50:00,7963.140923,7962.265403,SHORT,2018-05-08 15:50:00,7962.849083,7965.975641,7953.469409,3.126557999999932,LOSS,2018-05-08 17:00:00,7965.975641,-3.126557999999932
bearish,8050.984704,8054.486782,2018-05-16 02:15:00,bullish_fvg,2018-05-16 02:30:00,8053.903102,8050.984704,SHORT,2018-05-16 02:33:00,8052.735743,8054.986782,8045.982626000001,2.251038999999764,LOSS,2018-05-16 02:34:00,8054.986782,-2.251038999999764
bearish,8056.529661,8067.911413,2018-05-16 08:30:00,bullish_fvg,2018-05-16 08:45:00,8068.786932,8067.911413,SHORT,2018-05-16 08:48:00,8068.203253,8068.411413,8067.578772999999,0.20816000000013446,LOSS,2018-05-16 08:49:00,8068.411413,-0.20816000000013446
bullish,8093.885156,8093.593316,2018-05-16 14:15:00,bearish_fvg,2018-05-16 14:30:00,8098.262753,8097.970913,LONG,2018-05-16 14:33:00,8098.262753,8093.093316,8113.771063999999,5.1694369999995615,LOSS,2018-05-16 14:37:00,8093.093316,-5.1694369999995615
bullish,8062.658296,8060.615418,2018-05-17 07:15:00,bearish_fvg,2018-05-17 07:20:00,8067.911413,8067.327733,LONG,2018-05-17 07:21:00,8067.327733,8060.115418,8088.964677999999,7.212314999999762,LOSS,2018-05-17 07:32:00,8060.115418,-7.212314999999762
bearish,8074.915568,8083.962602,2018-05-17 08:45:00,bullish_fvg,2018-05-17 09:00:00,8085.129961,8075.499248,SHORT,2018-05-17 09:00:00,8078.417646,8084.462602,8060.282778000001,6.044955999999729,LOSS,2018-05-17 09:01:00,8084.462602,-6.044955999999729
bearish,8087.46468,8090.383078,2018-05-21 07:45:00,bullish_fvg,2018-05-21 07:50:00,8085.713641,8084.838122,SHORT,2018-05-21 07:50:00,8085.129961,8090.883078,8067.870609999999,5.753117000000202,LOSS,2018-05-21 08:30:00,8090.883078,-5.753117000000202
bearish,8051.860224,8055.945981,2018-05-23 11:00:00,bullish_fvg,2018-05-23 11:05:00,8049.233665,8045.731588,SHORT,2018-05-23 11:05:00,8048.358146,8056.445981,8024.094640999999,8.087835000000268,LOSS,2018-05-23 11:44:00,8056.445981,-8.087835000000268
bullish,8134.742728,8130.948811,2018-05-25 06:15:00,bearish_fvg,2018-05-25 06:20:00,8136.785607,8136.201927,LONG,2018-05-25 06:20:00,8136.201927,8130.448811,8153.461275,5.753115999999864,LOSS,2018-05-25 06:40:00,8130.448811,-5.753115999999864
bearish,8156.922553,8157.214393,2018-05-28 09:15:00,bullish_fvg,2018-05-28 09:20:00,8153.712316,8152.253117,SHORT,2018-05-28 09:22:00,8152.253117,8157.714393,8135.869289,5.461275999999998,LOSS,2018-05-28 09:31:00,8157.714393,-5.461275999999998
bullish,8149.334719,8148.167359,2018-05-28 19:45:00,bearish_fvg,2018-05-28 20:00:00,8148.167359,8147.58368,LONG,2018-05-28 20:01:00,8147.58368,8147.667359,8147.332642999999,-0.08367900000030204,LOSS,2018-05-28 20:02:00,8147.667359,0.08367900000030204
bearish,8109.352665,8111.103704,2018-05-30 00:45:00,bullish_fvg,2018-05-30 00:50:00,8107.017947,8096.511714,SHORT,2018-05-30 00:51:00,8099.721952,8111.603704,8064.076695999999,11.881752000000233,LOSS,2018-05-30 01:03:00,8111.603704,-11.881752000000233
bearish,8179.102379,8179.977898,2018-06-01 07:30:00,bullish_fvg,2018-06-01 07:45:00,8177.64318,8171.222704,SHORT,2018-06-01 07:47:00,8174.141102,8180.477898,8155.130713999998,6.336796000000504,LOSS,2018-06-01 07:50:00,8180.477898,-6.336796000000504
bullish,8349.828665,8349.244985,2018-06-05 10:00:00,bearish_fvg,2018-06-05 10:05:00,8370.841131,8361.502257,LONG,2018-06-05 10:05:00,8367.339053,8348.744985,8423.121257,18.594068000000334,LOSS,2018-06-05 10:34:00,8348.744985,-18.594068000000334
bearish,8386.89232,8390.394398,2018-06-05 15:45:00,bullish_fvg,2018-06-05 15:50:00,8384.557601,8381.347364,SHORT,2018-06-05 15:50:00,8381.347364,8390.894398,8352.706261999996,9.547034000001076,LOSS,2018-06-05 19:34:00,8390.894398,-9.547034000001076
bearish,8346.887303,8348.341718,2018-06-11 01:45:00,bullish_fvg,2018-06-11 02:00:00,8350.087016,8345.723771,SHORT,2018-06-11 02:00:00,8345.723771,8348.841718,8336.369930000004,3.1179469999988214,LOSS,2018-06-11 02:04:00,8348.841718,-3.1179469999988214
bullish,8367.539995,8364.340282,2018-06-12 03:15:00,bearish_fvg,2018-06-12 03:20:00,8376.848251,8371.030591,LONG,2018-06-12 03:20:00,8375.975602,8363.840282,8412.381562000004,12.13532000000123,LOSS,2018-06-12 03:52:00,8363.840282,-12.13532000000123
bearish,8426.880124,8429.498071,2018-06-12 15:45:00,bullish_fvg,2018-06-12 15:50:00,8421.644231,8419.317167,SHORT,2018-06-12 15:50:00,8419.898933,8429.998071,8389.601519000002,10.099137999999584,LOSS,2018-06-12 17:23:00,8429.998071,-10.099137999999584
bullish,8404.191251,8401.282421,2018-06-14 00:00:00,bearish_fvg,2018-06-14 00:05:00,8405.0639,8404.482134,LONG,2018-06-14 00:14:00,8404.482134,8400.782421,8415.581273,3.6997129999999743,LOSS,2018-06-14 00:34:00,8400.782421,-3.6997129999999743
bearish,8508.618244,8511.527073,2018-06-14 12:15:00,bullish_fvg,2018-06-14 12:20:00,8504.836765,8503.964116,SHORT,2018-06-14 12:21:00,8503.964116,8512.027073,8479.775244999999,8.062957000000097,LOSS,2018-06-14 12:32:00,8512.027073,-8.062957000000097
bullish,8477.493764,8472.548753,2018-06-15 05:15:00,bearish_fvg,2018-06-15 05:20:00,8486.511137,8484.184073,LONG,2018-06-15 05:42:00,8485.056722,8472.048753,8524.080629,13.00796900000023,LOSS,2018-06-15 07:36:00,8472.048753,-13.00796900000023
bullish,8418.444518,8415.826571,2018-06-18 05:15:00,bearish_fvg,2018-06-18 05:30:00,8417.280986,8415.244805,LONG,2018-06-18 05:31:00,8417.280986,8415.326571,8423.144231,1.9544150000001537,LOSS,2018-06-18 05:33:00,8415.326571,-1.9544150000001537
bullish,8339.324345,8337.288164,2018-06-19 09:15:00,bearish_fvg,2018-06-19 09:25:00,8348.050835,8344.851122,LONG,2018-06-19 09:41:00,8347.178186,8336.788164,8378.348251999998,10.39002199999959,WIN,2018-06-19 09:56:00,8378.348251999998,31.17006599999877
bullish,8425.716592,8410.88156,2018-06-21 14:15:00,bearish_fvg,2018-06-21 14:30:00,8424.843943,8423.098645,LONG,2018-06-21 14:32:00,8423.680411,8410.38156,8463.576963999998,13.298850999999559,LOSS,2018-06-21 14:43:00,8410.38156,-13.298850999999559
bullish,8154.322766,8151.413936,2018-06-25 13:30:00,bearish_fvg,2018-06-25 13:35:00,8168.285149,8161.303957,LONG,2018-06-25 13:35:00,8167.4125,8150.913936,8216.908192000003,16.498564000000442,LOSS,2018-06-25 13:48:00,8150.913936,-16.498564000000442
bullish,8183.411064,8181.665767,2018-06-27 13:30:00,bearish_fvg,2018-06-27 13:45:00,8199.118746,8195.62815,LONG,2018-06-27 13:47:00,8198.827863,8181.165767,8251.814151,17.66209600000002,LOSS,2018-06-27 13:53:00,8181.165767,-17.66209600000002
bearish,8163.921904,8166.248968,2018-06-27 20:45:00,bullish_fvg,2018-06-27 21:00:00,8167.994266,8164.50367,SHORT,2018-06-27 21:00:00,8167.121617,8166.748968,8168.2395639999995,-0.3726489999999103,LOSS,2018-06-27 21:01:00,8166.748968,0.3726489999999103
bearish,8172.648394,8173.23016,2018-06-27 23:15:00,bullish_fvg,2018-06-27 23:20:00,8170.030447,8169.739564,SHORT,2018-06-27 23:22:00,8170.030447,8173.73016,8158.931308,3.6997129999999743,LOSS,2018-06-28 00:02:00,8173.73016,-3.6997129999999743
bullish,8144.432744,8142.10568,2018-06-28 06:45:00,bearish_fvg,2018-06-28 07:00:00,8145.596276,8139.19685,LONG,2018-06-28 07:02:00,8145.01451,8141.60568,8155.241000000001,3.4088300000003073,LOSS,2018-06-28 07:04:00,8141.60568,-3.4088300000003073
bearish,8224.425566,8227.916161,2018-06-28 21:15:00,bullish_fvg,2018-06-28 21:20:00,8218.317023,8217.153491,SHORT,2018-06-28 21:21:00,8217.735257,8228.416161,8185.6925450000035,10.680903999998918,LOSS,2018-06-28 21:33:00,8228.416161,-10.680903999998918
bullish,8239.260598,8235.770002,2018-06-29 11:45:00,bearish_fvg,2018-06-29 11:50:00,8248.568853,8246.532673,LONG,2018-06-29 12:00:00,8246.823556,8235.270002,8281.484218,11.553554000000076,LOSS,2018-06-29 14:50:00,8235.270002,-11.553554000000076
