Date,Timeframe,Direction,Entry Price,SL Level,SL Price,R:R,TP Price,Outcome
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,1.0,7748.445928249999,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,1.5,7752.180224874999,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,2.0,7755.914521499999,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,2.5,7759.648818124999,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,3.0,7763.383114749999,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,3.5,7767.1174113749985,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,4.0,7770.851707999998,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,4.5,7774.586004624998,LOSS
2018-01-04,15m,LONG,7740.977335,25%,7733.50874175,5.0,7778.320301249998,LOSS
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,1.0,7755.914521499999,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,1.5,7763.383114749999,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,2.0,7770.851707999998,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,2.5,7778.320301249998,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,3.0,7785.788894499998,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,3.5,7793.257487749997,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,4.0,7800.726080999997,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,4.5,7808.194674249997,NO_RESULT
2018-01-04,15m,LONG,7740.977335,50%,7726.0401485,5.0,7815.663267499996,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,1.0,7763.38311475,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,1.5,7774.586004625,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,2.0,7785.7888944999995,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,2.5,7796.991784374999,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,3.0,7808.1946742499995,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,3.5,7819.397564125,NO_RESULT
2018-01-04,15m,LONG,7740.977335,75%,7718.57155525,4.0,7830.600453999999,NO_RESULT
