Date;Type;Gap_Size;N_minus_1_Value;N_plus_1_Value
01/07/2021;Bearish;0.29;16644.05;16644.33
01/09/2021;Bullish;0.86;17876.98;17876.12
01/11/2021;Bearish;1.43;18197.82;18199.25
02/07/2021;Bullish;3.72;16839.81;16836.09
02/12/2021;Bearish;2.58;18324.40;18326.97
03/11/2021;Bullish;0.86;18471.87;18471.01
05/08/2021;Bearish;0.86;17357.82;17358.68
06/10/2021;Bearish;0.57;16912.34;16912.91
07/07/2021;Bearish;2.00;16947.99;16949.99
11/08/2021;Bearish;2.00;17182.67;17184.67
11/10/2021;Bullish;0.86;16821.56;16820.70
14/09/2021;Bullish;0.86;17633.40;17632.54
15/10/2021;Bearish;0.29;17341.60;17341.88
17/08/2021;Bullish;0.86;17138.02;17137.17
17/09/2021;Bullish;3.15;17524.87;17521.72
18/11/2021;Bearish;0.57;18889.39;18889.96
21/10/2021;Bullish;6.01;17625.95;17619.94
22/09/2021;Bullish;0.29;17376.82;17376.53
22/10/2021;Bullish;1.43;17559.23;17557.80
23/07/2021;Bullish;0.57;17282.84;17282.27
23/08/2021;Bearish;1.14;17545.57;17546.71
23/11/2021;Bearish;2.00;18651.14;18653.14
25/10/2021;Bearish;15.18;17783.74;17798.92
26/08/2021;Bearish;2.00;17490.62;17492.62
26/10/2021;Bullish;7.45;17804.93;17797.49
27/10/2021;Bullish;0.29;17857.34;17857.05
27/12/2021;Bearish;2.00;18983.03;18985.04
28/10/2021;Bullish;66.72;17995.94;17929.21
28/12/2021;Bullish;2.86;18923.18;18920.32
29/07/2021;Bullish;22.61;17128.58;17105.97
30/06/2021;Bearish;0.29;16664.37;16664.65
30/08/2021;Bearish;0.29;17866.68;17866.97
01/02/2022;Bearish;18.61;17308.38;17326.99
02/11/2022;Bearish;3.41;12431.65;12435.06
03/08/2022;Bearish;0.29;15141.43;15141.72
05/07/2022;Bearish;2.86;13492.10;13494.96
08/07/2022;Bullish;0.86;13899.22;13898.36
10/02/2022;Bearish;1.72;16812.40;16814.11
10/08/2022;Bearish;4.57;15297.14;15301.71
11/07/2022;Bearish;1.43;13609.23;13610.66
11/11/2022;Bullish;2.27;13456.26;13453.99
12/01/2022;Bullish;4.87;18225.31;18220.45
15/06/2022;Bearish;14.57;13262.11;13276.68
15/07/2022;Bullish;1.71;13733.23;13731.51
15/08/2022;Bearish;5.14;15626.55;15631.69
15/09/2022;Bullish;18.74;13646.82;13628.07
16/03/2022;Bearish;1.15;16033.20;16034.35
16/08/2022;Bearish;5.71;15591.69;15597.41
16/11/2022;Bullish;0.28;13379.02;13378.74
17/02/2022;Bearish;6.01;16214.47;16220.48
17/11/2022;Bearish;8.80;13320.23;13329.04
18/02/2022;Bullish;3.44;16062.41;16058.97
18/04/2022;Bullish;0.57;16008.00;16007.43
18/08/2022;Bearish;1.14;15471.42;15472.56
19/07/2022;Bullish;0.57;14081.78;14081.21
19/09/2022;Bearish;5.40;13672.66;13678.05
19/10/2022;Bearish;13.63;12658.55;12672.19
20/04/2022;Bearish;4.87;16095.34;16100.21
21/06/2022;Bearish;0.29;13237.83;13238.11
21/07/2022;Bearish;4.29;14358.34;14362.62
22/08/2022;Bearish;1.14;14779.74;14780.88
22/12/2022;Bearish;2.81;12411.70;12414.51
24/08/2022;Bullish;3.43;14796.88;14793.45
24/10/2022;Bullish;3.69;13030.00;13026.31
25/01/2022;Bullish;24.91;16044.37;16019.46
25/05/2022;Bearish;13.46;13574.77;13588.23
26/07/2022;Bearish;3.14;13893.50;13896.65
27/01/2022;Bearish;23.77;16046.09;16069.86
27/04/2022;Bearish;7.45;15042.38;15049.83
27/10/2022;Bearish;18.46;12514.57;12533.03
27/12/2022;Bullish;1.69;12283.49;12281.80
28/04/2022;Bearish;42.10;15271.19;15313.28
28/07/2022;Bearish;59.43;14663.18;14722.60
29/06/2022;Bearish;0.29;13355.82;13356.11
29/08/2022;Bearish;3.14;14268.34;14271.48
29/11/2022;Bearish;2.27;13079.70;13081.97
29/12/2022;Bullish;1.41;12408.89;12407.48
30/08/2022;Bearish;1.14;14134.35;14135.49
30/09/2022;Bullish;7.67;12570.52;12562.85
30/11/2022;Bearish;11.08;13696.23;13707.30
31/10/2022;Bearish;0.85;13020.06;13020.92
01/03/2023;Bullish;0.84;13476.24;13475.39
01/11/2023;Bearish;3.53;16012.69;16016.22
02/02/2023;Bullish;30.37;14300.65;14270.28
03/02/2023;Bearish;1.97;14187.90;14189.86
03/08/2023;Bullish;35.75;17063.63;17027.88
03/10/2023;Bullish;1.36;15992.60;15991.24
04/01/2023;Bullish;2.53;12348.44;12345.91
04/10/2023;Bullish;1.36;16194.07;16192.71
04/12/2023;Bullish;1.09;17222.32;17221.23
05/04/2023;Bullish;3.62;14555.35;14551.73
05/12/2023;Bullish;5.43;17279.61;17274.18
06/07/2023;Bullish;0.55;16747.66;16747.11
06/09/2023;Bearish;0.82;16923.38;16924.21
06/11/2023;Bearish;0.81;16531.03;16531.84
06/12/2023;Bearish;1.63;17174.80;17176.43
07/09/2023;Bearish;0.55;16808.98;16809.53
08/02/2023;Bearish;1.12;14114.51;14115.63
08/06/2023;Bearish;8.35;16150.41;16158.76
08/11/2023;Bullish;0.81;16691.77;16690.95
09/08/2023;Bullish;1.10;16718.78;16717.68
10/08/2023;Bearish;2.20;16734.73;16736.93
11/09/2023;Bullish;0.81;17024.92;17024.11
12/06/2023;Bearish;0.27;16504.28;16504.56
13/01/2023;Bearish;0.84;13049.41;13050.25
13/06/2023;Bearish;0.27;16608.78;16609.06
13/09/2023;Bearish;0.81;16909.53;16910.34
13/11/2023;Bearish;1.09;16892.15;16893.24
14/06/2023;Bearish;4.67;16740.51;16745.18
15/06/2023;Bullish;3.85;16909.91;16906.06
16/02/2023;Bearish;0.84;14018.07;14018.91
16/10/2023;Bullish;2.72;16620.63;16617.91
17/10/2023;Bearish;7.87;16547.05;16554.92
17/11/2023;Bullish;2.99;17250.29;17247.30
19/01/2023;Bearish;1.41;12807.60;12809.01
22/03/2023;Bearish;6.96;14139.26;14146.22
22/06/2023;Bearish;2.20;16742.98;16745.18
22/12/2023;Bullish;1.88;18188.30;18186.42
23/01/2023;Bearish;4.22;13407.91;13412.13
23/03/2023;Bearish;20.04;14292.06;14312.10
23/10/2023;Bearish;2.44;16010.52;16012.96
24/01/2023;Bearish;4.22;13473.71;13477.92
24/04/2023;Bullish;7.24;14542.55;14535.31
25/01/2023;Bullish;0.56;13342.96;13342.40
25/10/2023;Bullish;10.05;15743.89;15733.84
26/01/2023;Bullish;3.94;13576.90;13572.96
26/05/2023;Bearish;2.50;15986.48;15988.98
26/06/2023;Bullish;0.27;16364.86;16364.58
26/12/2023;Bearish;0.27;18316.40;18316.67
27/12/2023;Bearish;0.27;18359.55;18359.82
31/08/2023;Bullish;1.10;17094.98;17093.88
02/05/2024;Bearish;39.13;18681.01;18720.14
02/08/2024;Bullish;18.53;19362.93;19344.40
02/10/2024;Bearish;0.26;20680.02;20680.28
03/10/2024;Bullish;2.84;20608.85;20606.01
05/01/2024;Bullish;1.07;17647.74;17646.66
05/02/2024;Bullish;4.56;18973.55;18968.99
05/07/2024;Bullish;0.78;21513.38;21512.60
06/03/2024;Bearish;0.27;19345.27;19345.54
06/09/2024;Bullish;3.39;19194.88;19191.49
07/11/2024;Bullish;1.55;21897.99;21896.45
08/01/2024;Bullish;0.54;18000.43;17999.89
08/05/2024;Bullish;3.44;19208.21;19204.78
11/03/2024;Bearish;10.45;19283.63;19294.08
11/06/2024;Bullish;0.26;20354.36;20354.10
11/10/2024;Bullish;2.32;21063.75;21061.43
12/01/2024;Bullish;4.82;18174.90;18170.07
13/06/2024;Bullish;0.53;20740.11;20739.58
14/08/2024;Bullish;6.26;19991.55;19985.28
14/11/2024;Bearish;3.87;21634.18;21638.05
15/03/2024;Bullish;2.12;19113.56;19111.44
15/05/2024;Bearish;0.79;19761.06;19761.85
15/07/2024;Bearish;0.78;21523.82;21524.60
16/04/2024;Bearish;2.12;18911.30;18913.41
16/08/2024;Bullish;2.35;20468.55;20466.21
16/09/2024;Bullish;4.96;20287.20;20282.24
16/10/2024;Bearish;1.81;20975.81;20977.62
16/12/2024;Bearish;0.52;22799.29;22799.81
18/07/2024;Bearish;2.09;20800.48;20802.56
18/11/2024;Bullish;0.77;21276.76;21275.98
19/12/2024;Bearish;6.44;21774.53;21780.97
20/02/2024;Bearish;1.61;18856.70;18858.31
20/05/2024;Bearish;0.79;19825.31;19826.10
20/08/2024;Bullish;2.09;20686.97;20684.88
21/03/2024;Bullish;3.97;19652.13;19648.16
22/02/2024;Bearish;0.80;19313.91;19314.72
22/04/2024;Bearish;5.02;18333.60;18338.62
23/01/2024;Bearish;1.07;18805.24;18806.31
23/08/2024;Bullish;1.30;20657.74;20656.43
24/01/2024;Bearish;4.56;18867.42;18871.97
26/01/2024;Bullish;4.56;18769.87;18765.31
26/03/2024;Bearish;4.76;19539.76;19544.52
26/08/2024;Bullish;7.05;20423.15;20416.10
26/09/2024;Bearish;2.32;20989.99;20992.31
27/08/2024;Bullish;2.09;20504.30;20502.22
28/02/2024;Bullish;1.61;19152.31;19150.70
30/01/2024;Bullish;15.01;18796.67;18781.66
31/10/2024;Bullish;26.56;20703.49;20676.93
01/05/2025;Bullish;2.30;20224.34;20222.05
01/10/2025;Bearish;5.00;25001.50;25006.50
02/06/2025;Bullish;4.34;21995.25;21990.91
02/07/2025;Bearish;1.01;23062.16;23063.17
02/10/2025;Bullish;3.00;25112.25;25109.25
04/02/2025;Bullish;0.52;22274.03;22273.51
04/03/2025;Bullish;11.08;21194.87;21183.78
04/04/2025;Bearish;25.50;17777.62;17803.13
04/08/2025;Bearish;3.03;23569.14;23572.17
06/03/2025;Bullish;5.41;20817.27;20811.86
07/07/2025;Bullish;1.51;23084.38;23082.87
07/11/2025;Bearish;4.00;25208.75;25212.75
08/01/2025;Bullish;14.18;22013.45;21999.28
08/07/2025;Bullish;1.51;23131.34;23129.83
09/06/2025;Bearish;1.28;22246.96;22248.23
10/07/2025;Bearish;7.83;23236.63;23244.45
11/06/2025;Bullish;11.22;22342.34;22331.12
12/02/2025;Bearish;4.38;22501.87;22506.26
13/10/2025;Bullish;2.25;24911.75;24909.50
14/02/2025;Bullish;1.29;22894.67;22893.38
14/04/2025;Bearish;5.36;19227.70;19233.06
14/10/2025;Bearish;3.50;24721.50;24725.00
16/01/2025;Bearish;4.64;21853.91;21858.55
18/02/2025;Bullish;2.84;22912.97;22910.14
18/07/2025;Bearish;2.02;23452.74;23454.76
18/09/2025;Bearish;2.50;24711.50;24714.00
20/06/2025;Bearish;1.26;22080.29;22081.55
21/02/2025;Bullish;1.55;22347.74;22346.20
21/03/2025;Bearish;10.46;20359.25;20369.71
22/05/2025;Bearish;3.06;21608.63;21611.69
23/05/2025;Bullish;0.77;21366.10;21365.33
23/07/2025;Bearish;8.08;23604.99;23613.07
23/10/2025;Bearish;7.50;25275.25;25282.75
25/02/2025;Bullish;2.32;21854.68;21852.36
25/07/2025;Bearish;3.53;23669.62;23673.16
25/09/2025;Bearish;8.00;24626.00;24634.00
26/06/2025;Bearish;2.27;22895.03;22897.30
28/10/2025;Bearish;1.00;26167.50;26168.50
29/04/2025;Bullish;3.83;20006.55;20002.73
29/09/2025;Bullish;1.75;24828.00;24826.25
30/04/2025;Bearish;4.34;20245.51;20249.85
30/06/2025;Bearish;0.76;23100.04;23100.79
30/09/2025;Bullish;4.75;24852.75;24848.00
31/01/2025;Bullish;11.86;22241.30;22229.44
31/07/2025;Bearish;7.83;23555.76;23563.58
