================================================================================
FVG (Fair Value Gap) Analysis Results
Time Window: 8:30 - 10:00
================================================================================

SUMMARY BY YEAR
--------------------------------------------------------------------------------
Year     Trading Days    Bullish FVG     Bearish FVG     Total FVG   
--------------------------------------------------------------------------------
2018     257             520             483             1003        
2019     258             510             409             919         
2020     259             529             426             955         
2021     258             504             411             915         
2022     258             485             493             978         
2023     257             491             484             975         
2024     259             483             435             918         
2025     222             398             340             738         
--------------------------------------------------------------------------------
TOTAL                    3920            3481            7401        
================================================================================

DETAILED FVG LIST
--------------------------------------------------------------------------------
Date         Time         Type       Gap Size       
--------------------------------------------------------------------------------
02/01/2018   08:40:00     Bullish    3.5146         
02/01/2018   08:45:00     Bullish    13.1799        
02/01/2018   08:50:00     Bullish    6.1506         
02/01/2018   09:00:00     Bullish    5.8577         
02/01/2018   09:20:00     Bullish    0.5858         
02/01/2018   09:30:00     Bullish    5.8577         
02/01/2018   09:55:00     Bullish    2.0502         
02/01/2018   10:00:00     Bullish    0.8787         
03/01/2018   08:40:00     Bullish    5.8577         
03/01/2018   08:55:00     Bullish    6.7364         
03/01/2018   09:05:00     Bullish    0.2929         
03/01/2018   09:40:00     Bullish    5.5648         
04/01/2018   08:45:00     Bearish    6.4435         
04/01/2018   08:55:00     Bullish    0.2929         
04/01/2018   09:30:00     Bullish    0.2929         
04/01/2018   09:35:00     Bullish    0.5858         
04/01/2018   09:40:00     Bullish    0.2929         
04/01/2018   10:00:00     Bearish    0.5858         
05/01/2018   08:55:00     Bullish    0.8787         
05/01/2018   09:20:00     Bullish    4.1004         
05/01/2018   10:00:00     Bullish    5.2719         
08/01/2018   09:20:00     Bullish    2.0502         
08/01/2018   09:25:00     Bullish    0.2929         
08/01/2018   09:30:00     Bullish    3.2217         
08/01/2018   09:40:00     Bearish    0.5858         
09/01/2018   08:40:00     Bearish    8.7866         
09/01/2018   09:20:00     Bullish    3.8075         
09/01/2018   09:40:00     Bearish    4.1004         
09/01/2018   10:00:00     Bullish    5.8577         
10/01/2018   08:55:00     Bearish    7.9079         
10/01/2018   09:15:00     Bullish    6.4435         
10/01/2018   09:30:00     Bearish    3.2217         
10/01/2018   09:50:00     Bearish    1.7573         
10/01/2018   10:00:00     Bullish    6.1506         
11/01/2018   09:00:00     Bullish    2.6360         
11/01/2018   09:35:00     Bearish    1.4644         
11/01/2018   09:45:00     Bullish    1.4644         
11/01/2018   09:50:00     Bullish    2.3431         
12/01/2018   08:40:00     Bullish    6.1506         
12/01/2018   09:00:00     Bullish    0.5858         
12/01/2018   09:20:00     Bullish    0.2929         
12/01/2018   09:40:00     Bullish    4.1004         
12/01/2018   09:45:00     Bullish    2.9289         
15/01/2018   09:15:00     Bullish    1.7573         
15/01/2018   10:00:00     Bullish    1.1715         
16/01/2018   08:40:00     Bullish    6.4435         
16/01/2018   08:45:00     Bullish    4.9791         
16/01/2018   09:15:00     Bullish    1.1715         
16/01/2018   09:25:00     Bearish    7.0293         
16/01/2018   09:35:00     Bearish    0.8787         
16/01/2018   09:55:00     Bearish    3.8075         
16/01/2018   10:00:00     Bearish    0.5858         
17/01/2018   09:25:00     Bearish    2.3431         
