SL_Pct;RR_Ratio;Wins;Losses;Unresolved;Total_Resolved;Winrate;Profit_Factor;Expectancy
0.5;1;120;102;1;222;54.05;1.1765;0.0811
0.5;1.5;69;150;4;219;31.51;0.6900;-0.2123
0.5;2;59;157;7;216;27.31;0.7516;-0.1806
0.5;2.5;49;165;9;214;22.90;0.7424;-0.1986
0.5;3;45;167;11;212;21.23;0.8084;-0.1509
0.5;3.5;40;172;11;212;18.87;0.8140;-0.1509
0.5;4;34;176;13;210;16.19;0.7727;-0.1905
0.5;4.5;29;180;14;209;13.88;0.7250;-0.2368
0.5;5;26;183;14;209;12.44;0.7104;-0.2536
0.75;1;104;115;4;219;47.49;0.9043;-0.0502
0.75;1.5;71;143;9;214;33.18;0.7448;-0.1706
0.75;2;58;151;14;209;27.75;0.7682;-0.1675
0.75;2.5;48;159;16;207;23.19;0.7547;-0.1884
0.75;3;39;166;18;205;19.02;0.7048;-0.2390
0.75;3.5;34;171;18;205;16.59;0.6959;-0.2537
0.75;4;29;176;18;205;14.15;0.6591;-0.2927
0.75;4.5;27;177;19;204;13.24;0.6864;-0.2721
0.75;5;21;182;20;203;10.34;0.5769;-0.3793
1.0;1;98;114;11;212;46.23;0.8596;-0.0755
1.0;1.5;71;135;17;206;34.47;0.7889;-0.1383
1.0;2;56;145;22;201;27.86;0.7724;-0.1642
1.0;2.5;45;154;24;199;22.61;0.7305;-0.2085
1.0;3;38;160;25;198;19.19;0.7125;-0.2323
1.0;3.5;35;162;26;197;17.77;0.7562;-0.2005
1.0;4;25;170;28;195;12.82;0.5882;-0.3590
1.0;4.5;23;172;28;195;11.79;0.6017;-0.3513
1.0;5;22;172;29;194;11.34;0.6395;-0.3196
