FVG_Type;SL_Level;RR_Ratio;Total_Trades;Wins;Losses;Open;Win_Rate;Expected_Value
Bullish;50%;1.0;460;233;227;0;50.65217391304348;0.013043478260869545
Bullish;50%;1.5;460;212;248;0;46.08695652173913;0.15217391304347827
Bullish;50%;2.0;460;202;258;0;43.913043478260875;0.31739130434782614
Bullish;50%;2.5;460;186;274;0;40.43478260869565;0.41521739130434787
Bullish;50%;3.0;460;174;286;0;37.826086956521735;0.5130434782608695
Bullish;50%;3.5;460;165;295;0;35.869565217391305;0.6141304347826086
Bullish;50%;4.0;460;153;307;0;33.26086956521739;0.6630434782608696
Bullish;50%;4.5;460;142;318;0;30.869565217391305;0.6978260869565218
Bullish;50%;5.0;460;135;325;0;29.347826086956523;0.7608695652173914
Bullish;75%;1.0;460;243;217;0;52.826086956521735;0.056521739130434734
Bullish;75%;1.5;460;215;245;0;46.73913043478261;0.1684782608695652
Bullish;75%;2.0;460;198;262;0;43.04347826086957;0.29130434782608694
Bullish;75%;2.5;460;180;280;0;39.130434782608695;0.3695652173913043
Bullish;75%;3.0;460;162;298;0;35.21739130434783;0.4086956521739131
Bullish;75%;3.5;460;148;312;0;32.17391304347826;0.4478260869565217
Bullish;75%;4.0;460;140;319;1;30.434782608695656;0.523913043478261
Bullish;75%;4.5;460;131;328;1;28.47826086956522;0.5684782608695652
Bullish;75%;5.0;460;116;340;4;25.217391304347824;0.5217391304347825
Bullish;100%;1.0;460;247;213;0;53.69565217391305;0.07391304347826089
Bullish;100%;1.5;460;210;250;0;45.65217391304348;0.14130434782608692
Bullish;100%;2.0;460;185;275;0;40.21739130434783;0.2065217391304348
Bullish;100%;2.5;460;164;296;0;35.65217391304348;0.24782608695652175
Bullish;100%;3.0;460;150;309;1;32.608695652173914;0.3065217391304348
Bullish;100%;3.5;460;133;325;2;28.913043478260867;0.3054347826086956
Bullish;100%;4.0;460;119;336;5;25.869565217391305;0.30434782608695654
Bullish;100%;4.5;460;110;345;5;23.91304347826087;0.32608695652173925
Bullish;100%;5.0;460;100;351;9;21.73913043478261;0.3239130434782608
Bearish;50%;1.0;353;161;192;0;45.609065155807365;-0.08781869688385274
Bearish;50%;1.5;353;152;201;0;43.05949008498583;0.07648725212464591
Bearish;50%;2.0;353;137;216;0;38.81019830028329;0.1643059490084986
Bearish;50%;2.5;353;125;228;0;35.41076487252124;0.23937677053824358
Bearish;50%;3.0;353;111;242;0;31.444759206798867;0.2577903682719547
Bearish;50%;3.5;353;101;252;0;28.611898016997166;0.28753541076487266
Bearish;50%;4.0;353;94;259;0;26.628895184135974;0.33144475920679883
Bearish;50%;4.5;353;88;265;0;24.929178470254957;0.37110481586402266
Bearish;50%;5.0;353;85;268;0;24.07932011331445;0.44475920679886694
Bearish;75%;1.0;353;179;174;0;50.70821529745042;0.014164305949008471
Bearish;75%;1.5;353;160;193;0;45.3257790368272;0.1331444759206799
Bearish;75%;2.0;353;138;215;0;39.09348441926346;0.17280453257790374
Bearish;75%;2.5;353;123;230;0;34.844192634560905;0.21954674220963177
Bearish;75%;3.0;353;111;242;0;31.444759206798867;0.2577903682719547
Bearish;75%;3.5;353;104;248;1;29.461756373937675;0.3286118980169972
Bearish;75%;4.0;353;99;253;1;28.04532577903683;0.4050991501416431
Bearish;75%;4.5;353;90;262;1;25.495750708215297;0.405099150141643
Bearish;75%;5.0;353;83;269;1;23.512747875354105;0.41359773371104813
Bearish;100%;1.0;353;181;172;0;51.27478753541076;0.025495750708215248
Bearish;100%;1.5;353;154;199;0;43.626062322946176;0.09065155807365444
Bearish;100%;2.0;353;133;220;0;37.6770538243626;0.13031161473087816
Bearish;100%;2.5;353;119;233;1;33.711048158640224;0.1827195467422097
Bearish;100%;3.0;353;110;241;2;31.1614730878187;0.2521246458923514
Bearish;100%;3.5;353;97;254;2;27.47875354107649;0.24220963172804533
Bearish;100%;4.0;353;90;261;2;25.495750708215297;0.28045325779036834
Bearish;100%;4.5;353;83;267;3;23.512747875354105;0.30169971671388096
Bearish;100%;5.0;353;76;272;5;21.529745042492916;0.30594900849858353
