Category,TP_Level,Total_Trades,Hits,Win_Rate
Overall,1.0,725,211,29.10344827586207
Overall,1.5,725,174,24.0
Overall,2.0,725,147,20.275862068965516
Overall,2.5,725,135,18.620689655172416
Overall,3.0,725,119,16.413793103448278
Overall,3.5,725,112,15.448275862068966
Long (Bearish FVG),1.0,356,96,26.96629213483146
Long (Bearish FVG),1.5,356,82,23.03370786516854
Long (Bearish FVG),2.0,356,73,20.50561797752809
Long (Bearish FVG),2.5,356,67,18.820224719101123
Long (Bearish FVG),3.0,356,59,16.573033707865168
Long (Bearish FVG),3.5,356,57,16.01123595505618
Short (Bullish FVG),1.0,369,115,31.16531165311653
Short (Bullish FVG),1.5,369,92,24.932249322493224
Short (Bullish FVG),2.0,369,74,20.05420054200542
Short (Bullish FVG),2.5,369,68,18.428184281842817
Short (Bullish FVG),3.0,369,60,16.260162601626014
Short (Bullish FVG),3.5,369,55,14.905149051490515
