FVG_Type;RR_Ratio;Total_Trades;Wins;Losses;Open;Win_Rate;Expected_Value
Bullish;1.0;460;242;218;0;52.60869565217391;0.05217391304347824
Bullish;1.5;460;201;257;2;43.69565217391304;0.09673913043478255
Bullish;2.0;460;165;290;5;35.869565217391305;0.08695652173913038
Bullish;2.5;460;142;313;5;30.869565217391305;0.09130434782608698
Bullish;3.0;460;125;324;11;27.173913043478258;0.11086956521739122
Bullish;3.5;460;110;335;15;23.91304347826087;0.10869565217391308
Bullish;4.0;460;94;343;23;20.434782608695652;0.07173913043478264
Bullish;4.5;460;80;350;30;17.391304347826086;0.021739130434782483
Bullish;5.0;460;70;353;37;15.217391304347828;-0.006521739130434745
Bearish;1.0;353;186;167;0;52.69121813031161;0.053824362606232246
Bearish;1.5;353;155;198;0;43.90934844192634;0.09773371104815853
Bearish;2.0;353;130;222;1;36.827195467422094;0.1076487252124646
Bearish;2.5;353;113;235;5;32.01133144475921;0.13456090651558072
Bearish;3.0;353;97;245;11;27.47875354107649;0.13031161473087816
Bearish;3.5;353;87;251;15;24.645892351274785;0.1515580736543909
Bearish;4.0;353;80;255;18;22.6628895184136;0.1841359773371105
Bearish;4.5;353;76;256;21;21.529745042492916;0.24362606232294615
Bearish;5.0;353;70;257;26;19.8300283286119;0.26345609065155806
