entry_time,entry_price,direction,stop_loss,take_profit,session,fvg_created_at,entry_index,outcome,exit_time,exit_price,pnl
2018-01-02 01:10:00,8177.670381,SHORT,8179.134811,8176.205951,London,2018-01-02 01:01:00,480,Loss,2018-01-02 01:16:00,8179.134811,-1.464429999999993
2018-01-02 08:40:00,8125.243785,SHORT,8133.737479,8116.750090999999,New York,2018-01-02 08:36:00,930,Win,2018-01-02 08:43:00,8116.750090999999,8.493694000000687
2018-01-03 01:14:00,8062.859064,SHORT,8063.737722,8061.980406000001,London,2018-01-03 01:06:00,1849,Loss,2018-01-03 01:15:00,8063.737722,-0.878657999999632
2018-01-03 08:35:00,8040.892613,SHORT,8059.930204,8021.855022,New York,2018-01-03 08:32:00,2290,Win,2018-01-03 08:40:00,8021.855022,19.037591000000248
2018-01-05 01:13:00,7729.085399,SHORT,7730.544598,7727.626199999999,London,2018-01-05 01:10:00,3631,Loss,2018-01-05 01:17:00,7730.544598,-1.4591990000008082
2018-01-05 08:47:00,7702.236137,LONG,7694.356462,7710.115812,New York,2018-01-05 08:39:00,4085,Win,2018-01-05 08:51:00,7710.115812,7.879675000000134
2018-01-06 01:22:00,8157.798073,SHORT,8161.008311,8154.587835,London,2018-01-06 01:03:00,5005,Loss,2018-01-06 01:30:00,8161.008311,-3.210237999999663
2018-01-06 08:59:00,8210.329238,SHORT,8215.290515,8205.367961,New York,2018-01-06 08:56:00,5462,Loss,2018-01-06 09:00:00,8215.290515,-4.961277000000337
2018-01-08 01:25:00,8464.985796,SHORT,8466.731093,8463.240499000001,London,2018-01-08 01:21:00,6358,Win,2018-01-08 01:27:00,8463.240499000001,1.745296999999482
2018-01-08 08:33:00,8463.240498,LONG,8444.042221,8482.438774999999,New York,2018-01-08 08:32:00,6786,Win,2018-01-08 09:14:00,8482.438774999999,19.198276999999507
2018-01-10 01:03:00,8935.056688,LONG,8933.317618,8936.795758000002,London,2018-01-10 01:01:00,7699,Loss,2018-01-10 01:05:00,8933.317618,-1.7390700000014476
2018-01-10 08:49:00,8950.708327,SHORT,8953.027088,8948.389566,New York,2018-01-10 08:46:00,8165,Loss,2018-01-10 08:50:00,8953.027088,-2.3187610000004497
2018-01-11 01:18:00,8075.665795,LONG,8072.477498,8078.854092,London,2018-01-11 01:15:00,9073,Loss,2018-01-11 01:22:00,8072.477498,-3.188296999999693
