Type,Date,Candle_N_Time,Candle_N2_Time,Candle_N_Price,Candle_N2_Price,Gap_Size,Revisited
Bullish,2018-01-02,08:30:00,09:00:00,7571.3963,7591.6055,20.2091,False
Bullish,2018-01-02,09:00:00,09:30:00,7598.049,7599.5134,1.4644,False
Bullish,2018-01-02,09:30:00,10:00:00,7612.6933,7614.7435,2.0502,False
Bullish,2018-01-03,08:30:00,09:00:00,7673.3207,7682.4001,9.0795,True
Bullish,2018-01-03,09:15:00,09:45:00,7691.4796,7694.7013,3.2217,True
Bullish,2018-01-05,09:00:00,09:30:00,7764.7011,7767.63,2.9289,False
Bullish,2018-01-05,09:30:00,10:00:00,7774.9521,7778.4667,3.5146,False
Bullish,2018-01-11,09:30:00,10:00:00,7831.1862,7832.0649,0.8787,False
Bullish,2018-01-12,08:45:00,09:15:00,7881.5626,7886.8346,5.2719,False
Bullish,2018-01-12,09:00:00,09:30:00,7888.0061,7890.3492,2.3431,False
Bullish,2018-01-12,09:15:00,09:45:00,7896.7927,7908.2152,11.4226,True
Bullish,2018-01-15,08:45:00,09:15:00,7940.4327,7942.19,1.7573,True
Bearish,2018-01-18,08:45:00,09:15:00,7979.9723,7979.3866,0.5858,True
Bullish,2018-01-18,09:15:00,09:45:00,7979.3866,7980.2652,0.8787,True
Bearish,2018-01-19,08:30:00,09:00:00,8012.7756,8006.3321,6.4435,False
Bullish,2018-01-22,08:30:00,09:00:00,8023.0266,8027.127,4.1004,False
Bullish,2018-01-22,08:45:00,09:15:00,8034.4491,8047.0432,12.5941,False
Bullish,2018-01-22,09:00:00,09:30:00,8047.629,8054.6583,7.0293,False
Bullish,2018-01-24,08:45:00,09:15:00,8183.821,8185.8712,2.0502,True
Bearish,2018-01-24,09:30:00,10:00:00,8192.9005,8186.1641,6.7364,False
Bearish,2018-01-25,08:30:00,09:00:00,8148.0889,8131.6873,16.4016,True
Bullish,2018-01-26,09:15:00,09:45:00,8162.7332,8172.1055,9.3724,False
Bullish,2018-01-30,09:00:00,09:30:00,8114.9928,8123.4865,8.4937,True
Bullish,2018-01-30,09:30:00,10:00:00,8136.3735,8144.2814,7.9079,False
Bearish,2018-01-31,09:30:00,10:00:00,8168.298,8166.8336,1.4644,False
Bearish,2018-02-02,08:30:00,09:00:00,8048.2148,8026.2483,21.9665,True
Bullish,2018-02-02,09:15:00,09:45:00,8022.4408,8025.3697,2.9289,True
Bullish,2018-02-05,08:30:00,09:00:00,7880.3911,7885.663,5.2719,False
Bullish,2018-02-05,08:45:00,09:15:00,7903.5291,7941.0185,37.4894,True
Bearish,2018-02-06,09:00:00,09:30:00,7642.5676,7601.5636,41.004,True
Bullish,2018-02-07,09:30:00,10:00:00,7813.906,7834.1151,20.2091,False
Bearish,2018-02-08,09:15:00,09:45:00,7663.9483,7654.2831,9.6652,False
Bearish,2018-02-08,09:30:00,10:00:00,7646.9609,7641.689,5.2719,False
Bullish,2018-02-13,08:45:00,09:15:00,7627.0447,7630.5593,3.5146,True
Bullish,2018-02-14,08:45:00,09:15:00,7703.195,7706.7097,3.5146,False
Bearish,2018-02-15,09:15:00,09:45:00,7879.5124,7867.2112,12.3012,True
Bullish,2018-02-16,09:00:00,09:30:00,7980.851,7989.0518,8.2008,True
Bearish,2018-02-19,08:45:00,09:15:00,7947.1691,7942.4829,4.6862,True
Bullish,2018-02-23,09:15:00,09:45:00,7973.5288,7975.8719,2.3431,False
Bearish,2018-02-26,09:00:00,09:30:00,8144.8671,8143.4027,1.4644,True
Bearish,2018-02-27,09:15:00,09:45:00,8192.6076,8178.2562,14.3514,False
Bearish,2018-02-27,09:30:00,10:00:00,8169.1767,8165.0763,4.1004,False
Bearish,2018-02-28,09:15:00,09:45:00,8140.7667,8138.4237,2.3431,False
Bearish,2018-02-28,09:30:00,10:00:00,8134.909,8119.0932,15.8158,False
Bullish,2018-03-01,09:00:00,09:30:00,8029.1772,8036.7922,7.615,True
Bearish,2018-03-01,09:30:00,10:00:00,8036.7922,8033.5705,3.2217,False
Bullish,2018-03-02,09:15:00,09:45:00,7843.4874,7851.9811,8.4937,True
Bullish,2018-03-05,09:15:00,09:45:00,7941.3114,7960.349,19.0376,False
Bullish,2018-03-05,09:30:00,10:00:00,7973.8217,7986.1229,12.3012,False
Bearish,2018-03-06,09:30:00,10:00:00,8112.0639,8085.7042,26.3597,False
Bullish,2018-03-07,09:15:00,09:45:00,8086.2899,8086.8757,0.5858,True
Bullish,2018-03-09,08:45:00,09:15:00,8232.2172,8243.0153,10.7981,True
Bullish,2018-03-09,09:15:00,09:45:00,8254.397,8257.6073,3.2102,True
Bearish,2018-03-13,09:15:00,09:45:00,8398.8578,8386.0168,12.841,False
Bearish,2018-03-13,09:30:00,10:00:00,8371.4248,8360.0431,11.3818,False
Bearish,2018-03-19,09:15:00,09:45:00,8095.6362,8091.8423,3.7939,False
Bearish,2018-03-19,09:30:00,10:00:00,8079.2932,8069.6625,9.6307,False
Bullish,2018-03-21,08:30:00,09:00:00,8047.7745,8048.0663,0.2918,True
Bearish,2018-03-22,09:15:00,09:45:00,7935.1243,7917.3221,17.8022,False
Bearish,2018-03-22,09:30:00,10:00:00,7910.6098,7905.3566,5.2531,False
Bearish,2018-03-26,09:00:00,09:30:00,7761.7715,7753.0163,8.7552,False
Bearish,2018-03-28,09:15:00,09:45:00,7558.651,7556.8999,1.751,True
Bullish,2018-03-29,09:15:00,09:45:00,7583.4573,7606.5127,23.0553,False
Bullish,2018-03-29,09:30:00,10:00:00,7617.3108,7640.9498,23.639,False
Bearish,2018-04-02,08:30:00,09:00:00,7621.6884,7597.7575,23.9309,False
Bearish,2018-04-02,08:45:00,09:15:00,7583.7492,7580.5389,3.2102,False
Bearish,2018-04-02,09:30:00,10:00:00,7531.218,7528.0078,3.2102,False
Bearish,2018-04-03,08:30:00,09:00:00,7512.5403,7489.7768,22.7635,True
Bearish,2018-04-03,08:45:00,09:15:00,7478.6868,7459.4254,19.2614,True
Bullish,2018-04-03,09:30:00,10:00:00,7478.9787,7514.5831,35.6045,False
Bullish,2018-04-04,09:30:00,10:00:00,7465.5541,7474.0174,8.4634,False
Bearish,2018-04-06,09:15:00,09:45:00,7663.7133,7641.8253,21.888,False
Bullish,2018-04-09,08:30:00,09:00:00,7598.0493,7621.1047,23.0553,False
Bullish,2018-04-09,09:00:00,09:30:00,7644.7437,7646.7866,2.0429,True
Bullish,2018-04-09,09:15:00,09:45:00,7650.5805,7655.5418,4.9613,True
Bullish,2018-04-10,09:00:00,09:30:00,7680.3482,7687.3523,7.0042,True
Bullish,2018-04-11,09:00:00,09:30:00,7729.6691,7742.51,12.841,True
Bearish,2018-04-11,09:30:00,10:00:00,7742.51,7724.7078,17.8022,False
Bullish,2018-04-12,08:30:00,09:00:00,7775.4879,7783.6594,8.1715,True
Bullish,2018-04-12,08:45:00,09:15:00,7791.5391,7792.9983,1.4592,True
Bearish,2018-04-13,08:30:00,09:00:00,7814.5945,7804.3801,10.2144,False
Bearish,2018-04-13,08:45:00,09:15:00,7793.2902,7787.4534,5.8368,False
Bullish,2018-04-17,08:45:00,09:15:00,7902.4382,7903.3138,0.8755,True
Bullish,2018-04-17,09:30:00,10:00:00,7920.8242,7929.2875,8.4634,False
Bullish,2018-04-18,09:15:00,09:45:00,7964.892,7971.0206,6.1286,False
Bullish,2018-04-18,09:30:00,10:00:00,7978.6084,7980.3595,1.751,False
Bearish,2018-04-19,09:15:00,09:45:00,7942.4203,7941.5448,0.8755,False
Bearish,2018-04-19,09:30:00,10:00:00,7934.8325,7932.7896,2.0429,False
Bearish,2018-04-20,09:30:00,10:00:00,7851.3663,7835.8988,15.4675,False
Bullish,2018-04-23,09:30:00,10:00:00,7814.8863,7823.3497,8.4634,False
Bearish,2018-04-24,09:00:00,09:30:00,7771.9859,7736.6732,35.3126,True
Bullish,2018-04-25,09:00:00,09:30:00,7546.1018,7557.1918,11.0899,False
Bullish,2018-04-25,09:15:00,09:45:00,7564.4877,7579.3716,14.8838,False
Bullish,2018-04-26,08:45:00,09:15:00,7720.3302,7725.5833,5.2531,False
Bearish,2018-04-27,08:30:00,09:00:00,7830.9375,7825.6844,5.2531,False
Bearish,2018-04-27,09:00:00,09:30:00,7792.4146,7774.6124,17.8022,True
Bearish,2018-04-27,09:15:00,09:45:00,7770.2348,7768.4838,1.751,True
Bearish,2018-05-01,09:30:00,10:00:00,7721.2057,7714.2016,7.0042,False
Bearish,2018-05-03,09:00:00,09:30:00,7711.8669,7694.9401,16.9267,False
Bearish,2018-05-03,09:15:00,09:45:00,7678.3053,7667.799,10.5062,False
Bullish,2018-05-04,08:45:00,09:15:00,7779.2818,7798.8351,19.5533,False
Bullish,2018-05-04,09:00:00,09:30:00,7807.0066,7822.1823,15.1757,False
Bullish,2018-05-04,09:15:00,09:45:00,7826.5599,7848.156,21.5961,False
Bullish,2018-05-10,09:00:00,09:30:00,8089.2157,8089.5076,0.2918,False
Bullish,2018-05-10,09:15:00,09:45:00,8095.0525,8095.6362,0.5837,False
Bullish,2018-05-14,09:00:00,09:30:00,8175.8921,8177.935,2.0429,True
Bearish,2018-05-14,09:30:00,10:00:00,8177.935,8177.6432,0.2918,False
Bullish,2018-05-17,08:45:00,09:15:00,8083.9626,8084.8381,0.8755,False
Bullish,2018-05-17,09:15:00,09:45:00,8102.6404,8112.8547,10.2144,False
Bearish,2018-05-22,08:30:00,09:00:00,8102.0567,8099.1383,2.9184,False
Bearish,2018-05-22,08:45:00,09:15:00,8090.3831,8080.1687,10.2144,True
Bullish,2018-05-23,08:45:00,09:15:00,8032.0151,8036.3927,4.3776,True
Bearish,2018-05-23,09:15:00,09:45:00,8036.3927,8027.6375,8.7552,True
Bearish,2018-05-24,08:30:00,09:00:00,8108.4771,8096.5117,11.9654,False
Bullish,2018-05-25,08:45:00,09:15:00,8142.0387,8143.2061,1.1674,True
Bullish,2018-05-25,09:00:00,09:30:00,8147.2918,8148.4592,1.1674,True
Bullish,2018-05-28,08:30:00,09:00:00,8147.0,8147.2918,0.2918,False
Bullish,2018-05-28,09:00:00,09:30:00,8151.3776,8154.296,2.9184,False
Bullish,2018-05-28,09:15:00,09:45:00,8157.2144,8157.7981,0.5837,False
Bullish,2018-05-28,09:30:00,10:00:00,8162.1757,8163.343,1.1674,False
Bullish,2018-05-29,08:30:00,09:00:00,8107.8935,8121.6099,13.7165,True
Bullish,2018-05-30,09:15:00,09:45:00,8131.8243,8140.2877,8.4634,True
Bearish,2018-05-31,09:30:00,10:00:00,8149.6266,8148.1674,1.4592,False
