entry_time,entry_price,exit_price,exit_time,direction,pnl,outcome,r_multiple,variant,year
2024-01-12 03:45:00,18154.262184500003,18133.233964,2024-01-12 04:45:00,bullish,-841.1288200001582,loss,-1.0,Sniper,2024
2024-01-30 03:15:00,18971.537647,18943.139341,2024-01-30 07:00:00,bullish,-567.9661200000555,loss,-1.0,Sniper,2024
2024-02-02 04:15:00,18884.7046415,18903.186832,2024-02-02 06:15:00,bearish,-739.2876199999591,loss,-1.0,Sniper,2024
2024-02-19 04:15:00,19047.650528,19032.116371,2024-02-19 17:00:00,bullish,-932.0494199998939,loss,-1.0,Sniper,2024
2024-03-04 06:15:00,19670.757742499998,19629.783338999994,2024-03-04 08:30:00,bearish,2458.4642100002384,win,3.0,Sniper,2024
2024-03-28 05:15:00,19565.805350000002,19582.743602,2024-03-28 07:30:00,bearish,-677.5300799998513,loss,-1.0,Sniper,2024
2024-04-02 04:00:00,19550.0739165,19482.99894000001,2024-04-02 05:30:00,bearish,2682.999059999711,win,3.0,Sniper,2024
2024-05-07 04:30:00,19218.127446500002,19198.280862,2024-05-07 06:30:00,bullish,-793.8633800001116,loss,-1.0,Sniper,2024
2024-05-08 04:45:00,19249.1937235,19208.293738,2024-05-08 06:00:00,bearish,2453.999130000011,win,3.0,Sniper,2024
2024-05-21 05:45:00,19831.256768,19837.090479,2024-05-21 06:00:00,bearish,-933.3937599998899,loss,-1.0,Sniper,2024
2024-06-14 02:45:00,20770.5158945,20734.937876,2024-06-14 04:00:00,bullish,-711.5603700000065,loss,-1.0,Sniper,2024
2024-06-17 04:45:00,20857.3623895,20823.180288999996,2024-06-17 07:30:00,bearish,2734.5680400001584,win,3.0,Sniper,2024
2024-07-18 04:00:00,21007.145024999998,20943.99799199999,2024-07-18 04:30:00,bearish,2525.881320000335,win,3.0,Sniper,2024
2024-08-21 02:45:00,20686.965071500003,20677.136711,2024-08-21 03:00:00,bullish,-982.8360500003328,loss,-1.0,Sniper,2024
2024-09-16 04:00:00,20385.703657,20393.313982,2024-09-16 04:15:00,bearish,-913.239000000176,loss,-1.0,Sniper,2024
2024-09-18 04:45:00,20328.399331,20346.259033,2024-09-18 06:15:00,bearish,-714.388079999917,loss,-1.0,Sniper,2024
2024-09-30 05:15:00,20853.445742,20821.528667,2024-09-30 05:30:00,bearish,2553.3660000000964,win,3.0,Sniper,2024
2024-10-08 03:00:00,20619.0316025,20695.820029999995,2024-10-08 04:15:00,bullish,1535.7685499999207,win,3.0,Sniper,2024
2024-10-16 03:00:00,21013.847937,21002.435268,2024-10-16 03:15:00,bullish,-913.013519999804,loss,-1.0,Sniper,2024
2024-12-11 01:45:00,22101.333554,22122.545714,2024-12-11 02:30:00,bearish,-848.4863999999652,loss,-1.0,Sniper,2024
