date,direction,entry_time,entry_price,exit_time,exit_price,stop_loss,target,outcome,points_pnl,dollar_pnl,tokyo_high,tokyo_low,year,month,weekday,hour,cumulative_pnl,cumulative_max,drawdown
2024-01-26,bullish,2024-01-26 02:40:00,18750.837092,2024-01-26 03:00:00,18739.420977,18738.920977,18803.901706,loss,-11.41611499999999,-228.3222999999998,18803.901706,18742.528996,2024,1,Friday,2,-228.3222999999998,-228.3222999999998,0.0
2024-03-11,bullish,2024-03-11 03:25:00,19289.7913315,2024-03-11 03:50:00,19255.862956,19255.362956,19355.184089,loss,-33.928375499999675,-678.5675099999935,19355.184089,19268.08308,2024,3,Monday,3,-906.8898099999933,-228.3222999999998,-678.5675099999935
2024-04-02,bearish,2024-04-02 04:55:00,19530.508771499997,2024-04-02 05:00:00,19520.961806,19573.489818,19520.461806,win,9.546965499997896,190.9393099999579,19555.097399,19520.461806,2024,4,Tuesday,4,-715.9505000000354,-228.3222999999998,-487.6282000000356
2024-04-10,bearish,2024-04-10 02:10:00,19440.879259,2024-04-10 02:25:00,19447.138348,19447.638348,19424.222447,loss,-6.259088999999221,-125.18177999998443,19444.845167,19424.222447,2024,4,Wednesday,2,-841.1322800000198,-228.3222999999998,-612.80998000002
2024-04-25,bullish,2024-04-25 07:30:00,18434.596294000003,2024-04-25 07:35:00,18424.900084,18424.400084,18501.75233,loss,-9.696210000001884,-193.92420000003767,18501.75233,18452.839469,2024,4,Thursday,7,-1035.0564800000575,-228.3222999999998,-806.7341800000577
2024-06-03,bearish,2024-06-03 02:45:00,19719.8147635,2024-06-03 03:10:00,19734.270062,19734.770062,19661.383724,loss,-14.455298500000936,-289.1059700000187,19727.482185,19661.383724,2024,6,Monday,2,-1324.1624500000762,-228.3222999999998,-1095.8401500000764
2024-07-12,bullish,2024-07-12 06:05:00,21294.1849175,2024-07-12 07:30:00,21272.592125,21272.092125,21344.808317,loss,-21.592792499999632,-431.85584999999264,21344.808317,21279.571978,2024,7,Friday,6,-1756.0183000000688,-228.3222999999998,-1527.696000000069
2024-07-22,bearish,2024-07-22 02:05:00,20660.8705355,2024-07-22 02:40:00,20695.249651,20695.749651,20582.065038,loss,-34.3791154999999,-687.582309999998,20691.923033,20582.065038,2024,7,Monday,2,-2443.600610000067,-228.3222999999998,-2215.278310000067
2024-08-20,bearish,2024-08-20 03:25:00,20757.811736000003,2024-08-20 07:55:00,20714.342443,20798.823067,20713.842443,win,43.469293000001926,869.3858600000385,20786.385253,20713.842443,2024,8,Tuesday,3,-1574.2147500000283,-228.3222999999998,-1345.8924500000285
2024-09-05,bullish,2024-09-05 04:25:00,19729.6870295,2024-09-05 07:05:00,19721.532923,19721.032923,19838.109825,loss,-8.154106500001944,-163.0821300000389,19838.109825,19723.032923,2024,9,Thursday,4,-1737.2968800000672,-228.3222999999998,-1508.9745800000674
2024-09-12,bearish,2024-09-12 01:50:00,20158.811669000002,2024-09-12 02:25:00,20175.185554,20175.685554,20076.091991,loss,-16.373884999997244,-327.4776999999449,20171.076101,20076.091991,2024,9,Thursday,1,-2064.774580000012,-228.3222999999998,-1836.4522800000123
2024-09-13,bearish,2024-09-13 02:35:00,20317.466446,2024-09-13 04:45:00,20330.448042,20330.948042,20270.496282,loss,-12.981596000001446,-259.6319200000289,20326.338588,20270.496282,2024,9,Friday,2,-2324.406500000041,-228.3222999999998,-2096.084200000041
2024-10-01,bullish,2024-10-01 03:10:00,20891.6121805,2024-10-01 08:30:00,20854.395615,20853.895615,20972.715863,loss,-37.21656549999898,-744.3313099999796,20972.715863,20859.505954,2024,10,Tuesday,3,-3068.7378100000205,-228.3222999999998,-2840.4155100000207
2024-10-22,bullish,2024-10-22 02:30:00,21102.559117999997,2024-10-22 03:30:00,21090.614924,21090.114924,21163.032293,loss,-11.94419399999606,-238.8838799999212,21163.032293,21094.693737,2024,10,Tuesday,2,-3307.6216899999417,-228.3222999999998,-3079.299389999942
2024-11-12,bullish,2024-11-12 01:50:00,21875.429498999998,2024-11-12 04:00:00,21846.465136,21845.965136,21919.398268,loss,-28.96436299999914,-579.2872599999828,21919.398268,21858.022508,2024,11,Tuesday,1,-3886.9089499999245,-228.3222999999998,-3658.5866499999247
2024-11-21,bullish,2024-11-21 08:35:00,21332.976097,2024-11-21 08:40:00,21356.459062,21253.611694,21356.959062,win,23.482965000002878,469.65930000005756,21356.959062,21270.310931,2024,11,Thursday,8,-3417.249649999867,-228.3222999999998,-3188.927349999867
2024-12-10,bullish,2024-12-10 02:40:00,22135.760713,2024-12-10 03:05:00,22127.555798,22127.055798,22162.322491,loss,-8.204914999998437,-164.09829999996873,22162.322491,22129.055798,2024,12,Tuesday,2,-3581.3479499998357,-228.3222999999998,-3353.025649999836
