Entry_Level,TP_Level,Total_Trades,Wins,Losses,Win_Rate,Net_Profit,Profit_Factor,Avg_Win,Avg_Loss,Avg_RR,Max_Drawdown
62%,1R,937,422,515,45.03735325506937,-921.6686805199506,0.7966246106791366,8.554954436208538,-8.799727092427094,1.0,-1231.6680281399777
62%,1.5R,937,343,594,36.60618996798292,-676.8869547299091,0.8687182050247062,13.058594641312055,-8.680109287373643,1.5000000000000098,-1085.4131983099342
62%,2R,937,296,641,31.590181430096052,-271.4430293399155,0.9508123010840778,17.726592782297388,-8.609226978003031,2.0,-851.9266596399466
62%,2.5R,937,259,678,27.641408751334044,-48.04929812995397,0.9917575306485296,22.322120591698827,-8.598050931238864,2.4999999999999902,-806.8450249399802
62%,3R,937,227,710,24.226254002134475,-16.25735739994434,0.9973394835109483,26.847333261938363,-8.606481701211202,3.0,-867.1632054199454
62%,3.5R,937,200,737,21.344717182497334,-435.4128120299183,0.9322785222805012,29.97025660475016,-8.723831930773338,3.5000000000000098,-1023.6219529499849
62%,4R,937,179,758,19.103521878335112,-441.34258077995855,0.933115868699513,34.39816565642456,-8.70529582226907,4.0,-1256.0612426200078
62%,4.5R,937,169,768,18.036286019210245,-179.5053076099921,0.9731658379573321,38.52027746573945,-8.710198176197862,4.49999999999999,-1269.0343218300022
62%,Swing_High,937,145,792,15.474919957310565,-8.733096679942719,0.9987088645536556,46.587281220689746,-8.540263729393883,6.445871823834752,-1351.5386082199711
80%,1R,882,473,409,53.6281179138322,203.84399400004168,1.0969101287989869,4.877964723890089,-5.142868754034158,1.0,-192.31010019997666
80%,1.5R,882,434,448,49.2063492063492,940.018026700066,1.4140284045510747,7.3973207301844015,-5.067899933482063,1.4999999999999996,-135.45765399998527
80%,2R,882,402,480,45.57823129251701,1554.9459082000722,1.6419670462766878,9.893294432835912,-5.0461634454165925,2.0,-115.3771121999871
80%,2.5R,882,366,516,41.49659863945578,1946.2952988000861,1.7501841950439982,12.406334765027449,-5.027951986821628,2.500000000000001,-129.74217699999463
80%,3R,882,310,572,35.147392290249435,1822.7314852000973,1.6390279657931146,15.080908354838902,-4.986626057342592,3.0,-141.7098960000003
80%,3.5R,882,284,598,32.19954648526077,2126.2258060001277,1.7187910918527827,17.902408092958062,-4.946585438795922,3.4999999999999996,-164.83625150001717
80%,4R,882,263,619,29.81859410430839,2311.8592552001246,1.753982706905988,20.44888179467713,-4.953467943134024,4.0,-154.26080300002104
80%,4.5R,882,239,643,27.09750566893424,2418.747535900143,1.763254790178414,23.379659009623847,-4.928446294556697,4.500000000000001,-170.2903384000183
80%,Swing_High,882,126,756,14.285714285714285,2601.0797592000335,1.69525602721242,50.33541563650803,-4.948654247354469,11.379297260661147,-309.87921420001294
