direction,entry_time,entry_price,stop_loss,take_profit,fvg_type,year,exit_time,exit_price,exit_reason,exit_idx,pnl
short,2018-01-02 02:00:00,7513.112017,7523.570141,7497.424831,bullish,2018,2018-01-02 03:35:00,7497.424831,TP,127,15.68718600000011
short,2018-01-02 03:40:00,7501.10369,7509.804498,7488.052478,bullish,2018,2018-01-02 05:00:00,7509.804498,SL,144,-8.700808000000507
long,2018-01-02 05:20:00,7514.869333,7499.432146,7538.025113499999,bearish,2018,2018-01-02 06:30:00,7538.025113499999,TP,162,23.15578049999931
long,2018-01-03 02:00:00,7642.567635,7637.674344,7649.907571500001,bearish,2018,2018-01-03 03:40:00,7649.907571500001,TP,401,7.339936500000476
long,2018-01-03 03:45:00,7649.596899,7644.117837,7657.815492000001,bearish,2018,2018-01-03 06:05:00,7644.117837,SL,430,-5.47906200000034
long,2018-01-04 02:00:00,7730.140553,7726.12592,7736.162502499999,bearish,2018,2018-01-04 04:55:00,7726.12592,SL,689,-4.014632999999776
short,2018-01-04 05:35:00,7727.211692,7733.276527,7718.114439499999,bullish,2018,2018-01-04 06:15:00,7733.276527,SL,705,-6.06483500000013
long,2018-01-05 02:00:00,7749.763915,7742.527537,7760.618482000002,bearish,2018,2018-01-05 04:30:00,7760.618482000002,TP,957,10.854567000001225
long,2018-01-08 02:00:00,7818.299243,7811.941522,7827.835824500001,bearish,2018,2018-01-08 02:20:00,7811.941522,SL,1204,-6.357721000000311
short,2018-01-08 02:25:00,7810.098434,7820.556559,7794.411246500002,bullish,2018,2018-01-08 08:55:00,7820.556559,SL,1283,-10.4581249999992
long,2018-01-09 02:00:00,7837.043947,7833.029315,7843.065895000001,bearish,2018,2018-01-09 03:00:00,7843.065895000001,TP,1485,6.0219480000005206
short,2018-01-09 04:10:00,7842.02301,7846.9163,7834.683075,bullish,2018,2018-01-09 04:30:00,7846.9163,SL,1503,-4.893289999999979
long,2018-01-09 04:35:00,7844.95187,7840.351466,7851.852476,bearish,2018,2018-01-09 05:35:00,7840.351466,SL,1516,-4.6004039999997985
short,2018-01-10 02:00:00,7818.299243,7825.828507,7807.005347,bullish,2018,2018-01-10 04:25:00,7807.005347,TP,1775,11.293896000000132
short,2018-01-10 05:35:00,7790.475071,7817.627699,7749.746129,bullish,2018,2018-01-10 12:50:00,7817.627699,SL,1876,-27.152627999999822
short,2018-01-11 03:10:00,7825.621393,7833.736429,7813.4488390000015,bullish,2018,2018-01-11 06:10:00,7833.736429,SL,2069,-8.115035999999236
long,2018-01-12 02:00:00,7888.299,7881.648394,7898.274909,bearish,2018,2018-01-12 02:25:00,7898.274909,TP,2297,9.975908999999774
long,2018-01-12 02:30:00,7898.55001,7885.163026,7918.630486,bearish,2018,2018-01-12 07:30:00,7885.163026,SL,2358,-13.386983999999757
short,2018-01-15 02:00:00,7950.097949,7954.405467,7943.6366720000005,bullish,2018,2018-01-15 02:10:00,7943.6366720000005,TP,2567,6.461276999999427
short,2018-01-15 02:15:00,7941.311368,7954.405467,7921.6702195,bullish,2018,2018-01-15 20:50:00,7954.405467,SL,2731,-13.094098999999915
long,2018-01-16 02:00:00,7961.813389,7954.869897,7972.228627,bearish,2018,2018-01-16 03:35:00,7972.228627,TP,2812,10.4152380000005
long,2018-01-16 03:40:00,7971.185742,7961.020503,7986.4336005,bearish,2018,2018-01-16 05:00:00,7986.4336005,TP,2829,15.247858499999893
short,2018-01-16 05:55:00,7981.143866,7988.966016,7969.410641,bullish,2018,2018-01-16 08:30:00,7988.966016,SL,2871,-7.822149999999965
long,2018-01-17 02:00:00,7929.303042,7920.895119,7941.9149265,bearish,2018,2018-01-17 02:20:00,7941.9149265,TP,3070,12.611884500000087
short,2018-01-17 04:25:00,7939.554052,7945.618886,7930.456801,bullish,2018,2018-01-17 04:50:00,7945.618886,SL,3100,-6.064833999999792
long,2018-01-17 04:55:00,7945.704658,7936.710964,7959.195199,bearish,2018,2018-01-17 07:50:00,7959.195199,TP,3136,13.490541000000121
long,2018-01-18 02:00:00,7986.7087,7982.986954,7992.291319,bearish,2018,2018-01-18 02:10:00,7982.986954,SL,3341,-3.7217460000001665
short,2018-01-18 02:15:00,7979.679436,7994.530851,7957.402313500001,bullish,2018,2018-01-18 08:35:00,7994.530851,SL,3418,-14.851415000000088
long,2018-01-19 02:00:00,7989.930446,7978.007892,8007.814277000001,bearish,2018,2018-01-19 03:05:00,8007.814277000001,TP,3625,17.88383100000101
long,2018-01-19 03:10:00,8011.311125,7984.158498,8052.040065500001,bearish,2018,2018-01-19 09:50:00,7984.158498,SL,3706,-27.152627000000393
long,2018-01-22 02:00:00,8011.311125,8009.053809,8014.697099000001,bearish,2018,2018-01-22 02:20:00,8014.697099000001,TP,3889,3.385974000000715
long,2018-01-22 02:25:00,8015.41153,8007.296493,8027.584085500001,bearish,2018,2018-01-22 08:30:00,8007.296493,SL,3963,-8.115037000000484
long,2018-01-23 02:00:00,8143.695603,8138.802313,8151.035538,bearish,2018,2018-01-23 03:30:00,8138.802313,SL,4176,-4.893289999999979
short,2018-01-23 03:35:00,8140.180971,8147.41735,8129.3264025,bullish,2018,2018-01-23 05:05:00,8129.3264025,TP,4195,10.854568499999914
short,2018-01-23 05:10:00,8116.457204,8142.731173,8077.0462505000005,bullish,2018,2018-01-23 08:40:00,8142.731173,SL,4238,-26.273968999999852
