Date,Time,DateTime,Direction,Entry,High,Low,CandleRange,SL_Type,SL,Risk,RR_Ratio,TP,Result
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,1.0,7847.0,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,1.0,7835.87,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,1.5,7841.44,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,1.5,7824.74,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,2.0,7835.87,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,2.0,7813.61,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,2.5,7830.31,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,2.5,7802.48,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,3.0,7824.74,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,3.0,7791.35,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,3.5,7819.18,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,3.5,7780.22,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,4.0,7813.61,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,4.0,7769.09,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,50%,7869.26,11.13,4.5,7808.05,SL_HIT
05/02/2018,08:30:00,2018-02-05 08:30:00,SHORT,7858.13,7880.39,7828.84,51.55,100%,7880.39,22.26,4.5,7757.96,SL_HIT
