SL_Type,Direction,RR_Ratio,Total_Trades,TP_Hits,SL_Hits,No_Result,Completed_Trades,Win_Rate_%,Expected_R
50%,LONG,1.0,695,309,386,0,695,44.46,-0.1108
50%,LONG,1.5,695,275,420,0,695,39.57,-0.0108
50%,LONG,2.0,695,236,459,0,695,33.96,0.0187
50%,LONG,2.5,695,206,489,0,695,29.64,0.0374
50%,LONG,3.0,695,185,510,0,695,26.62,0.0647
50%,LONG,3.5,695,166,529,0,695,23.88,0.0748
50%,LONG,4.0,695,155,540,0,695,22.3,0.1151
50%,LONG,4.5,695,145,550,0,695,20.86,0.1475
50%,LONG,5.0,695,125,568,2,693,18.04,0.0823
50%,SHORT,1.0,671,283,388,0,671,42.18,-0.1565
50%,SHORT,1.5,671,240,431,0,671,35.77,-0.1058
50%,SHORT,2.0,671,214,457,0,671,31.89,-0.0432
50%,SHORT,2.5,671,191,480,0,671,28.46,-0.0037
50%,SHORT,3.0,671,173,498,0,671,25.78,0.0313
50%,SHORT,3.5,671,153,518,0,671,22.8,0.0261
50%,SHORT,4.0,671,141,530,0,671,21.01,0.0507
50%,SHORT,4.5,671,129,542,0,671,19.23,0.0574
50%,SHORT,5.0,671,119,552,0,671,17.73,0.0641
50%,ALL,1.0,1366,592,774,0,1366,43.34,-0.1332
50%,ALL,1.5,1366,515,851,0,1366,37.7,-0.0575
50%,ALL,2.0,1366,450,916,0,1366,32.94,-0.0117
50%,ALL,2.5,1366,397,969,0,1366,29.06,0.0172
50%,ALL,3.0,1366,358,1008,0,1366,26.21,0.0483
50%,ALL,3.5,1366,319,1047,0,1366,23.35,0.0509
50%,ALL,4.0,1366,296,1070,0,1366,21.67,0.0835
50%,ALL,4.5,1366,274,1092,0,1366,20.06,0.1032
50%,ALL,5.0,1366,244,1120,2,1364,17.89,0.0733
100%,LONG,1.0,695,362,333,0,695,52.09,0.0417
100%,LONG,1.5,695,306,389,0,695,44.03,0.1007
100%,LONG,2.0,695,265,430,0,695,38.13,0.1439
100%,LONG,2.5,695,231,462,2,693,33.33,0.1667
100%,LONG,3.0,695,207,484,4,691,29.96,0.1983
100%,LONG,3.5,695,190,498,7,688,27.62,0.2427
100%,LONG,4.0,695,172,514,9,686,25.07,0.2536
100%,LONG,4.5,695,148,531,16,679,21.8,0.1988
100%,LONG,5.0,695,138,537,20,675,20.44,0.2267
100%,SHORT,1.0,671,334,337,0,671,49.78,-0.0045
100%,SHORT,1.5,671,280,391,0,671,41.73,0.0432
100%,SHORT,2.0,671,237,434,0,671,35.32,0.0596
100%,SHORT,2.5,671,205,466,0,671,30.55,0.0693
100%,SHORT,3.0,671,179,492,0,671,26.68,0.0671
100%,SHORT,3.5,671,164,506,1,670,24.48,0.1015
100%,SHORT,4.0,671,145,523,3,668,21.71,0.0853
100%,SHORT,4.5,671,132,535,4,667,19.79,0.0885
100%,SHORT,5.0,671,124,540,7,664,18.67,0.1205
100%,ALL,1.0,1366,696,670,0,1366,50.95,0.019
100%,ALL,1.5,1366,586,780,0,1366,42.9,0.0725
100%,ALL,2.0,1366,502,864,0,1366,36.75,0.1025
100%,ALL,2.5,1366,436,928,2,1364,31.96,0.1188
100%,ALL,3.0,1366,386,976,4,1362,28.34,0.1336
100%,ALL,3.5,1366,354,1004,8,1358,26.07,0.173
100%,ALL,4.0,1366,317,1037,12,1354,23.41,0.1706
100%,ALL,4.5,1366,280,1066,20,1346,20.8,0.1441
100%,ALL,5.0,1366,262,1077,27,1339,19.57,0.174
