SL_Type,Timeframe,TP_Level,Total_Trades,Wins,Losses,Win_Rate_%,Avg_Win_R,Avg_Loss_R,Expectancy_R
SL-Body,1m,1.5R,62,24,38,38.70967741935484,1.4999999999999833,-1.0,-0.032258064516135554
SL-Body,1m,1R,62,26,36,41.935483870967744,1.0,-1.0,-0.16129032258064507
SL-Body,1m,2R,62,22,40,35.483870967741936,2.0,-1.0,0.06451612903225812
SL-Body,5m,1.5R,571,224,347,39.229422066549915,1.5000000000000049,-1.0,-0.019264448336250295
SL-Body,5m,1R,571,278,293,48.68651488616462,1.0,-1.0,-0.02626970227670755
SL-Body,5m,2R,571,196,375,34.32574430823117,2.0,-1.0,0.02977232924693507
SL-Wick,1m,1.5R,62,27,35,43.54838709677419,1.5000000000000144,-1.0,0.0887096774193612
SL-Wick,1m,1R,62,30,32,48.38709677419355,1.0,-1.0,-0.032258064516129004
SL-Wick,1m,2R,62,25,37,40.32258064516129,2.0,-1.0,0.20967741935483863
SL-Wick,5m,1.5R,571,249,322,43.6077057793345,1.500000000000002,-1.0,0.0901926444833635
SL-Wick,5m,1R,572,299,273,52.27272727272727,1.0,-1.0,0.045454545454545414
SL-Wick,5m,2R,568,204,364,35.91549295774648,2.0,-1.0,0.07746478873239437
