Date;Entry_Time;Entry_Price;Exit_Time;Exit_Price;Exit_Reason;Stop_Loss;Take_Profit;PnL;Risk;Reward;RR_Ratio;Asia_Low;Asia_EQ;FVG_High;FVG_Low
2018-01-02;2018-01-02 05:40:00;7516.626649;2018-01-02 06:00:00;7518.676851;Take Profit;7511.647587;7518.676851;2.050202000000354;4.9790619999994306;2.050202000000354;0.41176470588247116;7511.647587;7518.676851;7516.333763;7515.455105
2018-01-08;2018-01-08 02:35:00;7813.613066;2018-01-08 02:45:00;7809.805548;Stop Loss;7809.805548;7815.2239395;-3.807517999999618;3.807517999999618;1.6108734999997978;0.4230770543960552;7809.805548;7815.2239395;7813.32018;7811.562864
2018-01-15;2018-01-15 03:55:00;7948.340633;2018-01-15 04:10:00;7945.704658;Stop Loss;7945.704658;7954.1983525;-2.635975000000144;2.635975000000144;5.857719499999803;2.222221189502739;7945.704658;7954.1983525;7948.047747;7945.997544
2018-01-25;2018-01-25 02:20:00;8124.365127;2018-01-25 02:25:00;8124.5115695;Take Profit;8112.649686;8124.5115695;0.14644250000037573;11.715441000000283;0.14644250000037573;0.012499956254346054;8112.649686;8124.5115695;8122.022039;8121.14338
2018-02-01;2018-02-01 03:35:00;8165.369168;2018-02-01 03:55:00;8164.783396;Stop Loss;8164.783396;8175.620178499999;-0.585772000000361;0.585772000000361;10.25101049999921;17.500000853562295;8164.783396;8175.620178499999;8164.49051;8164.197624
2018-02-07;2018-02-07 01:45:00;7740.977335;2018-02-07 01:55:00;7733.948071;Stop Loss;7733.948071;7770.558822499999;-7.029263999999785;7.029263999999785;29.58148749999964;4.208333546727018;7733.948071;7770.558822499999;7740.684449;7732.776527
2018-02-20;2018-02-20 02:25:00;7931.353244;2018-02-20 02:50:00;7921.395119;Stop Loss;7921.395119;7941.89714;-9.95812500000011;9.95812500000011;10.543896000000132;1.0588234230841667;7921.395119;7941.89714;7931.060358;7929.010156
2018-03-16;2018-03-16 03:35:00;8249.143932;2018-03-16 03:55:00;8252.20825;Take Profit;8236.011141;8252.20825;3.0643179999988206;13.132790999999997;3.0643179999988206;0.2333333409477712;8236.011141;8252.20825;8247.976573;8245.933694
2018-04-02;2018-04-02 03:30:00;7652.91521;2018-04-02 03:45:00;7644.160016;Stop Loss;7644.160016;7660.648965;-8.755194000000301;8.755194000000301;7.733755000000201;0.8833333675987003;7644.160016;7660.648965;7652.62337;7650.872331
2018-04-11;2018-04-11 04:15:00;7700.193258;2018-04-11 05:10:00;7688.227826;Stop Loss;7688.227826;7709.969891500001;-11.965431999999964;11.965431999999964;9.776633500000571;0.8170731737893459;7688.227826;7709.969891500001;7699.609579;7698.734059
2018-04-12;2018-04-12 01:55:00;7715.077089;2018-04-12 02:25:00;7720.330205;Take Profit;7702.527977;7720.330205;5.253115999999864;12.549112000000605;5.253115999999864;0.4186045992736068;7702.527977;7720.330205;7709.823972;7708.948453
2018-04-16;2018-04-16 01:30:00;7781.616564;2018-04-16 01:55:00;7764.689855;Stop Loss;7764.689855;7789.4962385;-16.9267090000003;16.9267090000003;7.879674499999965;0.46551721897031634;7764.689855;7789.4962385;7781.324724;7779.573685
2018-04-20;2018-04-20 04:50:00;7899.228006;2018-04-20 05:25:00;7892.51569;Stop Loss;7892.51569;7909.5883185;-6.712316000000101;6.712316000000101;10.360312499999964;1.5434780633092673;7892.51569;7909.5883185;7896.893287;7896.601447
2018-04-25;2018-04-25 05:00:00;7592.79621;2018-04-25 05:50:00;7585.208375;Stop Loss;7585.208375;7609.139239;-7.587835000000268;7.587835000000268;16.34302899999966;2.1538461234329795;7585.208375;7609.139239;7591.628851;7591.045171
2018-05-11;2018-05-11 03:40:00;8128.614092;2018-05-11 03:45:00;8129.0518520000005;Take Profit;8120.442578;8129.0518520000005;0.4377600000007078;8.17151399999966;0.4377600000007078;0.05357146790677052;8120.442578;8129.0518520000005;8128.322253;8128.030413
2018-05-14;2018-05-14 03:25:00;8151.377597;2018-05-14 03:30:00;8151.9612765;Take Profit;8140.871364;8151.9612765;0.5836795000004713;10.506233000000066;0.5836795000004713;0.05555554497986744;8140.871364;8151.9612765;8149.918398;8149.626558
2018-05-21;2018-05-21 04:05:00;8083.087083;2018-05-21 04:25:00;8079.585005;Stop Loss;8079.585005;8087.6105995;-3.502078000000438;3.502078000000438;4.5235164999994595;1.2916664049169932;8079.585005;8087.6105995;8080.752364;8080.460525
2018-06-13;2018-06-13 05:20:00;8432.697784;2018-06-13 06:10:00;8428.043656;Stop Loss;8428.043656;8436.18838;-4.654128000000128;4.654128000000128;3.490595999999641;0.7499999999999023;8428.043656;8436.18838;8431.825135;8431.534252
2018-06-15;2018-06-15 02:30:00;8502.509701;2018-06-15 02:35:00;8495.819392;Stop Loss;8495.819392;8505.7094135;-6.6903090000014345;6.6903090000014345;3.199712499999805;0.478260794830122;8495.819392;8505.7094135;8501.055286;8500.47352
2018-06-21;2018-06-21 02:05:00;8533.925063;2018-06-21 02:15:00;8537.415658999998;Take Profit;8512.981488;8537.415658999998;3.490595999997822;20.943575000001147;3.490595999997822;0.1666666746244436;8512.981488;8537.415658999998;8532.761531;8531.307117
2018-07-10;2018-07-10 03:25:00;8509.781776;2018-07-10 03:35:00;8504.836765;Stop Loss;8504.836765;8519.96268;-4.945010999999795;4.945010999999795;10.180904000000737;2.0588233271879797;8504.836765;8519.96268;8508.036478;8507.454712
2018-07-17;2018-07-17 03:00:00;8510.654424;2018-07-17 03:30:00;8506.582063;Stop Loss;8506.582063;8522.87151;-4.0723610000004555;4.0723610000004555;12.217086000000563;3.0000007366731967;8506.582063;8522.87151;8503.964116;8503.673233
2018-07-24;2018-07-24 03:25:00;8649.114726;2018-07-24 03:35:00;8653.187087999999;Take Profit;8640.388237;8653.187087999999;4.072361999998975;8.726489000000583;4.072361999998975;0.4666667201435426;8640.388237;8653.187087999999;8648.242077;8646.205896
2018-08-03;2018-08-03 02:35:00;8593.846959;2018-08-03 02:40:00;8594.865049;Take Profit;8587.447533;8594.865049;1.0180899999995745;6.3994259999999485;1.0180899999995745;0.15909083095883642;8587.447533;8594.865049;8592.101661;8590.938129
2018-08-06;2018-08-06 01:55:00;8622.353491;2018-08-06 02:40:00;8614.208768;Stop Loss;8614.208768;8626.280412;-8.14472299999943;8.14472299999943;3.9269210000002204;0.4821429777293218;8614.208768;8626.280412;8621.771725;8621.189959
