strategy,direction,entry_datetime,entry_price,stop_loss,take_profit,exit_datetime,exit_price,pnl,outcome,fvg_timeframe
A: Swing Sweep,LONG,2018-01-02 02:00:00,7511.940473,7491.940473,7551.940473,2018-01-02 08:30:00,7551.940473,40.0,WIN,
A: Swing Sweep,LONG,2018-01-02 02:30:00,7501.982348,7481.982348,7541.982348,2018-01-02 07:15:00,7541.982348,40.0,WIN,
A: Swing Sweep,LONG,2018-01-02 03:30:00,7501.10369,7481.10369,7541.10369,2018-01-02 07:15:00,7541.10369,40.0,WIN,
A: Swing Sweep,SHORT,2018-01-03 01:30:00,7643.153407,7663.153407,7603.153407,2018-01-03 08:30:00,7663.153407,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-03 02:00:00,7644.324951,7664.324951,7604.324951,2018-01-03 08:30:00,7664.324951,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-03 02:15:00,7646.375153,7666.375153,7606.375153,2018-01-03 08:30:00,7666.375153,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-04 02:30:00,7730.726325,7750.726325,7690.726325,2018-01-04 07:15:00,7750.726325,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-04 03:45:00,7732.190755,7752.190755,7692.190755,2018-01-04 07:15:00,7752.190755,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-05 01:45:00,7747.420827,7767.420827,7707.420827,2018-01-05 04:45:00,7767.420827,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-05 02:15:00,7751.228345,7771.228345,7711.228345,2018-01-05 07:15:00,7771.228345,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-08 02:00:00,7818.299243,7838.299243,7778.299243,2018-01-08 10:30:00,7838.299243,-20.0,LOSS,
A: Swing Sweep,LONG,2018-01-08 03:30:00,7810.098434,7790.098434,7850.098434,2018-01-09 07:15:00,7850.098434,40.0,WIN,
A: Swing Sweep,SHORT,2018-01-09 01:00:00,7835.872403,7855.872403,7795.872403,2018-01-09 07:30:00,7855.872403,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-09 01:15:00,7836.458175,7856.458175,7796.458175,2018-01-09 12:15:00,7856.458175,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-09 02:30:00,7840.55858,7860.55858,7800.55858,2018-01-10 04:30:00,7800.55858,40.0,WIN,
A: Swing Sweep,SHORT,2018-01-09 03:00:00,7843.48744,7863.48744,7803.48744,2018-01-10 04:30:00,7803.48744,40.0,WIN,
A: Swing Sweep,SHORT,2018-01-11 01:45:00,7829.428911,7849.428911,7789.428911,2018-01-11 11:15:00,7849.428911,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-11 03:00:00,7825.621393,7845.621393,7785.621393,2018-01-11 06:15:00,7845.621393,-20.0,LOSS,
A: Swing Sweep,LONG,2018-01-15 01:00:00,7947.754861,7927.754861,7987.754861,2018-01-16 05:00:00,7987.754861,40.0,WIN,
A: Swing Sweep,LONG,2018-01-15 02:15:00,7946.876202,7926.876202,7986.876202,2018-01-16 05:00:00,7986.876202,40.0,WIN,
A: Swing Sweep,SHORT,2018-01-16 01:45:00,7960.056073,7980.056073,7920.056073,2018-01-16 04:30:00,7980.056073,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-16 02:15:00,7966.499565,7986.499565,7926.499565,2018-01-16 05:00:00,7986.499565,-20.0,LOSS,
A: Swing Sweep,SHORT,2018-01-19 02:45:00,7994.616623,8014.616623,7954.616623,2018-01-19 03:15:00,8014.616623,-20.0,LOSS,
