Date,Entry_Time,Direction,Entry_Price,SL_Price,FVG_Used,FVG_Level,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2018-01-02,2018-01-02 02:15:00,SHORT,7503.739664,7514.869333,True,7514.869333,11.129668999999922,7492.609995,2018-01-02 05:08:00,7514.869333,SL,-11.129668999999922,-1.0,7525.706115,7511.647587
2018-01-03,2018-01-03 01:45:00,LONG,7645.203609,7641.981862,True,7641.981862,3.221747000000505,7648.425356000001,2018-01-03 01:50:00,7641.981862,SL,-3.221747000000505,-1.0,7644.324951,7634.07394
2018-01-04,2018-01-04 02:15:00,LONG,7732.776527,7729.261894,True,7729.261894,3.514632999999776,7736.29116,2018-01-04 02:42:00,7729.261894,SL,-3.514632999999776,-1.0,7731.019211,7709.638532
2018-01-05,2018-01-05 01:45:00,LONG,7747.420827,7746.835055,True,7746.835055,0.585772000000361,7748.006599,2018-01-05 01:46:00,7748.006599,TP,0.585772000000361,1.0,7746.835055,7731.897869
2018-01-09,2018-01-09 02:15:00,LONG,7841.730124,7838.801264,True,7838.801264,2.928859999999986,7844.658984,2018-01-09 02:18:00,7838.801264,SL,-2.928859999999986,-1.0,7841.144352,7824.742735
2018-01-10,2018-01-10 01:45:00,SHORT,7817.127699,7823.864077,True,7823.864077,6.736378000000514,7810.391320999999,2018-01-10 02:35:00,7823.864077,SL,-6.736378000000514,-1.0,7832.943543,7819.763673
2018-01-12,2018-01-12 01:00:00,LONG,7885.955912,7882.148394,True,7882.148394,3.8075180000005275,7889.763430000001,2018-01-12 02:19:00,7889.763430000001,TP,3.8075180000005275,1.0,7881.562621,7870.140067
2018-01-15,2018-01-15 02:00:00,SHORT,7941.89714,7953.026809,True,7953.026809,11.129668999999922,7930.767471,2018-01-15 02:03:00,7953.026809,SL,-11.129668999999922,-1.0,7964.742249,7945.704658
2018-01-16,2018-01-16 02:00:00,LONG,7963.863591,7959.470301,True,7959.470301,4.393289999999979,7968.256881,2018-01-16 02:01:00,7959.470301,SL,-4.393289999999979,-1.0,7960.641845,7938.96828
2018-01-17,2018-01-17 02:00:00,LONG,7936.625192,7922.859549,True,7922.859549,13.765643000000637,7950.390835000001,2018-01-17 05:10:00,7950.390835000001,TP,13.765643000000637,1.0,7933.696332,7907.043705
2018-01-19,2018-01-19 02:45:00,LONG,7997.545483,7988.17313,True,7988.17313,9.372352999999748,8006.917836,2018-01-19 03:07:00,8006.917836,TP,9.372352999999748,1.0,7996.373939,7968.256881
2018-01-22,2018-01-22 02:30:00,LONG,8021.855022,8014.532872,True,8014.532872,7.322149999999965,8029.177172,2018-01-22 02:35:00,8014.532872,SL,-7.322149999999965,-1.0,8017.168846,8002.817431
2018-01-23,2018-01-23 01:00:00,LONG,8141.938287,8139.302313,True,8139.302313,2.6359739999998055,8144.574261,2018-01-23 01:01:00,8139.302313,SL,-2.6359739999998055,-1.0,8139.009427,8117.628748
2018-01-24,2018-01-24 01:00:00,LONG,8169.469573,8167.712257,True,8167.712257,1.7573160000001735,8171.2268890000005,2018-01-24 01:03:00,8167.712257,SL,-1.7573160000001735,-1.0,8164.783396,8152.189298
2018-01-25,2018-01-25 03:30:00,LONG,8141.645401,8131.101505,True,8131.101505,10.543896000000132,8152.189297,2018-01-25 03:57:00,8152.189297,TP,10.543896000000132,1.0,8136.373453,8112.649686
2018-01-26,2018-01-26 03:15:00,LONG,8150.724868,8147.210236,True,8147.210236,3.514632000000347,8154.239500000001,2018-01-26 03:16:00,8147.210236,SL,-3.514632000000347,-1.0,8149.84621,8129.344189
2018-01-29,2018-01-29 02:00:00,SHORT,8219.845967,8236.54047,True,8236.54047,16.694503000000623,8203.151463999999,2018-01-29 04:07:00,8203.151463999999,TP,16.694503000000623,1.0,8256.163833,8229.218319
2018-02-01,2018-02-01 03:15:00,SHORT,8160.390106,8170.055345,True,8170.055345,9.665238999999929,8150.724867,2018-02-01 06:02:00,8150.724867,TP,9.665238999999929,1.0,8186.456961,8164.783396
2018-02-02,2018-02-02 02:45:00,SHORT,8082.189541,8105.03465,True,8105.03465,22.845108999999866,8059.344432,2018-02-02 03:21:00,8059.344432,TP,22.845108999999866,1.0,8148.088894,8098.298271
2018-02-05,2018-02-05 01:00:00,LONG,7916.123171,7904.993503,True,7904.993503,11.129668000000493,7927.252839000001,2018-02-05 02:00:00,7904.993503,SL,-11.129668000000493,-1.0,7906.750819,7867.504093
2018-02-06,2018-02-06 02:15:00,LONG,7595.705872,7575.789623,True,7575.789623,19.91624900000079,7615.622121000001,2018-02-06 02:38:00,7615.622121000001,TP,19.91624900000079,1.0,7583.990432,7334.158662
2018-02-07,2018-02-07 02:00:00,SHORT,7702.023495,7734.533843,True,7734.533843,32.510347999999794,7669.513147000001,2018-02-07 02:31:00,7734.533843,SL,-32.510347999999794,-1.0,7807.169574,7709.638532
