1.0R,1.5R,2.0R
-11.129668999999922,-11.129668999999922,-11.129668999999922
-14.351416000000427,-14.351416000000427,-14.351416000000427
-17.866049000000203,-17.866049000000203,-17.866049000000203
-17.280276999999842,-16.98739099999966,-18.451821000000564
-20.209136999999828,-19.916250999999647,-21.38068100000055
-26.94551500000034,-26.65262900000016,-28.117059000001063
-23.137996999999814,-20.941351999998915,-20.50202300000001
-34.267665999999736,-32.07102099999884,-31.63169199999993
-38.660955999999715,-36.464310999998816,-36.02498199999991
-24.895312999999078,-15.81584649999786,-49.790625000000546
-15.52295999999933,-1.7573169999977836,-31.04591900000105
-22.845109999999295,-9.079466999997749,-38.368069000001015
-25.4810839999991,-11.715440999997554,-41.00404300000082
-27.238399999999274,-13.472756999997728,-42.76135900000099
-16.694503999999142,2.3430870000029245,-21.67356700000073
-20.20913599999949,-1.1715449999974226,-25.188199000001077
-3.5146329999988666,23.870209500002602,8.200807000000168
6.150606000001062,38.368068000002495,27.531285000000025
28.995715000000928,72.6357315000023,73.22150299999976
17.866047000000435,61.5060635000018,62.091834999999264
37.782296000001224,91.38043700000253,101.92433300000084
5.27194800000143,58.870089000002736,69.41398500000105
-21.380678999998963,32.21746200000234,42.761358000000655
-16.401616999998623,39.68605500000285,52.719482000001335
-49.79062299999896,6.2970490000025166,19.330476000001
-60.04163399999834,-3.9539619999968636,9.079465000001619
-50.08350999999766,10.983224000004157,28.99571300000298
-69.41398699999718,-8.347252999995362,9.66523600000346
-58.57720399999653,7.907921500005614,-1.1715469999971901
-48.61907899999642,22.845109000005323,18.744703000003028
-52.71948299999622,18.744705000005524,14.64429900000323
-30.753031999996892,51.694381500004056,58.57720100000188
-36.61075299999629,45.836660500004655,52.71948000000248
-41.589814999995724,40.857598500005224,47.74041800000305
-49.20485099999587,33.24256250000508,40.1253820000029
-43.05424399999538,27.091955500004588,33.97477500000241
-48.91196399999535,21.234235500004615,28.117055000002438
-30.753030999995644,48.47263500000463,64.43492100000185
-26.95911299999443,44.67871700000342,60.64100300000064
-28.710151999993286,42.92767800000456,58.88996400000178
-14.993680999993558,63.502384500004155,86.32290600000124
-19.371277999994163,59.12478750000355,81.94530900000063
-29.87751099999423,48.618554500003484,71.43907600000057
-35.42246699999396,43.073598500003754,65.89412000000084
-44.469500999993215,34.0265645000045,56.84708600000158
-25.499913999992714,15.056977500003995,37.87749900000108
-8.281364999993457,40.88480100000288,72.3145969999996
-4.7792879999933575,46.137916500002575,79.31875099999979
15.357659000006606,26.00096950000261,59.18180399999983
-33.671427999993284,-23.02811749999728,10.152716999999939
-51.18181599999298,-40.53850549999697,-7.357670999999755
-62.271728999992774,-51.62841849999677,-18.44758399999955
-79.19843799999217,-68.55512749999616,-35.37429299999894
-71.90244299999176,-57.611134999995556,-20.782302999998137
-58.4778119999919,-37.47418849999576,-34.206933999998
-35.714306999992004,-60.23769349999566,-56.970438999997896
-50.598136999991766,-75.12152349999542,-71.85426899999766
-68.69220499999119,-93.21559149999484,-89.94833699999708
-71.90244299999085,-96.4258294999945,-93.15857499999674
-72.77796199999102,-97.30134849999467,-94.03409399999691
-68.10852499999055,-101.97078549999515,-98.70353099999738
-53.516534999990654,-80.08280049999485,-69.51955099999759
-37.46534599998995,-56.006016999994245,-85.5707399999983
