date,direction,asian_high,asian_low,sweep_type,sweep_extreme,htf_confluence,htf_distance,reversal_type,entry_time,entry_price,sl_a,sl_b,tp1,tp2_1x,tp2_15x,result_sl_a,result_sl_b,risk_sl_a,risk_sl_b
2020-04-07,bearish,2668.0,2623.5,buy_side_sweep,2717.5,False,,shooting_star,2020-04-07 14:50:00,2664.0,2671.5,2694.0,2623.5,2629.25,2611.875,"{'status': 'stopped_out', 'exit_price': np.float64(2671.5), 'exit_time': Timestamp('2020-04-08 00:15:00'), 'pnl': np.float64(-7.5), 'rr_achieved': 0}","{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}",7.5,30.0
2020-04-17,bullish,2882.25,2860.25,sell_side_sweep,2850.0,False,,hammer,2020-04-17 15:00:00,2866.75,2858.0,2862.75,2882.25,2891.5,2903.875,"{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}","{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}",8.75,4.0
2021-02-19,bearish,3913.75,3890.25,buy_side_sweep,3914.0,True,10.75,shooting_star,2021-02-19 14:50:00,3902.75,3912.0,3908.75,3890.25,3892.25,3887.0,"{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}","{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}",9.25,6.0
2021-10-26,bearish,4575.0,4565.25,buy_side_sweep,4576.75,True,1.75,shooting_star,2021-10-26 14:55:00,4564.75,4580.25,4571.5,4565.25,4556.25,4552.0,"{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}","{'status': 'stopped_out', 'exit_price': np.float64(4571.5), 'exit_time': Timestamp('2021-10-26 17:45:00'), 'pnl': np.float64(-6.75), 'rr_achieved': 0}",15.5,6.75
2021-12-31,bearish,4770.0,4755.0,buy_side_sweep,4771.25,True,13.0,shooting_star,2021-12-31 14:50:00,4760.5,4779.25,4770.25,4755.0,4756.0,4753.75,"{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}","{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}",18.75,9.75
2023-02-23,bearish,4019.0,4009.25,buy_side_sweep,4023.25,True,2.5,shooting_star,2023-02-23 15:00:00,4016.25,4022.5,4020.75,4009.25,4006.25,4001.25,"{'status': 'stopped_out', 'exit_price': np.float64(4022.5), 'exit_time': Timestamp('2023-02-23 19:00:00'), 'pnl': np.float64(-6.25), 'rr_achieved': 0}","{'status': 'stopped_out', 'exit_price': np.float64(4020.75), 'exit_time': Timestamp('2023-02-23 19:00:00'), 'pnl': np.float64(-4.5), 'rr_achieved': 0}",6.25,4.5
2023-02-28,bullish,3998.0,3987.25,sell_side_sweep,3972.25,True,11.5,hammer,2023-02-28 14:50:00,3982.25,3975.5,3976.25,3998.0,3995.0,4001.375,"{'status': 'stopped_out', 'exit_price': np.float64(3975.5), 'exit_time': Timestamp('2023-02-28 14:55:00'), 'pnl': np.float64(-6.75), 'rr_achieved': 0}","{'status': 'stopped_out', 'exit_price': np.float64(3976.25), 'exit_time': Timestamp('2023-02-28 14:55:00'), 'pnl': np.float64(-6.0), 'rr_achieved': 0}",6.75,6.0
2023-03-24,bearish,3984.75,3971.0,buy_side_sweep,3998.25,True,8.75,shooting_star,2023-03-24 14:50:00,3992.0,4003.25,3995.5,3971.0,3978.0,3971.0,"{'status': 'stopped_out', 'exit_price': np.float64(4003.25), 'exit_time': Timestamp('2023-03-24 15:00:00'), 'pnl': np.float64(-11.25), 'rr_achieved': 0}","{'status': 'stopped_out', 'exit_price': np.float64(3995.5), 'exit_time': Timestamp('2023-03-24 14:55:00'), 'pnl': np.float64(-3.5), 'rr_achieved': 0}",11.25,3.5
2023-04-18,bearish,4178.5,4172.0,buy_side_sweep,4181.0,True,3.25,shooting_star,2023-04-18 15:00:00,4177.0,4184.0,4180.0,4172.0,4173.25,4171.375,"{'status': 'tp_hit', 'exit_price': np.float64(4171.375), 'exit_time': Timestamp('2023-04-19 01:10:00'), 'pnl': np.float64(5.625), 'rr_achieved': np.float64(0.8035714285714286)}","{'status': 'stopped_out', 'exit_price': np.float64(4180.0), 'exit_time': Timestamp('2023-04-18 15:30:00'), 'pnl': np.float64(-3.0), 'rr_achieved': 0}",7.0,3.0
2024-01-05,bullish,4736.5,4729.5,sell_side_sweep,4720.75,True,6.25,hammer,2024-01-05 14:40:00,4730.5,4718.75,4724.25,4736.5,4738.25,4742.125,"{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}","{'status': 'open', 'exit_price': None, 'exit_time': None, 'pnl': 0, 'rr_achieved': 0}",11.75,6.25
