date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,entry_datetime,outcome,profit_points,Sweep_Depth,Time_Outside,Tokyo_Range_Size
2018-01-03,short,7647.839583,7648.089583,0.25,7644.324951,7634.07394,7639.1994455,2018-01-03 03:25:00,loss,-0.25,7.62,18,10.25
2018-01-04,short,7727.797464,7730.390553,2.5930889999999636,7731.019211,7709.638532,7720.3288715,2018-01-04 02:50:00,loss,-2.5930889999999636,3.51,6,21.38
2018-01-08,long,7815.956154,7815.120382,0.835772000000361,7820.642331,7809.805548,7815.2239395,2018-01-08 01:25:00,win,0.835772000000361,0.88,-12,10.84
2018-01-09,short,7842.315896,7844.030326,1.714429999999993,7841.144352,7824.742735,7832.9435435,2018-01-09 03:25:00,loss,-1.714429999999993,5.27,14,16.4
2018-01-10,long,7818.299243,7818.049243,0.25,7832.357771,7819.763673,7826.060722,2018-01-10 03:15:00,loss,-0.25,6.74,17,12.59
2018-01-11,short,7827.085823,7827.628709,0.542885999999271,7829.428911,7807.46246,7818.4456855,2018-01-11 03:15:00,win,0.542885999999271,3.81,19,21.97
2018-01-12,short,7893.863834,7895.87115,2.0073160000001735,7881.562621,7871.018725,7876.2906729999995,2018-01-12 03:30:00,win,2.0073160000001735,19.92,30,10.54
2018-01-15,long,7950.097949,7947.797747,2.300202000000354,7964.742249,7945.704658,7955.2234535,2018-01-15 02:00:00,loss,-2.300202000000354,5.27,6,19.04
2018-01-16,short,7963.277819,7964.113591,0.835772000000361,7960.641845,7940.725596,7950.6837205,2018-01-16 02:45:00,loss,-0.835772000000361,16.69,11,19.92
2018-01-22,short,8012.189783,8013.318442,1.1286589999999705,8017.168846,8002.817431,8009.9931385,2018-01-22 01:45:00,win,1.1286589999999705,5.27,-11,14.35
2018-01-23,short,8141.645401,8143.652717,2.0073160000001735,8139.009427,8117.628748,8128.3190875,2018-01-23 02:10:00,loss,-2.0073160000001735,12.59,14,21.38
2018-01-24,short,8167.419371,8168.255143,0.835772000000361,8164.783396,8152.189298,8158.486347,2018-01-24 01:30:00,win,0.835772000000361,12.59,6,12.59
2018-01-25,long,8127.001101,8123.529355,3.4717460000001665,8136.373453,8115.871432,8126.1224425,2018-01-25 02:25:00,win,3.4717460000001665,3.51,6,20.5
2018-01-29,long,8223.946371,8223.110599,0.835772000000361,8256.163833,8229.218319,8242.691076,2018-01-29 02:35:00,loss,-0.835772000000361,24.6,7,26.95
2018-02-01,long,8177.377495,8173.905749,3.4717460000001665,8186.456961,8172.984205,8179.720583,2018-02-01 02:00:00,loss,-3.4717460000001665,15.52,-4,13.47
2018-02-05,short,7912.608539,7915.787399,3.178859999999986,7906.750819,7871.311611,7889.031215,2018-02-05 01:45:00,loss,-3.178859999999986,16.69,9,35.44
2018-02-06,short,7600.684935,7601.227821,0.5428860000001805,7566.417271,7334.158662,7450.2879665,2018-02-06 03:50:00,loss,-0.5428860000001805,94.31,33,232.26
2018-02-07,long,7743.906195,7730.476325,13.429869999999937,7807.169574,7709.638532,7758.404053,2018-02-07 01:20:00,loss,-13.429869999999937,8.49,-10,97.53
2018-02-08,short,7712.274506,7713.988936,1.714429999999993,7712.567392,7647.839583,7680.2034875,2018-02-08 02:35:00,loss,-1.714429999999993,16.11,6,64.73
2018-02-09,short,7446.919778,7448.927094,2.007315999999264,7460.392534,7367.254782,7413.823657999999,2018-02-09 02:15:00,loss,-2.007315999999264,12.3,3,93.14
2018-02-12,long,7554.116058,7553.573172,0.542885999999271,7561.438209,7537.12867,7549.2834395,2018-02-12 01:35:00,loss,-0.542885999999271,3.22,-5,24.31
