Type_SL,Type_TP,Nb_Trades,Winrate_%,Net_Profit_Points,Avg_RR_Realized,Max_Drawdown_Points
SL1,1R,1618,50.8,-15034.13,0.02,9
SL1,1.5R,1618,42.21,-12150.43,0.06,13
SL1,2R,1618,36.28,-10145.17,0.09,16
SL1,Range,1618,43.14,-11261.85,0.1,10
SL1,EQ,1618,70.58,-1181.14,0.12,5
SL2,1R,1618,42.09,-3101.46,-0.16,10
SL2,1.5R,1618,30.78,-4486.75,-0.23,20
SL2,2R,1618,24.6,-4727.37,-0.26,20
SL2,Range,1618,13.35,-6746.21,-0.43,42
SL2,EQ,1618,37.64,-5417.12,-0.38,12
SL3,1R,1618,64.46,557.68,0.29,5
SL3,1.5R,1618,51.48,-238.21,0.29,9
SL3,2R,1618,43.14,-636.12,0.29,11
SL3,Range,1618,10.75,-3343.67,-0.17,53
SL3,EQ,1618,38.57,-4201.71,-0.45,20
SL4,1R,1618,35.91,-17695.05,-0.28,19
SL4,1.5R,1618,28.62,-18450.57,-0.28,24
SL4,2R,1618,23.18,-19255.11,-0.3,24
SL4,Range,1618,17.61,-19739.8,-0.3,29
SL4,EQ,1618,47.96,-10505.7,-0.18,10
