SL Level,R:R Ratio,Total Trades,Wins,Losses,No Result,Win Rate (%),Expectancy (R),Long Trades,Long Win Rate (%),Short Trades,Short Win Rate (%)
25%,1.0,695,265,298,132,47.06927175843694,-0.058614564831261096,410,47.16417910447761,285,46.92982456140351
25%,1.5,695,210,332,153,38.74538745387454,-0.03136531365313655,410,39.318885448916404,285,37.89954337899543
25%,2.0,695,162,357,176,31.213872832369944,-0.06358381502890176,410,32.7922077922078,285,28.90995260663507
25%,2.5,695,134,366,195,26.8,-0.061999999999999944,410,28.2312925170068,285,24.75728155339806
25%,3.0,695,104,378,213,21.57676348547718,-0.13692946058091282,410,23.214285714285715,285,19.306930693069308
25%,3.5,695,80,381,234,17.35357917570499,-0.21908893709327548,410,17.803030303030305,285,16.751269035532996
25%,4.0,695,64,384,247,14.285714285714285,-0.2857142857142857,410,14.173228346456693,285,14.432989690721648
25%,4.5,695,46,388,261,10.599078341013826,-0.41705069124423966,410,10.612244897959183,285,10.582010582010582
25%,5.0,695,40,388,267,9.345794392523365,-0.4392523364485981,410,9.50413223140496,285,9.13978494623656
50%,1.0,695,237,206,252,53.49887133182845,0.06997742663656886,410,54.263565891472865,285,52.43243243243243
50%,1.5,695,153,225,317,40.476190476190474,0.011904761904761973,410,40.0,285,41.07142857142857
50%,2.0,695,94,234,367,28.65853658536585,-0.1402439024390244,410,26.81564245810056,285,30.87248322147651
50%,2.5,695,60,238,397,20.13422818791946,-0.2953020134228188,410,18.51851851851852,285,22.058823529411764
50%,3.0,695,41,240,414,14.590747330960854,-0.41637010676156583,410,13.725490196078432,285,15.625
50%,3.5,695,26,241,428,9.737827715355806,-0.5617977528089888,410,9.58904109589041,285,9.917355371900827
50%,4.0,695,17,241,437,6.5891472868217065,-0.6705426356589147,410,5.0359712230215825,285,8.403361344537815
50%,4.5,695,16,241,438,6.22568093385214,-0.6575875486381323,410,4.3478260869565215,285,8.403361344537815
50%,5.0,695,12,241,442,4.743083003952568,-0.7154150197628459,410,3.64963503649635,285,6.0344827586206895
75%,1.0,695,163,146,386,52.75080906148867,0.05501618122977342,410,53.80116959064327,285,51.449275362318836
75%,1.5,695,76,153,466,33.18777292576419,-0.1703056768558952,410,33.057851239669425,285,33.33333333333333
75%,2.0,695,43,155,497,21.71717171717172,-0.3484848484848485,410,22.115384615384613,285,21.27659574468085
75%,2.5,695,23,157,515,12.777777777777777,-0.5527777777777778,410,12.76595744680851,285,12.790697674418606
75%,3.0,695,16,157,522,9.248554913294797,-0.6300578034682082,410,6.8181818181818175,285,11.76470588235294
75%,3.5,695,11,157,527,6.547619047619048,-0.7053571428571428,410,5.747126436781609,285,7.4074074074074066
75%,4.0,695,8,157,530,4.848484848484849,-0.7575757575757576,410,4.651162790697675,285,5.063291139240507
75%,4.5,695,5,158,532,3.067484662576687,-0.8312883435582822,410,3.5294117647058822,285,2.564102564102564
75%,5.0,695,5,158,532,3.067484662576687,-0.8159509202453987,410,3.5294117647058822,285,2.564102564102564
100%,1.0,695,103,106,486,49.282296650717704,-0.014354066985645897,410,49.532710280373834,285,49.01960784313725
100%,1.5,695,43,111,541,27.92207792207792,-0.30194805194805197,410,29.87012987012987,285,25.97402597402597
100%,2.0,695,17,113,565,13.076923076923078,-0.6076923076923078,410,11.29032258064516,285,14.705882352941178
100%,2.5,695,12,113,570,9.6,-0.664,410,8.333333333333332,285,10.76923076923077
100%,3.0,695,8,113,574,6.6115702479338845,-0.7355371900826446,410,6.779661016949152,285,6.451612903225806
100%,3.5,695,5,114,576,4.201680672268908,-0.8109243697478992,410,5.172413793103448,285,3.278688524590164
100%,4.0,695,3,114,578,2.564102564102564,-0.8717948717948718,410,3.508771929824561,285,1.6666666666666667
100%,4.5,695,1,114,580,0.8695652173913043,-0.9521739130434783,410,1.7857142857142856,285,0.0
100%,5.0,695,1,114,580,0.8695652173913043,-0.9478260869565218,410,1.7857142857142856,285,0.0
