date,entry_time,direction,entry_price,stop_loss,take_profit,box_high,box_low,box_range,risk,order_type,result,exit_time,exit_price,pnl,pnl_points
2018-01-02,2018-01-02 09:30:00+01:00,LONG,7542.107732,7537.860885,7559.095120000002,7542.107732,7533.614038,8.493694000000687,4.2468470000003435,LIMIT,LOSS,2018-01-02 09:35:00+01:00,7537.860885,-4.2468470000003435,-4.2468470000003435
2018-01-04,2018-01-04 09:50:00+01:00,SHORT,7733.655185,7743.1739805,7695.580002999999,7752.692776,7733.655185,19.037591000000248,9.518795500000124,LIMIT,LOSS,2018-01-04 10:35:00+01:00,7743.1739805,-9.518795500000124,-9.518795500000124
2018-01-05,2018-01-05 09:20:00+01:00,SHORT,7760.600698,7769.3872785,7725.454376,7778.173859,7760.600698,17.573161000000255,8.786580500000127,LIMIT,LOSS,2018-01-05 10:15:00+01:00,7769.3872785,-8.786580500000127,-8.786580500000127
2018-01-08,2018-01-08 09:35:00+01:00,LONG,7804.5336,7799.5545375,7824.44985,7804.5336,7794.575475,9.95812500000011,4.9790624999996,LIMIT,WIN,2018-01-08 10:25:00+01:00,7824.44985,19.91625000000022,19.91625000000022
2018-01-10,2018-01-10 09:40:00+01:00,LONG,7799.261652,7792.085944500001,7827.964482,7799.261652,7784.910237,14.351415000000088,7.175707499999589,LIMIT,LOSS,2018-01-10 09:50:00+01:00,7792.085944500001,-7.175707499999589,-7.175707499999589
2018-01-11,2018-01-11 09:35:00+01:00,SHORT,7830.307569,7836.3117325,7806.290914999999,7842.315896,7830.307569,12.008327000000463,6.004163500000686,LIMIT,LOSS,2018-01-11 09:40:00+01:00,7836.3117325,-6.004163500000686,-6.004163500000686
2018-01-15,2018-01-15 09:05:00+01:00,LONG,7942.775798,7939.5540519999995,7955.6627819999985,7942.775798,7936.332306,6.443491999999424,3.2217460000001665,LIMIT,LOSS,2018-01-15 09:10:00+01:00,7939.5540519999995,-3.2217460000001665,-3.2217460000001665
2018-01-16,2018-01-16 10:35:00+01:00,LONG,7985.24427,7980.85098,8002.81743,7985.24427,7976.45769,8.786579999999958,4.393289999999979,LIMIT,LOSS,2018-01-16 10:55:00+01:00,7980.85098,-4.393289999999979,-4.393289999999979
2018-01-17,2018-01-17 09:10:00+01:00,LONG,7960.348959,7952.0017075,7993.737964999999,7960.348959,7943.654456,16.694502999999713,8.347251500000311,LIMIT,LOSS,2018-01-17 09:20:00+01:00,7952.0017075,-8.347251500000311,-8.347251500000311
2018-01-18,2018-01-18 09:30:00+01:00,LONG,7979.093664,7971.7715135,8008.3822660000005,7979.093664,7964.449363,14.644301000000269,7.322150500000134,LIMIT,LOSS,2018-01-18 10:00:00+01:00,7971.7715135,-7.322150500000134,-7.322150500000134
2018-01-19,2018-01-19 09:30:00+01:00,LONG,8018.047504,8007.0642785,8061.980406000001,8018.047504,7996.081053,21.966451000000234,10.983225500000117,LIMIT,LOSS,2018-01-19 09:50:00+01:00,8007.0642785,-10.983225500000117,-10.983225500000117
2018-01-22,2018-01-22 09:25:00+01:00,SHORT,8014.239986,8019.658377,7992.566421999999,8025.076768,8014.239986,10.836782000000312,5.418391000000156,LIMIT,LOSS,2018-01-22 09:35:00+01:00,8019.658377,-5.418391000000156,-5.418391000000156
2018-01-23,2018-01-23 09:30:00+01:00,LONG,8128.465531,8121.4362665,8156.582589,8128.465531,8114.407002,14.058528999999908,7.029264499999954,LIMIT,WIN,2018-01-23 09:50:00+01:00,8156.582589,28.117057999999815,28.117057999999815
2018-01-24,2018-01-24 09:40:00+01:00,SHORT,8170.348231,8182.9423295,8119.971837000001,8195.536428,8170.348231,25.18819699999949,12.594098499999745,LIMIT,LOSS,2018-01-24 09:45:00+01:00,8182.9423295,-12.594098499999745,-12.594098499999745
2018-01-25,2018-01-25 09:40:00+01:00,SHORT,8162.147422,8174.0093055,8114.699887999999,8185.871189,8162.147422,23.723767000000407,11.861883499999749,LIMIT,WIN,2018-01-25 09:55:00+01:00,8114.699887999999,47.447534000000815,47.447534000000815
2018-01-26,2018-01-26 09:35:00+01:00,SHORT,8150.431982,8158.0470184999995,8119.971836000001,8165.662055,8150.431982,15.23007299999972,7.615036499999405,LIMIT,LOSS,2018-01-26 09:40:00+01:00,8158.0470184999995,-7.615036499999405,-7.615036499999405
2018-01-29,2018-01-29 09:15:00+01:00,SHORT,8209.302071,8214.866904999999,8187.042735000001,8220.431739,8209.302071,11.129667999999583,5.564833999998882,LIMIT,LOSS,2018-01-29 09:25:00+01:00,8214.866904999999,-5.564833999998882,-5.564833999998882
2018-01-30,2018-01-30 09:30:00+01:00,SHORT,8131.980163,8145.5993625,8077.5033650000005,8159.218562,8131.980163,27.238398999999845,13.619199499999922,LIMIT,LOSS,2018-01-30 10:55:00+01:00,8145.5993625,-13.619199499999922,-13.619199499999922
2018-01-31,2018-01-31 09:35:00+01:00,LONG,8177.963267,8171.812661,8202.565691,8177.963267,8165.662055,12.301212000000305,6.150606000000153,LIMIT,LOSS,2018-01-31 09:55:00+01:00,8171.812661,-6.150606000000153,-6.150606000000153
2018-02-01,2018-02-01 09:15:00+01:00,SHORT,8088.633033,8120.1182795,7962.6920470000005,8151.603526,8088.633033,62.970492999999806,31.485246500000358,LIMIT,LOSS,2018-02-01 09:30:00+01:00,8120.1182795,-31.485246500000358,-31.485246500000358
2018-02-02,2018-02-02 10:35:00+01:00,SHORT,8031.52026,8053.633154,7943.068684000001,8075.746048,8031.52026,44.22578799999974,22.11289399999987,LIMIT,WIN,2018-02-02 15:05:00+01:00,7943.068684000001,88.45157599999948,88.45157599999948
2018-02-05,2018-02-05 10:00:00+01:00,LONG,7891.813632,7871.018725,7974.99326,7891.813632,7850.223818,41.58981399999993,20.79490700000042,LIMIT,WIN,2018-02-05 10:20:00+01:00,7974.99326,83.17962799999987,83.17962799999987
2018-02-06,2018-02-06 10:35:00+01:00,LONG,7550.30854,7501.250133,7746.542168,7550.30854,7452.191726,98.11681399999998,49.05840700000044,LIMIT,WIN,2018-02-06 15:00:00+01:00,7746.542168,196.23362799999995,196.23362799999995
2018-02-07,2018-02-07 09:55:00+01:00,LONG,7787.839097,7773.3412395,7845.830527,7787.839097,7758.843382,28.99571500000002,14.497857500000464,LIMIT,WIN,2018-02-07 11:00:00+01:00,7845.830527,57.99143000000004,57.99143000000004
2018-02-08,2018-02-08 09:50:00+01:00,SHORT,7702.316381,7728.0903505,7599.220503,7753.86432,7702.316381,51.54793900000004,25.77396950000002,LIMIT,WIN,2018-02-08 10:55:00+01:00,7599.220503,103.09587800000008,103.09587800000008
2018-02-09,2018-02-09 09:15:00+01:00,LONG,7474.451063,7441.3549435,7606.835541000002,7474.451063,7408.258824,66.19223900000088,33.096119499999986,LIMIT,LOSS,2018-02-09 09:40:00+01:00,7441.3549435,-33.096119499999986,-33.096119499999986
2018-02-12,2018-02-12 09:20:00+01:00,SHORT,7572.860763,7592.337683,7494.953082999999,7611.814603,7572.860763,38.95384000000013,19.476920000000064,LIMIT,LOSS,2018-02-12 09:30:00+01:00,7592.337683,-19.476920000000064,-19.476920000000064
