date,entry_time,direction,entry_price,stop_loss,take_profit,bias,swing_low,swing_high,ote_zone,risk,result,exit_time,exit_price,pnl,pnl_points
2020-01-02,2020-01-02 10:05:00+01:00,LONG,10076.37773,10030.334583,10108.092112110002,BULLISH,10035.334583,10092.623976,"(np.float64(10070.739427874001), np.float64(10080.59320347))",46.04314700000032,WIN,2020-01-02 15:10:00+01:00,10108.092112110002,31.71438211000168,31.71438211000168
2020-01-03,2020-01-03 10:30:00+01:00,LONG,10066.686987,9992.141654,10101.391248650001,BULLISH,9997.141654,10079.227949,"(np.float64(10047.87098431), np.float64(10061.98982705))",74.54533300000003,WIN,2020-01-03 12:50:00+01:00,10101.391248650001,34.70426165000208,34.70426165000208
2020-01-09,2020-01-09 10:45:00+01:00,LONG,10275.608008,10230.704948,10299.77501163,BULLISH,10235.704948,10286.153817,"(np.float64(10266.882349042), np.float64(10275.55955451))",44.90305999999873,LOSS,2020-01-09 12:30:00+01:00,10230.704948,-44.90305999999873,-44.90305999999873
2020-01-10,2020-01-10 09:15:00+01:00,LONG,10305.250282,10260.917265,10336.50292901,BULLISH,10265.917265,10321.496528,"(np.float64(10300.265249533999), np.float64(10309.824882769999))",44.33301700000084,LOSS,2020-01-10 12:05:00+01:00,10260.917265,-44.33301700000084,-44.33301700000084
2020-01-13,2020-01-13 11:40:00+01:00,LONG,10313.515915,10260.0622,10344.69730616,BULLISH,10265.0622,10327.767008,"(np.float64(10303.813771344001), np.float64(10314.59899832))",53.45371499999965,WIN,2020-01-13 14:20:00+01:00,10344.69730616,31.181391160000203,31.181391160000203
2020-01-16,2020-01-16 09:40:00+01:00,LONG,10389.33173,10343.00356,10410.263735199998,BULLISH,10348.00356,10397.02732,"(np.float64(10378.30024368), np.float64(10386.732330399998))",46.32817000000068,WIN,2020-01-16 15:50:00+01:00,10410.263735199998,20.932005199998457,20.932005199998457
2020-01-17,2020-01-17 08:55:00+01:00,LONG,10459.732128,10403.998238,10490.08125592,BULLISH,10408.998238,10472.843134,"(np.float64(10448.454383728), np.float64(10459.43570584))",55.73388999999952,LOSS,2020-01-20 21:35:00+01:00,10403.998238,-55.73388999999952,-55.73388999999952
2020-01-21,2020-01-21 09:55:00+01:00,SHORT,10454.886757,10493.519336,10399.11082927,BEARISH,10418.118937,10488.519336,"(np.float64(10461.626383582), np.float64(10473.735252209999))",38.63257899999917,LOSS,2020-01-21 21:20:00+01:00,10493.519336,-38.63257899999917,-38.63257899999917
2020-01-23,2020-01-23 09:10:00+01:00,SHORT,10471.703046,10510.905669,10414.3252959,BEARISH,10433.795139,10505.905669,"(np.float64(10478.35944654), np.float64(10490.7624577))",39.20262299999922,LOSS,2020-01-23 14:15:00+01:00,10510.905669,-39.20262299999922,-39.20262299999922
2020-01-27,2020-01-27 08:10:00+01:00,SHORT,10231.714642,10259.231369,10154.68748503,BEARISH,10175.850358,10254.231369,"(np.float64(10224.289822797999), np.float64(10237.77135669))",27.516726999998355,LOSS,2020-01-27 12:15:00+01:00,10259.231369,-27.516726999998355,-27.516726999998355
2020-01-28,2020-01-28 10:35:00+01:00,SHORT,10331.187271,10376.375353,10232.37589262,BEARISH,10261.926959,10371.375353,"(np.float64(10329.566066492), np.float64(10348.39119026))",45.18808199999876,LOSS,2020-01-28 12:15:00+01:00,10376.375353,-45.18808199999876,-45.18808199999876
2020-01-29,2020-01-29 08:45:00+01:00,LONG,10419.259025,10338.158189,10468.402492739999,BULLISH,10343.158189,10441.775751,"(np.float64(10404.103842315999), np.float64(10421.066062979999))",81.10083599999962,LOSS,2020-01-29 21:45:00+01:00,10338.158189,-81.10083599999962,-81.10083599999962
2020-02-06,2020-02-06 08:25:00+01:00,LONG,10738.483505,10669.068565,10794.60715933,BULLISH,10674.068565,10768.980844,"(np.float64(10732.724353422), np.float64(10749.04926541))",69.41494000000057,WIN,2020-02-06 18:00:00+01:00,10794.60715933,56.123654330000136,56.123654330000136
2020-02-07,2020-02-07 10:55:00+01:00,SHORT,10748.744292,10794.217396,10675.556378719999,BEARISH,10699.720532,10789.217396,"(np.float64(10755.029593952), np.float64(10770.42305456))",45.4731040000006,WIN,2020-02-09 18:30:00+01:00,10675.556378719999,73.18791328000043,73.18791328000043
2020-02-10,2020-02-10 11:05:00+01:00,LONG,10788.36233,10687.594986,10846.79751097,BULLISH,10692.594986,10814.014297,"(np.float64(10767.632120197999), np.float64(10788.51624169))",100.76734399999987,WIN,2020-02-10 15:50:00+01:00,10846.79751097,58.43518097000015,58.43518097000015
2020-02-11,2020-02-11 10:35:00+01:00,LONG,10943.414221,10870.008975,10977.44868122,BULLISH,10875.008975,10955.670161,"(np.float64(10924.857587948), np.float64(10938.73131194))",73.40524600000026,LOSS,2020-02-11 14:05:00+01:00,10870.008975,-73.40524600000026,-73.40524600000026
2020-02-13,2020-02-13 11:15:00+01:00,LONG,10957.950335,10870.579019,11007.70090106,BULLISH,10875.579019,10979.611997,"(np.float64(10939.871399404), np.float64(10957.76507162))",87.37131599999884,WIN,2020-02-13 22:00:00+01:00,11007.70090106,49.75056605999998,49.75056605999998
2020-02-24,2020-02-24 09:00:00+01:00,SHORT,10440.06562,10511.760735,10254.10025861,BEARISH,10307.815478,10506.760735,"(np.float64(10430.763646826), np.float64(10464.98223103))",71.69511500000044,LOSS,2020-02-25 01:55:00+01:00,10511.760735,-71.69511500000044,-71.69511500000044
2020-02-25,2020-02-25 09:45:00+01:00,SHORT,10396.742298,10483.543571,10117.65174516,BEARISH,10194.376779,10478.543571,"(np.float64(10369.991856456), np.float64(10418.868544680001))",86.80127300000095,WIN,2020-02-25 14:05:00+01:00,10117.65174516,279.0905528399999,279.0905528399999
2020-02-26,2020-02-26 09:50:00+01:00,SHORT,10227.154293,10308.54015,10030.97089834,BEARISH,10088.918692,10303.54015,"(np.float64(10221.554753044), np.float64(10258.46964382))",81.38585700000112,WIN,2020-02-26 18:40:00+01:00,10030.97089834,196.18339465999998,196.18339465999998
2020-02-27,2020-02-27 09:25:00+01:00,SHORT,9870.876971,9963.948725,9647.285873600002,BEARISH,9713.544905,9958.948725,"(np.float64(9865.20446576), np.float64(9907.4139228))",93.07175400000051,LOSS,2020-02-27 12:10:00+01:00,9963.948725,-93.07175400000051,-93.07175400000051
2020-03-02,2020-03-02 11:20:00+01:00,LONG,9861.756271,9576.294763,10054.03771642,BULLISH,9581.294763,9953.533309,"(np.float64(9811.338184428), np.float64(9875.363214340001))",285.4615080000003,WIN,2020-03-02 15:50:00+01:00,10054.03771642,192.28144541999973,192.28144541999973
2020-03-04,2020-03-04 08:10:00+01:00,SHORT,9953.818331,10036.344277,9838.04815356,BEARISH,9879.142605,10031.344277,"(np.float64(9973.203238296), np.float64(9999.38192588))",82.52594599999975,LOSS,2020-03-04 12:55:00+01:00,10036.344277,-82.52594599999975,-82.52594599999975
2020-03-06,2020-03-06 11:20:00+01:00,SHORT,9631.45861,9746.762069,9402.5889094,BEARISH,9474.696589,9741.762069,"(np.float64(9639.74305564), np.float64(9685.6783182))",115.30345900000066,LOSS,2020-03-06 15:55:00+01:00,9746.762069,-115.30345900000066,-115.30345900000066
2020-03-09,2020-03-09 10:00:00+01:00,SHORT,9153.476955,9377.658764,8792.0464378,BEARISH,8915.483704,9372.658764,"(np.float64(9198.01789108), np.float64(9276.6520014))",224.1818089999997,LOSS,2020-03-09 12:05:00+01:00,9377.658764,-224.1818089999997,-224.1818089999997
2020-03-10,2020-03-10 08:30:00+01:00,LONG,9358.407671,9037.318431,9566.824203170001,BULLISH,9042.318431,9455.315102,"(np.float64(9297.550373678001), np.float64(9368.585801090001))",321.08924000000115,LOSS,2020-03-11 15:05:00+01:00,9037.318431,-321.08924000000115,-321.08924000000115
2020-03-11,2020-03-11 08:20:00+01:00,SHORT,9250.954431,9379.083873,9144.2279954,BEARISH,9193.094993,9374.083873,"(np.float64(9304.94612084), np.float64(9336.0762082))",128.12944199999947,WIN,2020-03-11 13:00:00+01:00,9144.2279954,106.7264355999996,106.7264355999996
2020-03-12,2020-03-12 11:15:00+01:00,SHORT,8513.887907,8687.050803,8265.052424399999,BEARISH,8353.705623,8682.050803,"(np.float64(8556.62294424), np.float64(8613.0983152))",173.16289599999982,LOSS,2020-03-12 12:55:00+01:00,8687.050803,-173.16289599999982,-173.16289599999982
2020-03-13,2020-03-13 09:45:00+01:00,SHORT,8609.085207,8824.71636,8177.205837809999,BEARISH,8313.802563,8819.71636,"(np.float64(8626.457289546), np.float64(8713.47446263))",215.63115300000027,LOSS,2020-03-13 15:50:00+01:00,8824.71636,-215.63115300000027,-215.63115300000027
2020-03-16,2020-03-16 10:45:00+01:00,SHORT,8436.668885,8635.933349,7838.32720371,BEARISH,8006.834022,8630.933349,"(np.float64(8392.527406086001), np.float64(8499.87249033))",199.26446400000168,WIN,2020-03-18 13:30:00+01:00,7838.32720371,598.3416812899995,598.3416812899995
2020-03-18,2020-03-18 10:55:00+01:00,SHORT,8190.771723,8362.650887,7831.61352912,BEARISH,7943.448243,8357.650887,"(np.float64(8199.425476991999), np.float64(8270.66833176))",171.87916399999995,WIN,2020-03-18 13:30:00+01:00,7831.61352912,359.15819388,359.15819388
2020-03-19,2020-03-19 10:20:00+01:00,SHORT,8337.967704,8505.853179,7863.23213776,BEARISH,7998.789367,8500.853179,"(np.float64(8309.064802816), np.float64(8395.41977848))",167.88547499999913,LOSS,2020-03-19 13:55:00+01:00,8505.853179,-167.88547499999913,-167.88547499999913
2020-03-20,2020-03-20 09:05:00+01:00,LONG,8533.943749,8311.287676,8729.654498490001,BULLISH,8316.287676,8641.773363,"(np.float64(8517.437830566), np.float64(8573.42136873))",222.6560730000001,LOSS,2020-03-20 12:00:00+01:00,8311.287676,-222.6560730000001,-222.6560730000001
2020-03-23,2020-03-23 08:55:00+01:00,SHORT,8172.514857,8353.237191,7542.15377269,BEARISH,7713.525838,8348.237191,"(np.float64(8105.777454154), np.float64(8214.947806870001))",180.72233400000005,LOSS,2020-03-24 04:05:00+01:00,8353.237191,-180.72233400000005,-180.72233400000005
2020-03-24,2020-03-24 11:20:00+01:00,LONG,8433.530986,8248.244436,8589.80690486,BULLISH,8253.244436,8518.254254,"(np.float64(8417.020503524), np.float64(8462.60219222))",185.2865499999989,WIN,2020-03-24 12:35:00+01:00,8589.80690486,156.27591885999936,156.27591885999936
2020-03-26,2020-03-26 10:55:00+01:00,LONG,8755.308247,8336.390866,8976.83819937,BULLISH,8341.390866,8841.743097,"(np.float64(8650.608544758), np.float64(8736.66912849))",418.9173810000011,WIN,2020-03-26 15:50:00+01:00,8976.83819937,221.5299523699996,221.5299523699996
2020-03-27,2020-03-27 11:15:00+01:00,LONG,8767.004052,8641.908106,8819.3556148,BULLISH,8646.908106,8782.693546,"(np.float64(8730.82350792), np.float64(8754.178603600001))",125.09594599999946,WIN,2020-03-27 14:55:00+01:00,8819.3556148,52.351562800000465,52.351562800000465
2020-03-30,2020-03-30 11:05:00+02:00,LONG,8819.777805,8639.055471,8964.315130199999,BULLISH,8644.055471,8896.228431,"(np.float64(8799.89836028), np.float64(8843.272109399999))",180.72233400000005,WIN,2020-03-30 15:50:00+02:00,8964.315130199999,144.53732519999903,144.53732519999903
2020-04-01,2020-04-01 11:00:00+02:00,SHORT,8641.488099,8742.907172,8544.44715125,BEARISH,8585.576447,8737.907172,"(np.float64(8679.71683505), np.float64(8705.91771975))",101.41907299999912,LOSS,2020-04-01 12:00:00+02:00,8742.907172,-101.41907299999912,-101.41907299999912
2020-04-02,2020-04-02 11:50:00+02:00,SHORT,8598.128043,8697.265007,8341.93571909,BEARISH,8416.415174,8692.265007,"(np.float64(8586.890370794), np.float64(8634.33654207))",99.13696399999935,LOSS,2020-04-02 16:55:00+02:00,8697.265007,-99.13696399999935,-99.13696399999935
