year,timeframe,stop_loss_type,rr_ratio,total_fvgs,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2018,5m,middle,1.5,19,19,8,11,0,42.10526315789473,-81.5582007499961,36.759826781250354,34.14880136363627,0.7828801717691161,294.07861425000283,375.6368149999989
2018,5m,middle,2.0,19,19,8,11,0,42.10526315789473,16.46800400000484,49.01310237500047,34.14880136363627,1.043840229025488,392.1048190000038,375.6368149999989
2018,5m,middle,2.5,19,19,8,11,0,42.10526315789473,114.49420875000578,61.26637796875059,34.14880136363627,1.30480028628186,490.1310237500047,375.6368149999989
2018,5m,middle,3.0,19,17,6,11,2,35.294117647058826,22.27376350000486,66.31842975000063,34.14880136363627,1.059296007767516,397.9105785000038,375.6368149999989
2018,5m,edge,1.5,19,19,8,11,0,42.10526315789473,-78.99714999999787,39.69843712500011,36.05314972727262,0.8008063332819888,317.5874970000009,396.5846469999988
2018,5m,edge,2.0,19,19,8,11,0,42.10526315789473,26.865349000002425,52.93124950000015,36.05314972727262,1.0677417777093183,423.4499960000012,396.5846469999988
2019,5m,middle,1.5,35,29,13,16,0,44.82758620689656,211.3521244999952,36.02038130769209,16.057052031250123,1.8226608318601352,468.26495699999714,256.912832500002
2019,5m,edge,1.5,35,31,13,18,0,41.935483870967744,167.53197199999977,35.678011846153964,16.46012122222232,1.5654473410081704,463.8141540000015,296.28218200000174
2020,5m,middle,1.5,24,16,8,8,0,50.0,-239.97852200000307,40.13027437499977,70.12758962500016,0.5722465949506058,321.0421949999982,561.0207170000012
2020,5m,middle,2.0,24,16,7,9,0,43.75,-191.58611149999888,55.56787957142868,64.50680761111107,0.6699984620141793,388.9751570000008,580.5612684999996
2020,5m,middle,2.5,24,15,6,9,1,40.0,-179.324024749998,66.87287395833361,64.50680761111107,0.6911195519237465,401.23724375000165,580.5612684999996
2020,5m,middle,3.0,24,15,6,9,1,40.0,-99.07657599999766,80.24744875000033,64.50680761111107,0.8293434623084959,481.484692500002,580.5612684999996
2020,5m,middle,3.5,24,15,6,9,1,40.0,-18.829127249997327,93.62202354166703,64.50680761111107,0.9675673726932452,561.7321412500023,580.5612684999996
2020,5m,middle,4.0,24,14,5,9,2,35.714285714285715,-113.16295650000212,93.47966239999953,64.50680761111107,0.805080079157912,467.39831199999753,580.5612684999996
2020,5m,middle,4.5,24,14,5,9,2,35.714285714285715,-54.73816750000242,105.16462019999943,64.50680761111107,0.9057150890526512,525.8231009999972,580.5612684999996
2020,5m,edge,1.5,24,18,9,9,0,50.0,-250.34642500000336,40.335032999999385,68.1513024444442,0.5918453727700923,363.01529699999446,613.3617219999978
2020,5m,edge,2.0,24,18,8,10,0,44.44444444444444,-188.3908750000028,55.58175374999928,63.3044904999997,0.7024051950943295,444.65402999999424,633.044904999997
2020,5m,edge,2.5,24,17,7,10,1,41.17647058823529,-165.0655975000018,66.85418678571361,63.3044904999997,0.73925136084935,467.9793074999952,633.044904999997
2020,5m,edge,3.0,24,17,7,10,1,41.17647058823529,-71.46973600000274,80.22502414285633,63.3044904999997,0.8871016330192198,561.5751689999943,633.044904999997
2020,5m,edge,3.5,24,17,7,10,1,41.17647058823529,22.126125499996306,93.59586149999905,63.3044904999997,1.03495190518909,655.1710304999933,633.044904999997
2021,5m,middle,1.5,25,22,14,8,0,63.63636363636363,709.5056055000114,71.18510967857232,35.88574125000014,3.4714050092946342,996.5915355000124,287.0859300000011
2021,5m,middle,2.0,25,20,10,10,2,50.0,412.0454225000212,81.83803790000202,40.63349564999989,2.014053592753156,818.3803790000202,406.33495649999895
2021,5m,middle,2.5,25,19,9,10,3,47.368421052631575,448.1422772500182,94.94191486111302,40.63349564999989,2.102888811511887,854.4772337500171,406.33495649999895
2021,5m,middle,3.0,25,19,9,10,3,47.368421052631575,619.0377240000216,113.93029783333562,40.63349564999989,2.5234665738142645,1025.3726805000206,406.33495649999895
2021,5m,middle,3.5,25,16,6,10,6,37.5,184.19884750001165,98.42230066666843,40.63349564999989,1.453317748211043,590.5338040000106,406.33495649999895
2021,5m,middle,4.0,25,16,6,10,6,37.5,268.5608195000132,112.48262933333535,40.63349564999989,1.6609345693840492,674.8957760000121,406.33495649999895
2021,5m,middle,4.5,25,16,6,10,6,37.5,352.9227915000147,126.54295800000229,40.63349564999989,1.8685513905570557,759.2577480000136,406.33495649999895
2021,5m,edge,1.5,25,22,14,8,0,63.63636363636363,753.4458080000186,75.50895535714413,37.9599458749999,3.4810553289547483,1057.1253750000178,303.6795669999992
2021,5m,edge,2.0,25,20,10,10,2,50.0,454.13179900001705,88.24953440000172,42.83635450000001,2.060155104935498,882.4953440000172,428.36354500000016
