strategy,tf,sl,entry,rr,trades,wins,wr,ev,pf
Wick SL,5m,1pt mèche,8:35/8:45,1.5,1993,824,41.344706472654295,0.03361766181635739,1.0573139435414884
Wick SL,5m,1pt mèche,8:35/8:45,2.0,1971,690,35.0076103500761,0.05022831050228305,1.0772833723653397
Wick SL,5m,1pt mèche,8:35/8:45,2.5,1935,573,29.612403100775197,0.036434108527131914,1.051762114537445
Wick SL,5m,1pt mèche,8:35/8:45,3.0,1903,487,25.5911718339464,0.02364687335785609,1.0317796610169492
Wick SL,5m,1pt mèche,8:35/8:45,3.5,1869,425,22.7394328517924,0.02327447833065799,1.0301246537396123
Wick SL,5m,1pt mèche,8:35/8:45,4.0,1834,362,19.738276990185387,-0.013086150490730586,0.9836956521739131
Wick SL,5m,1pt mèche,8:35/8:45,4.5,1789,303,16.93683622135271,-0.06847400782560098,0.9175639300134589
Wick SL,5m,1pt mèche,8:35/8:45,5.0,1751,249,14.220445459737292,-0.14677327241576255,0.8288948069241012
Wick SL,5m,1pt mèche,8:35/8:45,10.0,1588,48,3.022670025188917,-0.6675062972292192,0.3116883116883117
Wick SL,15m,1pt mèche,8:35/8:45,1.5,1878,804,42.81150159744409,0.07028753993610226,1.1229050279329609
Wick SL,15m,1pt mèche,8:35/8:45,2.0,1802,633,35.127635960044394,0.05382907880133181,1.0829769033361847
Wick SL,15m,1pt mèche,8:35/8:45,2.5,1708,486,28.45433255269321,-0.004098360655737654,0.9942716857610474
Wick SL,15m,1pt mèche,8:35/8:45,3.0,1629,363,22.283609576427256,-0.1086556169429097,0.8601895734597157
Wick SL,15m,1pt mèche,8:35/8:45,3.5,1567,288,18.37906828334397,-0.1729419272495214,0.7881157154026583
Wick SL,15m,1pt mèche,8:35/8:45,4.0,1512,217,14.351851851851851,-0.28240740740740744,0.6702702702702703
Wick SL,15m,1pt mèche,8:35/8:45,4.5,1478,177,11.975642760487144,-0.34133964817320706,0.6122213681783244
Wick SL,15m,1pt mèche,8:35/8:45,5.0,1455,148,10.171821305841924,-0.3896907216494846,0.5661820964039785
Wick SL,15m,1pt mèche,8:35/8:45,10.0,1352,29,2.1449704142011834,-0.7640532544378698,0.21919879062736206
