year,timeframe,rr_ratio,min_ticks_required,total_body_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_win,avg_loss,profit_factor,gross_profit,gross_loss
2018,5m,1.5,50,2,2,2,0,0,100.0,120.3307655399999,60.16538276999995,0.0,0.0,120.3307655399999,0.0
2018,5m,2.0,50,2,2,1,1,0,50.0,64.68777443999988,96.60552319999988,31.917748759999995,3.0267022880093593,96.60552319999988,31.917748759999995
2018,5m,2.5,50,2,2,1,1,0,50.0,88.83915523999985,120.75690399999985,31.917748759999995,3.7833778600116994,120.75690399999985,31.917748759999995
2018,5m,3.0,50,2,2,1,1,0,50.0,112.99053603999982,144.90828479999982,31.917748759999995,4.540053432014039,144.90828479999982,31.917748759999995
2018,5m,3.5,50,2,2,0,2,0,0.0,-80.22051035999993,0.0,40.11025517999997,0.0,0.0,80.22051035999993
2018,5m,4.0,50,2,2,0,2,0,0.0,-80.22051035999993,0.0,40.11025517999997,0.0,0.0,80.22051035999993
2018,5m,4.5,50,2,2,0,2,0,0.0,-80.22051035999993,0.0,40.11025517999997,0.0,0.0,80.22051035999993
2018,5m,5.0,50,2,2,0,2,0,0.0,-80.22051035999993,0.0,40.11025517999997,0.0,0.0,80.22051035999993
2018,5m,10.0,50,2,2,0,2,0,0.0,-80.22051035999993,0.0,40.11025517999997,0.0,0.0,80.22051035999993
2018,15m,1.5,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,2.0,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,2.5,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,3.0,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,3.5,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,4.0,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,4.5,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,5.0,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2018,15m,10.0,75,6,6,0,6,0,0.0,-331.64876551999896,0.0,55.27479425333316,0.0,0.0,331.64876551999896
2020,5m,1.5,50,29,29,14,15,0,48.275862068965516,173.39517009000792,64.36240267500067,48.511897824000094,1.2382854211958216,901.0736374500093,727.6784673600014
2020,5m,2.0,50,29,29,10,19,0,34.48275862068966,-41.94866171999456,85.76303759600087,47.346265141052804,0.9533685646697823,857.6303759600087,899.5790376800032
2020,5m,2.5,50,29,29,6,23,0,20.689655172413794,-565.9813237799945,90.76344070000157,48.28530295565234,0.4903649322608667,544.5806442000094,1110.5619679800038
2020,5m,3.0,50,29,29,5,24,0,17.24137931034483,-614.2350638999942,107.12387426400201,47.91060146750018,0.46581493701637877,535.61937132001,1149.8544352200042
2020,5m,3.5,50,29,29,4,25,0,13.793103448275861,-681.4421702699883,125.79623299250375,47.385084089600134,0.42476229947681093,503.184931970015,1184.6271022400033
2020,5m,4.0,50,29,29,2,27,0,6.896551724137931,-984.3158384599919,137.63135488000626,46.651057341481646,0.21853556504991678,275.2627097600125,1259.5785482200044
2020,5m,4.5,50,29,29,1,28,0,3.4482758620689653,-1135.3888243899955,157.91351013000985,46.18936909000019,0.12210100137847325,157.91351013000985,1293.3023345200054
2020,5m,5.0,50,29,29,1,28,0,3.4482758620689653,-1117.8428788199944,175.45945570001095,46.18936909000019,0.13566777930941473,175.45945570001095,1293.3023345200054
2020,5m,10.0,50,29,29,1,28,0,3.4482758620689653,-942.3834231199835,350.9189114000219,46.18936909000019,0.27133555861882946,350.9189114000219,1293.3023345200054
2020,15m,1.5,75,33,33,10,23,0,30.303030303030305,-493.72850168000014,101.14317457200009,65.44174988695657,0.6719761217897816,1011.4317457200009,1505.160247400001
2020,15m,2.0,75,33,33,8,25,0,24.242424242424242,-689.9311228399974,124.12641292000035,67.31769704800001,0.590044726367837,993.0113033600028,1682.9424262000002
2020,15m,2.5,75,33,33,8,25,0,24.242424242424242,-441.67829699999675,155.15801615000044,67.31769704800001,0.7375559079597962,1241.2641292000035,1682.9424262000002
2020,15m,3.0,75,33,33,8,25,0,24.242424242424242,-193.42547115999605,186.18961938000052,67.31769704800001,0.8850670895517554,1489.5169550400042,1682.9424262000002
2020,15m,3.5,75,33,33,7,26,0,21.21212121212121,-171.8209886599907,223.06967658000121,66.66572018153843,0.900871099181857,1561.4877360600085,1733.3087247199992
2020,15m,4.0,75,33,33,5,28,0,15.151515151515152,-703.1883891799907,236.20155019200175,67.29271929071426,0.6267966088032945,1181.0077509600087,1884.1961401399994
2020,15m,4.5,75,33,33,5,28,0,15.151515151515152,-555.5624203099896,265.72674396600195,67.29271929071426,0.7051461849037063,1328.6337198300098,1884.1961401399994
2020,15m,5.0,75,33,33,5,28,0,15.151515151515152,-407.93645143998856,295.2519377400022,67.29271929071426,0.7834957610041181,1476.2596887000109,1884.1961401399994
2020,15m,10.0,75,33,33,2,31,0,6.0606060606060606,-697.5313609399846,673.5985077000078,65.95897988193549,0.6588635590862469,1347.1970154000155,2044.72837634
2021,5m,1.5,50,27,27,8,19,0,29.629629629629626,-376.85565914999825,59.06228938124991,44.70284074736829,0.5563031779477375,472.4983150499993,849.3539741999975
2021,5m,2.0,50,27,27,7,20,0,25.925925925925924,-316.19850968000173,80.77660392571384,44.08173685799993,0.641349760447769,565.4362274799969,881.6347371599986
2021,5m,2.5,50,27,27,7,20,0,25.925925925925924,-174.8394528100025,100.97075490714231,44.08173685799993,0.8016872005597112,706.7952843499961,881.6347371599986
2021,5m,3.0,50,27,27,7,20,0,25.925925925925924,-33.48039594000329,121.16490588857076,44.08173685799993,0.9620246406716535,848.1543412199953,881.6347371599986
2021,5m,3.5,50,27,27,7,20,0,25.925925925925924,107.87866092999593,141.35905686999922,44.08173685799993,1.1223620807835957,989.5133980899946,881.6347371599986
2021,5m,4.0,50,27,27,7,20,0,25.925925925925924,249.23771779999515,161.5532078514277,44.08173685799993,1.282699520895538,1130.8724549599938,881.6347371599986
2021,5m,4.5,50,27,27,7,20,0,25.925925925925924,390.5967746699944,181.74735883285615,44.08173685799993,1.4430369610074802,1272.231511829993,881.6347371599986
2021,5m,5.0,50,27,27,7,20,0,25.925925925925924,531.9558315399936,201.94150981428461,44.08173685799993,1.6033744011194224,1413.5905686999922,881.6347371599986
2021,5m,10.0,50,27,27,3,24,0,11.11111111111111,168.35547813997982,403.851008799993,43.4665645108333,1.1613840814913612,1211.553026399979,1043.1975482599992
2021,15m,1.5,75,38,38,18,20,0,47.368421052631575,300.31646352999724,90.18585951166688,66.15145038400033,1.22699159412734,1623.3454712100038,1323.0290076800065
2021,15m,2.0,75,38,38,14,24,0,36.84210526315789,113.58753997998974,119.9450886571428,65.2351542175004,1.0725500571371878,1679.2312411999992,1565.6437012200095
2021,15m,2.5,75,38,38,14,24,0,36.84210526315789,533.3953502799895,149.9313608214285,65.2351542175004,1.3406875714214845,2099.039051499999,1565.6437012200095
2021,15m,3.0,75,38,38,13,25,0,34.21052631578947,759.7589416199808,182.59720750615327,64.56019023840047,1.4707290600070602,2373.7636975799924,1614.0047559600116
2021,15m,3.5,75,38,38,12,26,0,31.57894736842105,810.2381173399726,208.4118710566655,65.02708982076973,1.4792311112025556,2500.9424526799858,1690.7043353400131
2021,15m,4.0,75,38,38,11,27,0,28.947368421052634,852.758462179976,236.94674792727164,64.9502135192597,1.4862747177581026,2606.414227199988,1753.655765020012
2021,15m,4.5,75,38,38,10,28,0,26.31578947368421,830.7060054999947,264.76079950800033,64.88935677071458,1.4572101358598981,2647.607995080003,1816.9019895800084
2021,15m,5.0,75,38,38,10,28,0,26.31578947368421,1124.884671619995,294.17866612000034,64.88935677071458,1.6191223731776645,2941.7866612000034,1816.9019895800084
2021,15m,10.0,75,38,38,7,31,0,18.421052631578945,1986.2221765400227,570.3222725142898,64.71076551806472,1.9901240172519359,3992.255907600029,2006.0337310600062
2022,5m,1.5,50,80,80,37,43,0,46.25,612.6655863000124,65.80130532972996,42.3716909511627,1.336263117446036,2434.6482972000085,1821.9827108999962
2022,5m,2.0,50,80,80,30,50,0,37.5,396.3504539600144,85.36515621466702,43.29208464959993,1.183105275325972,2560.954686440011,2164.6042324799964
2022,5m,2.5,50,80,80,26,54,0,32.5,533.0324317899931,109.28884635961525,42.74958469555562,1.2309021486260232,2841.5100053499964,2308.4775735600033
2022,5m,3.0,50,80,80,25,55,0,31.25,911.6108956599928,130.70077414079984,42.83469923381824,1.3869466543229176,3267.519353519996,2355.908457860003
2022,5m,3.5,50,80,80,20,60,0,25.0,405.68167796001035,149.75190430900048,43.15594013699999,1.1566727842764943,2995.0380861800095,2589.356408219999
2022,5m,4.0,50,80,80,18,62,0,22.5,391.8573183000026,170.5306175111113,43.18860962741937,1.1463413474511763,3069.5511152000036,2677.693796900001
2022,5m,4.5,50,80,80,18,62,0,22.5,775.551207700003,191.84694470000022,43.18860962741937,1.2896340158825734,3453.245004600004,2677.693796900001
2022,5m,5.0,50,80,80,17,63,0,21.25,850.5538854200022,210.57036574117666,43.319719558412714,1.3116561109293965,3579.6962176000034,2729.142332180001
2022,5m,10.0,50,80,80,8,72,0,10.0,504.52719399999296,448.8191783749994,42.861475458333366,1.1634876556151403,3590.5534269999953,3086.0262330000023
2022,15m,1.5,75,80,80,30,50,0,37.5,-782.7532305099767,96.1999288050004,73.37502189319977,0.7866431354121285,2885.997864150012,3668.7510946599887
2022,15m,2.0,75,80,80,28,52,0,35.0,-138.43934031997378,129.8645316771434,72.58935052461517,0.9633238899795562,3636.2068869600153,3774.646227279989
2022,15m,2.5,75,80,80,23,57,0,28.749999999999996,-523.7158242399692,157.42341138260954,72.70972431649103,0.8736345515972918,3620.7384618000196,4144.454286039989
2022,15m,3.0,75,80,80,20,60,0,25.0,-503.3577823599662,190.85219581500115,72.00669497766648,0.8834928283367524,3817.043916300023,4320.401698659989
2022,15m,3.5,75,80,80,19,61,0,23.75,-173.67283713996585,221.83355459263285,71.94279302295065,0.9604255607658873,4214.837537260024,4388.51037439999
2022,15m,4.0,75,80,80,17,63,0,21.25,-136.00412785997105,256.7880255482365,71.45080257428558,0.9697862640790835,4365.3964343200205,4501.4005621799915
2022,15m,4.5,75,80,80,16,64,0,20.0,-15.471380769978168,285.20173073812595,71.5421730090624,0.9966210094778601,4563.227691810015,4578.699072579993
2022,15m,5.0,75,80,80,15,65,0,18.75,133.1885728400157,318.1076802000007,71.36040969476915,1.0287141704417606,4771.61520300001,4638.426630159995
2022,15m,10.0,75,80,80,7,73,0,8.75,-201.2085529399992,700.2001451714283,69.89876122109585,0.9605675193812817,4901.401016199998,5102.609569139997
