timeframe,rr_ratio,total_trades,wins,losses,total_pnl,gross_profit,gross_loss,total_body_candles,win_rate,profit_factor
15m,1.5,276,109,167,-747.57782867998,10702.337751780004,11449.915580459983,276,39.49,0.93
15m,2.0,276,95,181,-0.9124111599958269,12389.263335879994,12390.17574703999,276,34.42,1.0
15m,2.5,276,81,195,-147.60329258000002,13169.43151599999,13317.03480857999,276,29.35,0.99
15m,3.0,276,72,204,278.1548974999823,14147.221734359977,13869.066836859995,276,26.09,1.02
15m,3.5,276,67,209,951.1467604699847,15194.631025349978,14243.484264879993,276,24.28,1.07
15m,4.0,276,57,219,1.9058198199854814,14869.370587839978,14867.464768019992,276,20.65,1.0
15m,4.5,276,53,223,88.32313306999549,15278.015902949985,15189.69276987999,276,19.2,1.01
15m,5.0,276,49,226,-44.2994371799723,15362.769688400012,15407.069125579985,276,17.75,1.0
15m,10.0,276,30,245,2642.6042149800105,19202.024798399998,16559.42058341999,276,10.87,1.16
1m,1.5,72,34,38,275.2446024599867,1192.473106259995,917.2285038000082,72,47.22,1.3
1m,2.0,72,29,43,329.49480992000827,1361.1369230400087,1031.6421131200004,72,40.28,1.32
1m,2.5,72,26,46,475.0985768700175,1562.363679650016,1087.2651027799984,72,36.11,1.44
1m,3.0,72,23,49,505.5788517600304,1663.3420698000264,1157.763218039996,72,31.94,1.44
1m,3.5,72,22,50,675.7325219300237,1857.2890751100222,1181.5565531799984,72,30.56,1.57
1m,4.0,72,19,53,551.7467045600351,1811.165823360032,1259.4191187999968,72,26.39,1.44
1m,4.5,72,19,53,778.1424324800391,2037.561551280036,1259.4191187999968,72,26.39,1.62
1m,5.0,72,19,53,1004.5381604000431,2263.95727920004,1259.4191187999968,72,26.39,1.8
1m,10.0,72,8,63,307.90099187999294,1812.5423331999991,1504.6413413200062,72,11.11,1.2
5m,1.5,244,114,130,1521.556530720051,7372.188468960023,5850.631938239972,244,46.72,1.26
5m,2.0,244,94,150,1281.6626904200593,8031.391294200032,6749.728603779972,244,38.52,1.19
5m,2.5,244,83,161,1539.7788713600457,8789.430801600025,7249.651930239978,244,34.02,1.21
5m,3.0,244,75,169,1797.196823600024,9421.965805860009,7624.768982259985,244,30.74,1.24
5m,3.5,244,67,177,1799.2714647800503,9772.54111218003,7973.2696473999795,244,27.46,1.23
5m,4.0,244,60,184,1746.6308191200633,10009.644056000041,8263.013236879979,244,24.59,1.21
5m,4.5,244,53,191,1564.133435170038,10087.819924950021,8523.686489779982,244,21.72,1.18
5m,5.0,244,51,193,2073.095123240054,10698.766145100035,8625.67102185998,244,20.9,1.24
5m,10.0,244,27,217,2193.834300700014,11781.144137800002,9587.309837099987,244,11.07,1.23
