timeframe,body_size_range,min_body_size,max_body_size,optimal_rr,win_rate_at_optimal,expected_value,total_trades
1m,34-38,34.25,38.37634700000126,2.0,55.55555555555556,0.6666666666666667,9
1m,25-29,25.0,29.382544000000053,10.0,20.0,1.2,20
1m,30-34,29.640285000001317,33.57930399999896,1.5,23.076923076923077,-0.423076923076923,13
1m,48-50,48.22290999999677,50.25961399999869,10.0,37.5,3.125,8
1m,45-47,45.19319800000085,47.21300600000177,1.5,0.0,-1.0,4
1m,39-43,39.01901299999736,43.25,3.5,55.55555555555556,1.5000000000000002,9
1m,64-65,64.0,65.13879899999665,1.5,0.0,-1.0,3
1m,54-57,54.0,57.05956800000058,5.0,50.0,2.0,4
5m,75-86,75.00280900000143,86.13236899999902,4.5,36.36363636363637,1.0,33
5m,50-62,50.08440299999893,62.1408620000002,5.0,23.762376237623762,0.42574257425742557,101
5m,129-133,128.8708050000023,132.9073389999994,10.0,20.0,1.2,5
5m,87-97,86.85225899999932,97.07719999999972,10.0,16.666666666666664,0.8333333333333328,18
5m,62-75,62.34175900000082,74.56723500000044,3.5,27.536231884057973,0.23913043478260876,69
5m,100-110,99.94083399999909,109.67719100000068,1.5,16.666666666666664,-0.5833333333333335,6
5m,112-123,111.52883500000098,123.42263399999864,10.0,11.11111111111111,0.22222222222222232,9
15m,105-119,104.52264800000012,118.85045900000114,10.0,12.195121951219512,0.3414634146341462,41
15m,75-89,75.00283000000036,89.21184100000028,10.0,14.285714285714285,0.5714285714285712,98
15m,90-104,89.6953709999998,103.70845399999962,3.5,33.33333333333333,0.4999999999999998,60
15m,119-133,119.33436599999914,133.44535499999984,2.5,25.925925925925924,-0.09259259259259267,27
15m,163-173,163.4193809999997,172.90778200000204,4.5,12.5,-0.3125,8
15m,135-148,135.05660400000124,147.76352600000064,2.0,40.0,0.20000000000000007,15
15m,195-206,195.01348999999936,206.0611919999974,10.0,20.0,1.2,5
15m,148-162,148.33703499999956,162.45170799999687,1.5,38.46153846153847,-0.038461538461538214,13
15m,181-189,181.21129699999983,189.48448700000156,1.5,16.666666666666664,-0.5833333333333335,6
15m,209-222,208.75893499999984,221.54260900000008,10.0,33.33333333333333,2.666666666666666,3
