year,timeframe,body_filter,sl_type,rr_ratio,total_candles,total_trades,wins,losses,no_exit,win_rate,total_pnl,profit_factor,gross_profit,gross_loss
2018,5m,50,middle,1.5,2,2,2,0,0,100.0,97.12508850000131,0.0,97.12508850000131,0.0
2018,5m,50,middle,2.0,2,2,2,0,0,100.0,129.50011800000175,0.0,129.50011800000175,0.0
2018,5m,50,middle,2.5,2,2,1,1,0,50.0,71.58838099999957,3.775150148942273,97.38460000000032,25.796219000000747
2018,5m,50,middle,3.0,2,2,1,1,0,50.0,91.06530099999964,4.530180178730728,116.86152000000038,25.796219000000747
2018,5m,50,middle,3.5,2,2,1,1,0,50.0,110.5422209999997,5.2852102085191826,136.33844000000045,25.796219000000747
2018,5m,50,middle,4.0,2,2,0,2,0,0.0,-64.75005900000087,0.0,0.0,64.75005900000087
2018,5m,50,middle,4.5,2,2,0,2,0,0.0,-64.75005900000087,0.0,0.0,64.75005900000087
2018,5m,50,middle,5.0,2,2,0,2,0,0.0,-64.75005900000087,0.0,0.0,64.75005900000087
2018,5m,50,62%,1.5,2,2,2,0,0,100.0,120.3307655399999,0.0,120.3307655399999,0.0
2018,5m,50,62%,2.0,2,2,1,1,0,50.0,64.68777443999988,3.0267022880093593,96.60552319999988,31.917748759999995
2018,5m,50,62%,2.5,2,2,1,1,0,50.0,88.83915523999985,3.7833778600116994,120.75690399999985,31.917748759999995
2018,5m,50,62%,3.0,2,2,1,1,0,50.0,112.99053603999982,4.540053432014039,144.90828479999982,31.917748759999995
2018,5m,50,62%,3.5,2,2,0,2,0,0.0,-80.22051035999993,0.0,0.0,80.22051035999993
2018,5m,50,62%,4.0,2,2,0,2,0,0.0,-80.22051035999993,0.0,0.0,80.22051035999993
2018,5m,50,62%,4.5,2,2,0,2,0,0.0,-80.22051035999993,0.0,0.0,80.22051035999993
2018,5m,50,62%,5.0,2,2,0,2,0,0.0,-80.22051035999993,0.0,0.0,80.22051035999993
2018,5m,50,78%,1.5,2,2,1,1,0,50.0,51.072197160001,2.274263142293201,91.1519856000009,40.0797884399999
2018,5m,50,78%,2.0,2,2,1,1,0,50.0,81.4561923600013,3.032350856390935,121.5359808000012,40.0797884399999
2018,5m,50,78%,2.5,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
2018,5m,50,78%,3.0,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
2018,5m,50,78%,3.5,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
2018,5m,50,78%,4.0,2,2,0,2,0,0.0,-100.8477788400005,0.0,0.0,100.8477788400005
