timeframe,body_filter,sl_type,rr_ratio,total_trades,wins,losses,total_pnl,gross_profit,gross_loss,win_rate,profit_factor,expected_value
15m,50,62%,1.5,560,236,324,626.4528141400174,17965.436941259988,17338.98412711997,42.14,1.04,0.05349999999999999
15m,50,62%,2.0,560,207,353,2037.5250949000056,20902.31145523998,18864.786360339975,36.96,1.11,0.10880000000000001
15m,50,62%,2.5,560,183,377,2691.55670587001,22862.49913844998,20170.94243257997,32.68,1.13,0.14380000000000004
15m,50,62%,3.0,560,167,393,4072.60697332,25041.41179595997,20968.80482263997,29.82,1.19,0.19279999999999997
15m,50,62%,3.5,560,156,404,5560.847415069978,27126.391835689952,21565.544420619975,27.86,1.26,0.25370000000000004
15m,50,62%,4.0,560,141,419,5305.97054293998,27697.530104719954,22391.559561779974,25.18,1.24,0.2590000000000001
15m,50,62%,4.5,560,129,431,5257.761927000013,28287.57601223998,23029.814085239967,23.04,1.23,0.2671999999999999
15m,50,62%,5.0,560,119,440,5159.296624640056,28641.711967400013,23482.41534275996,21.25,1.22,0.275
15m,50,78%,1.5,560,238,321,1076.2255226000439,22737.75874926003,21661.533226659987,42.5,1.05,0.0625
15m,50,78%,2.0,560,208,351,2815.511108380061,26423.700111920043,23608.189003539985,37.14,1.12,0.11419999999999997
15m,50,78%,2.5,560,185,374,4251.693789150057,29336.952034750044,25085.258245599987,33.04,1.17,0.15639999999999987
15m,50,78%,3.0,560,166,393,4564.703967700039,31038.557270400033,26473.853302699994,29.64,1.17,0.1856
15m,50,78%,3.5,560,150,409,5047.892258710064,32563.946580830056,27516.05432211999,26.79,1.18,0.2055499999999998
15m,50,78%,4.0,560,137,421,5143.337876380069,33464.945010560055,28321.60713417999,24.46,1.18,0.2230000000000001
15m,50,78%,4.5,560,127,431,6340.495988960061,35205.00494382005,28864.508954859994,22.68,1.22,0.24740000000000006
15m,50,78%,5.0,560,120,438,7794.64849626009,37068.74323590008,29274.09473963999,21.43,1.27,0.28579999999999994
15m,50,middle,1.5,560,244,316,1334.3797032499847,14988.81076575,13654.431062500014,43.57,1.1,0.08924999999999994
15m,50,middle,2.0,560,202,358,655.8724734999387,16201.89603099997,15546.02355750003,36.07,1.04,0.08210000000000006
15m,50,middle,2.5,560,185,375,2490.997847499943,18669.97815749997,16178.980310000028,33.04,1.15,0.15639999999999987
15m,50,middle,3.0,560,167,393,2903.823496999981,19913.0963025,17009.272805500015,29.82,1.17,0.19279999999999997
15m,50,middle,3.5,560,154,406,4189.429571499968,21650.534223499988,17461.10465200002,27.5,1.24,0.23750000000000016
15m,50,middle,4.0,560,138,422,3995.509109499916,22113.984545999945,18118.47543650003,24.64,1.22,0.23199999999999998
15m,50,middle,4.5,560,133,427,5405.543910749877,23770.23994124991,18364.696030500036,23.75,1.29,0.3062499999999999
15m,50,middle,5.0,560,124,436,5776.916421999867,24519.906662499903,18742.990240500036,22.14,1.31,0.3284
15m,100,62%,1.5,132,50,82,-913.6150699700197,5998.158558389978,6911.773628359997,37.88,0.87,-0.052999999999999936
15m,100,62%,2.0,132,45,87,-318.41972338002506,7061.417518159971,7379.837241539996,34.09,0.96,0.022700000000000053
15m,100,62%,2.5,132,38,94,-478.4760934800279,7451.478505099967,7929.954598579995,28.79,0.94,0.007649999999999935
15m,100,62%,3.0,132,33,99,-370.10805910002364,7905.328456139969,8275.436515239991,25.0,0.96,0.0
15m,100,62%,3.5,132,29,103,-510.78339916002733,8088.704245579965,8599.487644739991,21.97,0.94,-0.011350000000000082
15m,100,62%,4.0,132,25,107,-762.4277329200349,8118.494614159958,8880.922347079992,18.94,0.91,-0.052999999999999936
15m,100,62%,4.5,132,22,110,-1224.6832561500369,7924.796790929955,9149.480047079993,16.67,0.87,-0.08314999999999984
15m,100,62%,5.0,132,19,112,-1815.9648267000002,7491.164018499985,9307.128845199986,14.39,0.8,-0.13659999999999994
15m,100,78%,1.5,132,52,80,-1042.2084965800086,7610.838633719991,8653.0471303,39.39,0.88,-0.015249999999999875
15m,100,78%,2.0,132,45,87,-469.9949766399968,8837.963050759998,9307.958027399995,34.09,0.95,0.022700000000000053
15m,100,78%,2.5,132,39,93,-241.00527879998208,9632.810195700007,9873.81547449999,29.55,0.98,0.03425
15m,100,78%,3.0,132,32,100,-1052.5618306999895,9505.783291560003,10558.345122259992,24.24,0.9,-0.030400000000000094
15m,100,78%,3.5,132,28,104,-1289.7421968999915,9673.375721240001,10963.117918139993,21.21,0.88,-0.04554999999999987
15m,100,78%,4.0,132,23,108,-2453.807185799984,8912.749355440006,11366.55654123999,17.42,0.78,-0.1289999999999999
15m,100,78%,4.5,132,22,109,-1777.804689009975,9668.404792710015,11446.209481719989,16.67,0.84,-0.08314999999999984
15m,100,78%,5.0,132,21,110,-1194.5331914599665,10333.508907200021,11528.042098659987,15.91,0.9,-0.045399999999999996
15m,100,middle,1.5,132,50,82,-706.5194377499956,4855.038839250007,5561.558277000003,37.88,0.87,-0.052999999999999936
15m,100,middle,2.0,132,39,93,-1327.1920240000136,4980.705874999996,6307.89789900001,29.55,0.79,-0.11350000000000005
15m,100,middle,2.5,132,38,94,-261.4222390000068,6097.734712500001,6359.156951500007,28.79,0.96,0.007649999999999935
15m,100,middle,3.0,132,31,101,-814.0448324999861,5988.154503000016,6802.199335500002,23.48,0.88,-0.060799999999999965
15m,100,middle,3.5,132,30,102,-50.550723249981274,6803.7667547500205,6854.317478000002,22.73,0.99,0.022850000000000037
15m,100,middle,4.0,132,25,107,-594.6285014999803,6562.897868000022,7157.526369500002,18.94,0.92,-0.052999999999999936
15m,100,middle,4.5,132,23,109,-416.86578599998757,6857.496859500016,7274.362645500004,17.42,0.94,-0.04189999999999994
15m,100,middle,5.0,132,21,111,-286.0031605000049,7093.539730000002,7379.542890500007,15.91,0.96,-0.045399999999999996
15m,150,62%,1.5,32,11,21,-463.27168479000784,1825.6999417499896,2288.9716265399975,34.38,0.8,-0.14049999999999996
15m,150,62%,2.0,32,8,24,-862.4716404800129,1762.4221870399851,2624.893827519998,25.0,0.67,-0.25
15m,150,62%,2.5,32,7,25,-768.1381560800146,1955.6905463999828,2723.8287024799974,21.88,0.72,-0.23420000000000007
15m,150,62%,3.0,32,7,25,-377.000046800018,2346.8286556799794,2723.8287024799974,21.88,0.86,-0.12480000000000002
15m,150,62%,3.5,32,6,26,-416.2323722300116,2403.2342046299837,2819.4665768599953,18.75,0.85,-0.15625
15m,150,62%,4.0,32,6,26,-72.91320014001394,2746.5533767199813,2819.4665768599953,18.75,0.97,-0.0625
15m,150,62%,4.5,32,5,27,-433.6653357700234,2513.814206129973,2947.4795418999965,15.62,0.85,-0.14089999999999991
15m,150,62%,5.0,32,3,28,-1239.4245125200032,1801.2467139999899,3040.671226519993,9.38,0.59,-0.4372
15m,150,78%,1.5,32,9,23,-1333.2472912600042,1845.7648682999934,3179.0121595599976,28.12,0.58,-0.297
15m,150,78%,2.0,32,8,24,-1092.7737798799953,2211.1655279199986,3303.939307799994,25.0,0.67,-0.25
15m,150,78%,2.5,32,7,25,-961.7963296699909,2462.6612443500017,3424.4575740199925,21.88,0.72,-0.23420000000000007
15m,150,78%,3.0,32,6,26,-961.5093100799913,2586.0095712600014,3547.5188813399927,18.75,0.73,-0.25
15m,150,78%,3.5,32,5,27,-1254.9301157899918,2453.571521310001,3708.501637099993,15.62,0.66,-0.29710000000000003
15m,150,78%,4.0,32,3,28,-2019.7374130799817,1806.0711888000078,3825.8086018799895,9.38,0.47,-0.5309999999999999
15m,150,78%,4.5,32,3,28,-1793.9785144799807,2031.8300874000088,3825.8086018799895,9.38,0.53,-0.4841
15m,150,78%,5.0,32,3,28,-1568.2196158799798,2257.5889860000098,3825.8086018799895,9.38,0.59,-0.4372
15m,150,middle,1.5,32,11,21,-371.0216992500018,1474.5122152499935,1845.5339144999953,34.38,0.8,-0.14049999999999996
15m,150,middle,2.0,32,8,24,-693.9431780000114,1423.0659199999864,2117.0090979999977,25.0,0.67,-0.25
15m,150,middle,2.5,32,8,24,-338.17669800001477,1778.832399999983,2117.0090979999977,25.0,0.84,-0.125
15m,150,middle,3.0,32,7,25,-300.17289800000344,1896.2768699999906,2196.449767999994,21.88,0.86,-0.12480000000000002
15m,150,middle,3.5,32,7,25,15.87324699999499,2212.323014999989,2196.449767999994,21.88,1.01,-0.01539999999999997
15m,150,middle,4.0,32,6,26,-52.968510500001685,2220.4588379999914,2273.427348499993,18.75,0.98,-0.0625
15m,150,middle,4.5,32,6,26,224.58884424999724,2498.0161927499903,2273.427348499993,18.75,1.1,0.03125
15m,150,middle,5.0,32,6,26,502.14619899999616,2775.573547499989,2273.427348499993,18.75,1.22,0.125
15m,200,62%,1.5,4,2,2,145.07176474999687,408.2309424299983,263.15917768000145,50.0,1.55,0.25
15m,200,62%,2.0,4,2,2,281.1487455599963,544.3079232399978,263.15917768000145,50.0,2.07,0.5
15m,200,62%,2.5,4,2,2,417.22572636999575,680.3849040499972,263.15917768000145,50.0,2.59,0.75
15m,200,62%,3.0,4,2,2,553.3027071799952,816.4618848599966,263.15917768000145,50.0,3.1,1.0
15m,200,62%,3.5,4,2,2,689.3796879899946,952.5388656699961,263.15917768000145,50.0,3.62,1.25
15m,200,62%,4.0,4,2,2,825.4566687999941,1088.6158464799955,263.15917768000145,50.0,4.14,1.5
15m,200,62%,4.5,4,1,3,257.4623418899864,648.6344846099892,391.17214272000274,25.0,1.66,0.375
15m,200,62%,5.0,4,1,3,329.5328401799852,720.704982899988,391.17214272000274,25.0,1.84,0.5
15m,200,78%,1.5,4,2,2,179.49025875000007,510.85585467000055,331.3655959200005,50.0,1.54,0.25
15m,200,78%,2.0,4,2,2,349.77554364000025,681.1411395600007,331.3655959200005,50.0,2.06,0.5
15m,200,78%,2.5,4,2,2,520.0608285300004,851.4264244500009,331.3655959200005,50.0,2.57,0.75
15m,200,78%,3.0,4,2,2,690.3461134200006,1021.7117093400011,331.3655959200005,50.0,3.08,1.0
15m,200,78%,3.5,4,1,3,136.20899739000015,628.5573490700008,492.34835168000063,25.0,1.28,0.125
15m,200,78%,4.0,4,1,3,226.00290440000026,718.3512560800009,492.34835168000063,25.0,1.46,0.25
15m,200,78%,4.5,4,1,3,315.7968114100004,808.145163090001,492.34835168000063,25.0,1.64,0.375
15m,200,78%,5.0,4,1,3,405.5907184200005,897.9390701000011,492.34835168000063,25.0,1.82,0.5
15m,200,middle,1.5,4,2,2,119.25789424999493,331.2622582499953,212.00436400000035,50.0,1.56,0.25
15m,200,middle,2.0,4,2,2,229.67864699999336,441.6830109999937,212.00436400000035,50.0,2.08,0.5
15m,200,middle,2.5,4,2,2,340.0993997499918,552.1037637499921,212.00436400000035,50.0,2.6,0.75
15m,200,middle,3.0,4,2,2,450.5201524999902,662.5245164999906,212.00436400000035,50.0,3.13,1.0
15m,200,middle,3.5,4,2,2,560.9409052499886,772.945269249989,212.00436400000035,50.0,3.65,1.25
15m,200,middle,4.0,4,2,2,671.3616579999871,883.3660219999874,212.00436400000035,50.0,4.17,1.5
15m,200,middle,4.5,4,2,2,781.7824107499855,993.7867747499859,212.00436400000035,50.0,4.69,1.75
15m,200,middle,5.0,4,2,2,892.2031634999839,1104.2075274999843,212.00436400000035,50.0,5.21,2.0
5m,50,62%,1.5,244,114,130,1521.556530720051,7372.188468960023,5850.631938239972,46.72,1.26,0.16799999999999993
5m,50,62%,2.0,244,94,150,1281.6626904200593,8031.391294200032,6749.728603779972,38.52,1.19,0.15560000000000007
5m,50,62%,2.5,244,83,161,1539.7788713600457,8789.430801600025,7249.651930239978,34.02,1.21,0.1907000000000002
5m,50,62%,3.0,244,75,169,1797.196823600024,9421.965805860009,7624.768982259985,30.74,1.24,0.22959999999999992
5m,50,62%,3.5,244,67,177,1799.2714647800503,9772.54111218003,7973.2696473999795,27.46,1.23,0.23570000000000013
5m,50,62%,4.0,244,60,184,1746.6308191200633,10009.644056000041,8263.013236879979,24.59,1.21,0.22950000000000004
