Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_calculate…(df,14)","Exit_calculate…(df,14)","Entry_find_frac…(df,5)","Exit_find_frac…(df,5)"
12,2312,2358,7894.15672,7886.291684,7886.291684,7904.159699156001,-132.25350816960173,37.8730761696,-0.001396111842177915,2018-01-12 03:40:00,2018-01-12 07:30:00,0 days 03:50:00,,2.740576142857143,3.305427785714268,,
12,4173,4176,8143.98849,8139.345199,8139.345199,8148.486384045998,-94.7994928535929,39.0800008536,-0.0009700354743255573,2018-01-23 03:15:00,2018-01-23 03:30:00,0 days 00:15:00,,2.594134071428406,2.4058501428570316,,
-12,7448,7458,7712.860278,7688.23408549,7728.926122,7688.23408549,258.5516836476214,36.962626472376,0.0027935127644875715,2018-02-08 03:10:00,2018-02-08 04:00:00,0 days 00:50:00,,9.958124357142749,10.58573749999992,,
13,8266,8290,7624.701588,7605.706883,7605.706883,7641.028561814001,-286.5302270246009,39.5990620246,-0.00289070810704102,2018-02-13 03:05:00,2018-02-13 05:05:00,0 days 02:00:00,,10.774021285714364,7.698717928571439,,
12,8545,8549,7725.747262,7718.175112,7718.175112,7737.050070369999,-127.93121369759957,37.06541369759999,-0.001379922758700249,2018-02-14 03:35:00,2018-02-14 03:55:00,0 days 00:20:00,,4.707097000000041,4.728017428571483,,
-12,10142,10143,7885.37014,7893.528062,7893.528062,7869.618393289999,-135.7644196848039,37.8693556848,-0.0014347711571596716,2018-02-22 03:55:00,2018-02-22 04:00:00,0 days 00:05:00,,6.987423499999944,7.050184785714334,,
12,12318,12335,8081.603769,8095.371504946,8077.839136,8095.371504946,126.38809069452297,38.8247406574704,0.0013032488590458695,2018-03-06 03:15:00,2018-03-06 04:40:00,0 days 01:25:00,,5.481152357143011,5.439311428571533,,
12,13136,13157,8167.136947,8178.978424619999,8162.50935,8178.978424619999,102.8670545480981,39.230676891887995,0.0010496033801445266,2018-03-09 03:10:00,2018-03-09 04:55:00,0 days 01:45:00,,4.731973999999939,3.2102378571428614,,
-12,14227,14227,8255.856247,8249.195509622,8261.651204,8249.195509622,40.31672432009381,39.612124215892806,0.0004069507663600323,2018-03-15 03:05:00,2018-03-15 03:05:00,0 days 00:00:00,,4.085757142857282,4.085757142857282,,
-12,14506,14506,8242.723456,8245.600014,8245.600014,8229.130939379998,-74.09067232799919,39.571976328000005,-0.0007490512968145366,2018-03-16 03:35:00,2018-03-16 03:35:00,0 days 00:00:00,,4.315060142857354,4.315060142857354,,
-13,16957,16968,7587.543094,7608.80556,7608.80556,7580.296341216001,-315.9225645004017,39.5105065004,-0.003202846485315901,2018-03-29 03:05:00,2018-03-29 04:00:00,0 days 00:55:00,,9.75578771428575,7.5669891428570475,,
