year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,1.5,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,2.0,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,2.5,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,3.0,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,3.5,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,4.0,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,4.5,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,5.0,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,10.0,bearish,12.301212999999734,7550.601426,7528.634975,loss
2018,5m,1.5,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,2.0,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,2.5,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,3.0,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,3.5,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,4.0,bullish,14.64429999999993,7661.898111,7645.496495,win
2018,5m,4.5,bullish,14.64429999999993,7661.898111,7645.496495,no_exit
2018,5m,5.0,bullish,14.64429999999993,7661.898111,7645.496495,no_exit
2018,5m,10.0,bullish,14.64429999999993,7661.898111,7645.496495,no_exit
2018,5m,1.5,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,2.0,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,2.5,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,3.0,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,3.5,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,4.0,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,4.5,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,5.0,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,10.0,bullish,4.1004039999997985,7750.056801,7733.948071,loss
2018,5m,1.5,bearish,7.322149999999965,7769.387278,7752.692776,loss
2018,5m,2.0,bearish,7.322149999999965,7769.387278,7752.692776,loss
2018,5m,2.5,bearish,7.322149999999965,7769.387278,7752.692776,loss
2018,5m,3.0,bearish,7.322149999999965,7769.387278,7752.692776,loss
