timeframe,rr_ratio,total_trades,wins,losses,win_rate,avg_body_size_points
5m,1.5,1993,824,1169,41.344706472654295,25.402078144278594
5m,2.0,1971,690,1281,35.0076103500761,25.402078144278594
5m,2.5,1935,573,1362,29.612403100775193,25.402078144278594
5m,3.0,1903,487,1416,25.5911718339464,25.402078144278594
5m,3.5,1869,425,1444,22.7394328517924,25.402078144278594
5m,4.0,1834,362,1472,19.738276990185387,25.402078144278594
5m,4.5,1789,303,1486,16.93683622135271,25.402078144278594
5m,5.0,1751,249,1502,14.220445459737293,25.402078144278594
5m,10.0,1588,48,1540,3.022670025188917,25.402078144278594
15m,1.5,1878,804,1074,42.81150159744409,38.36115551820452
15m,2.0,1802,633,1169,35.127635960044394,38.36115551820452
15m,2.5,1708,486,1222,28.454332552693206,38.36115551820452
15m,3.0,1629,363,1266,22.283609576427256,38.36115551820452
15m,3.5,1567,288,1279,18.37906828334397,38.36115551820452
15m,4.0,1512,217,1295,14.351851851851851,38.36115551820452
15m,4.5,1478,177,1301,11.975642760487144,38.36115551820452
15m,5.0,1455,148,1307,10.171821305841924,38.36115551820452
15m,10.0,1352,29,1323,2.1449704142011834,38.36115551820452
