Timeframe,Stop_Loss_Type,RR_Ratio,Total_Trades,Trades_Bons,Trades_Mauvais,Win_Rate_Percent,Profit_Factor,Total_PnL
15m,edge,1.5,114,52,62,45.61,1.57,1994.876263000016
15m,edge,2.0,110,45,65,40.91,1.71,2555.8343950000217
15m,edge,2.5,98,31,67,31.63,1.17,629.3763795000214
15m,edge,3.0,94,26,68,27.66,1.02,76.93781600003598
15m,edge,3.5,89,20,69,22.47,0.82,-699.432253499951
15m,edge,4.0,84,15,69,17.86,0.5,-1895.775142999949
15m,edge,4.5,79,10,69,12.66,0.36,-2460.2735294999475
15m,edge,5.0,77,8,69,10.39,0.27,-2785.6483729999572
15m,edge,10.0,73,2,71,2.74,0.07,-3575.297386000001
15m,middle,1.5,116,52,64,44.83,1.45,1571.7535602499943
15m,middle,2.0,109,44,65,40.37,1.49,1739.3497625000055
15m,middle,2.5,104,39,65,37.5,1.5,1768.0091905000177
15m,middle,3.0,96,27,69,28.12,1.06,235.25219650002055
15m,middle,3.5,89,20,69,22.47,0.87,-475.66318674997456
15m,middle,4.0,87,18,69,20.69,0.77,-844.8476509999728
15m,middle,4.5,83,14,69,16.87,0.42,-2134.8169872499684
15m,middle,5.0,79,10,69,12.66,0.33,-2483.958061499974
15m,middle,10.0,74,3,71,4.05,0.07,-3489.7205019999874
1m,edge,1.5,97,33,64,34.02,0.79,-410.77146599999287
1m,edge,2.0,97,30,67,30.93,0.85,-309.3546749999941
1m,edge,2.5,97,28,69,28.87,0.99,-28.86204599998561
1m,edge,3.0,96,23,73,23.96,0.62,-842.5281500000028
1m,edge,3.5,96,22,74,22.92,0.71,-659.539338999999
1m,edge,4.0,94,18,76,19.15,0.53,-1074.4679559999886
1m,edge,4.5,94,18,76,19.15,0.6,-923.4353574999877
1m,edge,5.0,94,17,77,18.09,0.64,-832.4298969999844
1m,edge,10.0,91,9,82,9.89,0.46,-1262.199712999999
1m,middle,1.5,96,32,64,33.33,0.68,-563.0318977499937
1m,middle,2.0,96,29,67,30.21,0.86,-255.12709649999857
1m,middle,2.5,96,28,68,29.17,1.0,-1.37141724999492
1m,middle,3.0,96,24,72,25.0,0.95,-94.9138504999919
1m,middle,3.5,96,22,74,22.92,0.95,-96.77638199999001
1m,middle,4.0,95,19,76,20.0,0.93,-133.90561099997285
1m,middle,4.5,94,17,77,18.09,0.86,-288.74945324997225
1m,middle,5.0,93,15,78,16.13,0.61,-805.846810499972
1m,middle,10.0,90,9,81,10.0,0.46,-1120.2142645000185
5m,edge,1.5,202,91,111,45.05,1.28,1377.2709365000042
5m,edge,2.0,198,80,118,40.4,1.4,2066.658884000015
5m,edge,2.5,187,62,125,33.16,1.21,1133.7546985000158
5m,edge,3.0,181,50,131,27.62,1.01,51.29295800004735
5m,edge,3.5,173,42,131,24.28,0.93,-422.0287874999377
5m,edge,4.0,171,38,133,22.22,0.86,-800.6216669999221
5m,edge,4.5,163,29,134,17.79,0.71,-1713.931421499913
5m,edge,5.0,161,27,134,16.77,0.72,-1604.7551819998998
5m,edge,10.0,147,10,137,6.8,0.22,-4560.715286999927
5m,middle,1.5,199,90,109,45.23,1.35,1660.4785137499944
5m,middle,2.0,193,77,116,39.9,1.43,2120.4440305000207
5m,middle,2.5,187,68,119,36.36,1.45,2251.645293500026
5m,middle,3.0,179,54,125,30.17,1.16,830.454351000023
5m,middle,3.5,170,41,129,24.12,0.91,-482.2402557499708
5m,middle,4.0,167,37,130,22.16,0.85,-797.4956669999646
5m,middle,4.5,165,34,131,20.61,0.84,-859.6828989999512
5m,middle,5.0,159,27,132,16.98,0.78,-1209.1951669999435
5m,middle,10.0,145,10,135,6.9,0.25,-4189.829762999992
