timeframe,rr_ratio,body_size_bucket,min_body_size,max_body_size,avg_body_size,total_trades,wins,losses,win_rate
1m,1.5,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,8,7,53.333333333333336
1m,1.5,Très petit,25.0,27.25,26.079022266666772,15,9,6,60.0
1m,1.5,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,4,10,28.57142857142857
1m,1.5,Très grand,49.0,71.15231700000004,57.25488830769218,13,6,7,46.15384615384615
1m,1.5,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,7,8,46.666666666666664
1m,2.0,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,8,7,53.333333333333336
1m,2.0,Très petit,25.0,27.25,26.079022266666772,15,7,8,46.666666666666664
1m,2.0,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,2,12,14.285714285714285
1m,2.0,Très grand,49.0,71.15231700000004,57.25488830769218,13,5,8,38.46153846153847
1m,2.0,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,7,8,46.666666666666664
1m,2.5,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,6,9,40.0
1m,2.5,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,2.5,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,2,12,14.285714285714285
1m,2.5,Très grand,49.0,71.15231700000004,57.25488830769218,13,5,8,38.46153846153847
1m,2.5,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,7,8,46.666666666666664
1m,3.0,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,5,10,33.33333333333333
1m,3.0,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,3.0,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,3.0,Très grand,49.0,71.15231700000004,57.25488830769218,13,5,8,38.46153846153847
1m,3.0,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,6,9,40.0
1m,3.5,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,4,11,26.666666666666668
1m,3.5,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,3.5,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,3.5,Très grand,49.0,71.15231700000004,57.25488830769218,13,5,8,38.46153846153847
1m,3.5,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,6,9,40.0
1m,4.0,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,2,13,13.333333333333334
1m,4.0,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,4.0,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,4.0,Très grand,49.0,71.15231700000004,57.25488830769218,13,4,9,30.76923076923077
1m,4.0,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,6,9,40.0
1m,4.5,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,2,13,13.333333333333334
1m,4.5,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,4.5,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,4.5,Très grand,49.0,71.15231700000004,57.25488830769218,13,4,9,30.76923076923077
1m,4.5,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,6,9,40.0
1m,5.0,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,2,13,13.333333333333334
1m,5.0,Très petit,25.0,27.25,26.079022266666772,15,6,9,40.0
1m,5.0,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,5.0,Très grand,49.0,71.15231700000004,57.25488830769218,13,4,9,30.76923076923077
1m,5.0,Grand,39.2740389999999,48.72786099999939,44.681666266666674,15,6,9,40.0
1m,10.0,Moyen,32.73318400000062,39.17672400000083,36.170112066666235,15,0,15,0.0
1m,10.0,Très petit,25.0,27.25,26.079022266666772,15,3,12,20.0
1m,10.0,Petit,27.51987999999983,32.64335700000083,30.142779642857153,14,1,13,7.142857142857142
1m,10.0,Très grand,49.0,71.15231700000004,57.25488830769218,13,1,12,7.6923076923076925
1m,10.0,Grand,39.2740389999999,48.72786099999939,44.681666266666674,14,3,11,21.428571428571427
5m,1.5,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,28,21,57.14285714285714
5m,1.5,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,26,23,53.06122448979592
5m,1.5,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,22,27,44.89795918367347
5m,1.5,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,18,30,37.5
5m,1.5,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,20,29,40.816326530612244
5m,2.0,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,27,22,55.10204081632652
5m,2.0,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,21,28,42.857142857142854
5m,2.0,Petit,54.41296299999885,61.85449899999912,58.335965428571456,49,19,30,38.775510204081634
5m,2.0,Très grand,84.76357300000018,172.58443499999976,105.01981424999975,48,12,36,25.0
5m,2.0,Moyen,61.85449999999946,69.3324939999984,65.20563926530612,49,15,34,30.612244897959183
5m,2.5,Grand,69.5355810000001,84.0529260000003,75.7507505714286,49,24,25,48.97959183673469
5m,2.5,Très petit,50.08440299999893,54.40904999999839,52.167211877550955,49,17,32,34.69387755102041
