timeframe,rr_ratio,sl_placement,total_trades,tp_count,sl_count,eod_count,avg_candles_tp,median_candles_tp,min_candles_tp,max_candles_tp,avg_candles_sl,median_candles_sl,min_candles_sl,max_candles_sl,avg_candles_eod
1m,1.5,middle,725,296,429,0,6.70945945945946,4.0,1,153,4.778554778554779,2.0,1,182,
1m,2.0,middle,725,267,458,0,11.359550561797754,5.0,1,322,5.506550218340611,2.0,1,182,
1m,2.5,middle,725,236,488,1,16.847457627118644,7.0,1,334,6.651639344262295,2.0,1,195,448.0
1m,3.0,middle,725,214,509,2,22.878504672897197,11.0,1,212,7.383104125736739,2.0,1,195,448.0
1m,3.5,middle,725,193,528,4,30.559585492227978,14.0,1,325,9.696969696969697,2.5,1,344,448.0
1m,4.0,middle,725,181,540,4,43.06629834254144,24.0,1,385,11.437037037037037,3.0,1,344,448.0
1m,4.5,middle,725,161,555,9,48.01242236024845,29.0,1,439,13.6,3.0,1,386,448.0
1m,5.0,middle,725,147,566,12,53.142857142857146,30.0,1,448,15.863957597173146,3.0,1,417,448.0
5m,1.5,middle,815,331,476,8,6.59214501510574,4.0,1,65,5.275210084033613,2.0,1,77,88.0
5m,2.0,middle,815,280,517,18,10.592857142857143,5.0,1,83,5.957446808510638,2.0,1,77,88.0
5m,2.5,middle,815,234,549,32,13.841880341880342,7.0,1,78,6.517304189435337,2.0,1,77,86.5
5m,3.0,middle,815,198,568,49,17.18686868686869,8.5,1,78,7.34330985915493,2.0,1,82,87.0204081632653
5m,3.5,middle,815,173,576,66,19.057803468208093,10.0,1,84,7.571180555555555,3.0,1,82,87.27272727272727
5m,4.0,middle,815,152,588,75,22.80263157894737,12.5,1,87,8.006802721088436,3.0,1,82,86.76
5m,4.5,middle,815,126,593,96,22.484126984126984,14.0,1,77,8.128161888701518,3.0,1,82,86.53125
5m,5.0,middle,815,114,599,102,27.19298245614035,15.5,1,84,8.407345575959933,3.0,1,82,86.61764705882354
15m,1.5,middle,793,318,425,50,5.317610062893082,3.0,1,26,3.8141176470588234,2.0,1,26,27.36
15m,2.0,middle,793,244,459,90,6.668032786885246,4.0,1,25,4.24400871459695,2.0,1,26,27.644444444444446
15m,2.5,middle,793,192,479,122,8.208333333333334,6.0,1,28,4.313152400835073,2.0,1,26,27.737704918032787
15m,3.0,middle,793,164,485,144,9.536585365853659,7.0,1,27,4.4268041237113405,2.0,1,26,27.67361111111111
15m,3.5,middle,793,129,495,169,10.077519379844961,8.0,1,28,4.58989898989899,2.0,1,28,27.633136094674555
15m,4.0,middle,793,102,500,191,10.529411764705882,9.0,1,27,4.634,2.0,1,28,27.67539267015707
15m,4.5,middle,793,81,506,206,11.037037037037036,9.0,1,26,4.707509881422925,2.0,1,28,27.699029126213592
15m,5.0,middle,793,68,507,218,12.102941176470589,10.0,1,26,4.733727810650888,2.0,1,28,27.71559633027523
15m,2.0,top,327,103,208,16,5.12621359223301,2.0,1,24,2.9423076923076925,1.0,1,26,27.0
15m,3.0,top,327,69,225,33,6.9855072463768115,3.0,1,26,3.502222222222222,1.0,1,26,27.060606060606062
15m,5.0,top,327,38,239,50,10.631578947368421,8.5,1,25,3.803347280334728,1.0,1,26,27.38
15m,2.0,bottom,327,78,178,71,9.282051282051283,7.0,1,26,4.735955056179775,2.0,1,26,27.549295774647888
15m,3.0,bottom,327,47,185,95,13.02127659574468,10.0,1,26,5.027027027027027,2.0,1,26,27.50526315789474
15m,5.0,bottom,327,10,190,127,13.7,14.0,2,27,5.173684210526316,3.0,1,26,27.511811023622048
15m,2.0,first_candle,327,67,144,116,14.223880597014926,15.0,1,27,7.097222222222222,5.0,1,28,27.04310344827586
15m,3.0,first_candle,327,21,149,157,16.0,17.0,5,25,7.328859060402684,5.0,1,28,27.197452229299362
15m,5.0,first_candle,327,4,150,173,19.75,20.5,14,24,7.3933333333333335,5.0,1,28,27.271676300578033
1m,1.5,top,725,274,451,0,3.7883211678832116,2.0,1,37,2.9356984478935697,1.0,1,130,
1m,2.0,top,725,247,478,0,5.65587044534413,3.0,1,150,3.481171548117155,1.0,1,130,
1m,2.5,top,725,222,503,0,8.698198198198199,4.0,1,175,4.214711729622266,1.0,1,130,
1m,3.0,top,725,202,523,0,12.910891089108912,5.0,1,328,4.67112810707457,1.0,1,130,
