timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,1.0,7537.12867,7545.6955855,7528.5617545000005,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,1.5,7537.12867,7545.6955855,7524.278296750001,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,2.0,7537.12867,7545.6955855,7519.994839000001,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,2.5,7537.12867,7545.6955855,7515.711381250001,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,3.0,7537.12867,7545.6955855,7511.427923500001,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,3.5,7537.12867,7545.6955855,7507.1444657500015,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,4.0,7537.12867,7545.6955855,7502.861008000002,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,4.5,7537.12867,7545.6955855,7498.577550250002,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,25,5.0,7537.12867,7545.6955855,7494.294092500002,8.566915499999595,1.464429999999993,LOSS,7545.6955855,2018-01-02 08:37:00,-8.566915499999595,7.0
1m,2018,2018-01-02,08:30:00,bullish_830_to_bearish_breakdown,SHORT,50,1.0,7537.12867,7546.061693,7528.1956470000005,8.933022999999594,1.464429999999993,LOSS,7546.061693,2018-01-02 08:37:00,-8.933022999999594,7.0
