timeframe,sl_percentage,rr_ratio,total_trades,wins,losses,no_exit,win_rate,total_pnl,avg_pnl,avg_win,avg_loss,best_trade,worst_trade,avg_bars_held
15m,25,1.0,184,87,97,0,47.28260869565217,599.8991907500013,3.2603216888587023,49.4961720201151,-38.20894613402074,398.7335074999973,-158.78851799999939,93.9945652173913
15m,25,1.5,184,75,109,0,40.76086956521739,1148.844558624999,6.2437204273097775,73.29023439500018,-39.889202027523076,598.1002612499979,-158.78851799999939,163.69565217391303
15m,25,2.0,184,61,123,0,33.15217391304348,1167.9528757500211,6.347569976902289,100.33210509836117,-40.26264662804886,797.4670149999946,-158.78851799999939,232.7445652173913
15m,25,2.5,184,53,131,0,28.804347826086957,1157.7955181250336,6.292366946331704,123.5880088797178,-41.163121774809234,996.8337687499916,-158.78851799999939,302.2826086956522
15m,25,3.0,184,46,138,0,25.0,-0.735979749978469,-0.0039998899455351575,130.6255232771747,-43.547174278985615,379.86156750000373,-398.73350749999736,363.75
15m,25,3.5,184,40,144,0,21.73913043478261,-138.17997225,-0.7509781100543478,153.11050938750049,-43.49028019270847,443.17182875000435,-398.73350749999736,424.5652173913044
15m,25,4.0,184,36,148,0,19.565217391304348,-50.13672200000565,-0.2724821847826394,176.9399559722227,-43.37821038513528,506.482090000005,-398.73350749999736,512.7717391304348
15m,25,4.5,184,32,152,0,17.391304347826086,201.62662437501422,1.0957968716033382,210.01861444921983,-42.88795419736855,569.7923512500056,-398.73350749999736,658.0434782608696
15m,25,5.0,184,28,156,0,15.217391304347828,-433.4881297500033,-2.355913748641322,225.56388723214354,-43.26459597596168,633.1026125000062,-398.73350749999736,717.554347826087
15m,50,1.0,184,93,91,0,50.54347826086957,900.3440804999964,4.893174350543458,52.558957978494725,-43.82020891758256,441.9604529999997,-161.2226069999997,101.4945652173913
15m,50,1.5,184,74,110,0,40.21739130434783,869.5801640000082,4.725979152173958,79.01515352027059,-45.2503745136365,662.9406794999995,-161.75,188.9673913043478
15m,50,2.0,184,64,120,0,34.78260869565217,1115.2706260000214,6.061253402174029,104.07179926562546,-46.21103772500007,883.9209059999994,-161.75,266.4130434782609
15m,50,2.5,184,58,126,0,31.521739130434785,1960.884124250012,10.65697893614137,133.45451019396592,-45.86886878571437,1104.9011324999992,-161.75,365.95108695652175
15m,50,3.0,184,50,134,0,27.173913043478258,555.7939245000134,3.0206191548913774,141.47124042000053,-48.64006042164189,396.15665100000115,-441.9604529999997,432.9619565217391
15m,50,3.5,184,42,142,0,22.82608695652174,433.802574250014,2.3576226861413803,172.39675329166738,-47.93564129577476,462.18275950000134,-441.9604529999997,516.1141304347826
15m,50,4.0,184,37,147,0,20.108695652173914,90.10230899999897,0.4896864619565161,193.85350081081128,-48.180117149659985,528.2088680000015,-441.9604529999997,653.3152173913044
15m,50,4.5,184,33,151,0,17.934782608695652,-459.7627889999985,-2.4987108097826005,208.657668954546,-48.64546930132462,594.2349765000017,-441.9604529999997,764.5108695652174
15m,50,5.0,184,28,156,0,15.217391304347828,-915.4229975000262,-4.975124986413186,236.91068767857132,-48.39052725961553,660.2610850000019,-441.9604529999997,849.945652173913
15m,75,1.0,184,100,84,0,54.347826086956516,1208.1707212499805,6.566145224184677,54.73490093749991,-50.77761157738107,485.187398500002,-163.656696,130.19021739130434
15m,75,1.5,184,82,102,0,44.565217391304344,1624.1206824999772,8.82674283967379,83.1433913323169,-50.918013791666745,727.7810977500012,-165.75,213.66847826086956
15m,75,2.0,184,70,114,0,38.04347826086957,1960.6004472499835,10.655437213315128,111.42295155714271,-51.21935229605268,970.374797000004,-165.75,395.1358695652174
15m,75,2.5,184,61,123,0,33.15217391304348,1245.111111624985,6.766908215353179,128.61733697745885,-53.66297921951223,415.7715956250013,-485.187398500002,463.7771739130435
15m,75,3.0,184,54,130,0,29.347826086956523,848.9891597499627,4.614071520380232,147.05275869444392,-54.55276776730777,433.6424414999983,-485.187398500002,549.945652173913
15m,75,3.5,184,48,136,0,26.08695652173913,630.9589234999656,3.4291245842389437,168.02865446354113,-54.664827137867704,505.91618174999707,-485.187398500002,645.9782608695652
15m,75,4.0,184,42,142,0,22.82608695652174,94.48423249996182,0.513501263586749,187.30083235714216,-54.73345582042259,578.1899219999978,-485.187398500002,806.7391304347826
15m,75,4.5,184,37,147,0,20.108695652173914,10.612057624970419,0.05767422622266532,215.589173746621,-54.1917508231293,650.4636622499984,-485.187398500002,935.8695652173913
15m,75,5.0,184,36,148,0,19.565217391304348,706.9690587499626,3.8422231453802316,241.80042881944357,-54.039502559121665,722.7374024999972,-485.187398500002,1007.0380434782609
15m,100,1.0,184,98,86,0,53.2608695652174,1065.2456969999948,5.78937878804345,59.526747581632684,-55.446227511627995,528.4143440000007,-166.09078500000032,154.80978260869566
15m,100,1.5,184,84,100,0,45.65217391304348,2037.7913134999962,11.074952790760848,90.28420101785721,-55.4608157200001,792.6215160000029,-169.75,314.67391304347825
15m,100,2.0,184,70,114,0,38.04347826086957,1939.3813860000118,10.540116228260933,119.44169728571451,-56.32927564912284,1056.8286880000014,-169.75,459.1304347826087
15m,100,2.5,184,61,123,0,33.15217391304348,482.67730650000885,2.623246230978309,129.7971210245904,-60.44672419512201,392.6068600000017,-528.4143440000007,545.7065217391304
15m,100,3.0,184,52,131,1,28.415300546448087,-12.894499000006363,-0.07007879891307806,152.26072015384622,-60.53780112213748,471.12823200000093,-528.4143440000007,625.9016393442623
15m,100,3.5,184,45,138,1,24.59016393442623,-638.4303125000088,-3.469729959239178,171.65049914444447,-60.59929546376819,549.6496040000002,-528.4143440000007,827.4590163934427
15m,100,4.0,184,42,140,2,23.076923076923077,77.81729399998676,0.4229200760868846,202.423705047619,-60.171273700000086,628.1709760000012,-528.4143440000007,929.8351648351648
15m,100,4.5,184,38,144,2,20.87912087912088,54.499243999998725,0.29619154347825394,228.31420618421075,-59.87111521527785,706.6923480000023,-528.4143440000007,1066.4835164835165
15m,100,5.0,184,35,147,2,19.230769230769234,543.9759349999913,2.956390951086909,264.12864657142865,-59.18725642857151,785.2137200000016,-528.4143440000007,1239.89010989011
1m,25,1.0,279,125,154,0,44.80286738351255,-376.45647825007563,-1.349306373656185,17.166624451999777,-16.37847100487044,58.06018374999985,-70.44540249999955,3.7992831541218637
1m,25,1.5,279,97,182,0,34.76702508960574,-604.0323787500693,-2.164990604838958,25.138640489690438,-16.716925858516714,87.09027562499978,-70.44540249999955,5.017921146953405
1m,25,2.0,279,79,200,0,28.31541218637993,-710.8658277500717,-2.547906192652587,33.39448745569577,-16.745151683750187,116.1203674999997,-70.44540249999955,7.978494623655914
1m,25,2.5,279,66,213,0,23.655913978494624,-733.176959875078,-2.627874408154401,42.585883456438765,-16.637771211267776,145.15045937499963,-70.44540249999955,9.67741935483871
1m,25,3.0,279,57,222,0,20.43010752688172,-905.0769522500768,-3.2440034130827127,49.51362682894662,-16.789881448198354,119.77897650000159,-70.44540249999955,11.659498207885305
1m,25,3.5,279,51,228,0,18.27956989247312,-1095.991310750068,-3.9282842679213905,54.476795127450266,-16.99257834320189,126.9711843750083,-70.44540249999955,14.770609318996415
1m,25,4.0,279,45,234,0,16.129032258064516,-1123.3476875000824,-4.026335797491335,63.01804273333222,-16.919485514957405,145.10992500001157,-70.44540249999955,18.43010752688172
1m,25,4.5,279,42,237,0,15.053763440860216,-1158.6116498750935,-4.1527299278677186,68.3669014553557,-17.00431017299592,162.92775487499603,-70.44540249999955,34.98924731182796
1m,25,5.0,279,40,239,0,14.336917562724013,-1108.150550750087,-3.971865773297803,74.16587584374861,-17.04931206903779,165.50592874999893,-70.44540249999955,37.47670250896057
1m,50,1.0,279,127,152,0,45.51971326164875,-409.4134785000233,-1.4674318225807286,18.774277590551183,-18.379912713815944,61.711317500001314,-74.16812700000082,4.405017921146953
1m,50,1.5,279,96,183,0,34.40860215053764,-553.6275552500229,-1.984328155018003,28.902827695312492,-18.187426306011048,92.56697625000015,-74.16812700000082,5.792114695340501
1m,50,2.0,279,77,202,0,27.598566308243726,-727.9599695000024,-2.6091755179211558,38.52917763636382,-18.290626967821865,123.42263500000263,-74.16812700000082,9.121863799283155
1m,50,2.5,279,66,213,0,23.655913978494624,-882.411831749987,-3.162766422042964,46.48991509469739,-18.54810435680758,114.27928874999454,-74.16812700000082,11.53763440860215
1m,50,3.0,279,58,221,0,20.78853046594982,-905.8979864999756,-3.2469461881719552,55.24373275862131,-18.59744111538467,137.13514649999343,-74.16812700000082,14.175627240143369
1m,50,3.5,279,53,226,0,18.996415770609318,-889.2932262500053,-3.1874309184588006,62.938170485849284,-18.694762221239014,159.99100424999233,-74.16812700000082,17.512544802867385
1m,50,4.0,279,48,231,0,17.20430107526882,-772.1127914999888,-2.7674293602150137,73.43278658333391,-18.601240465368036,182.84686199999123,-74.16812700000082,38.22222222222222
1m,50,4.5,279,41,238,0,14.695340501792115,-1174.7705912499969,-4.210647280465938,79.88865755487863,-18.698342651260592,205.70271974999014,-74.16812700000082,41.60215053763441
1m,50,5.0,279,41,238,0,14.695340501792115,-810.8333735000078,-2.9062128082437555,88.76517506097593,-18.698342651260592,228.55857749998907,-74.16812700000082,44.72401433691756
1m,75,1.0,279,121,158,0,43.36917562724014,-710.0477992499973,-2.5449741908602053,20.57024620867777,-20.247136648734227,65.36245124999914,-77.89085150000028,4.92831541218638
1m,75,1.5,279,94,185,0,33.691756272401435,-734.4122517499918,-2.632301977598537,31.61894763829806,-20.035639620270324,98.04367687499689,-77.89085150000028,7.028673835125448
1m,75,2.0,279,76,203,0,27.24014336917563,-1012.2801867499793,-3.6282443969533307,41.01550171052666,-20.342159195812833,130.72490249999828,-77.89085150000028,10.68100358422939
1m,75,2.5,279,65,214,0,23.297491039426525,-1031.5965634999566,-3.6974787222220664,51.16978921153914,-20.362770384345797,124.65960812499998,-77.89085150000028,13.254480286738351
1m,75,3.0,279,59,220,0,21.14695340501792,-862.6717077499388,-3.092013289426304,61.33952127966202,-20.37137937840908,149.59152975000052,-77.89085150000028,16.02867383512545
1m,75,3.5,279,50,229,0,17.921146953405017,-1130.3241526249685,-4.051341048835012,70.89791689750075,-20.415807849345004,174.52345137500106,-77.89085150000028,22.49820788530466
1m,75,4.0,279,44,235,0,15.770609318996415,-1218.4170292499512,-4.367086126343911,81.26600640909213,-20.400516218085126,199.4553730000007,-77.89085150000028,42.43010752688172
