SL_Type,RR_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Profit_Factor,Total_Return_$,Total_Return_%,Max_Drawdown_%,Gross_Profit,Gross_Loss,Avg_Risk_Points
SL +20 points,2.5,4828,1531,3297,31.71085335542668,1.0648794329144913,6932.601929000117,6.932601929000117,4.026059704057811,113786.21666599986,106853.61473699979,32.50198472286662
SL +20 points,1.5,4828,2044,2784,42.33637116818558,1.0752266761891556,6791.258964000246,6.791258964000246,3.250932391443504,97068.52905000007,90277.27008599963,32.50198472286662
SL +30 points,1.5,4828,2056,2772,42.58492129246065,1.0579227650978522,6727.450330500221,6.72745033050022,3.4722201442771423,122872.63640949996,116145.18607899972,42.501984722866595
SL +30 points,1.0,4828,2500,2328,51.78127589063794,1.0628564270107528,6121.583401000155,6.121583401000155,3.233075836858272,103511.5193569999,97389.93595599971,42.501984722866595
SL +30 points,2.0,4828,1769,3059,36.64043082021541,1.043205667068334,5519.454253000242,5.519454253000242,5.595411692312919,133267.8406920001,127748.38643899982,42.501984722866595
SL +30 points,2.5,4828,1593,3235,32.995028997514495,1.0407347667377225,5505.123934500229,5.5051239345002285,4.044823404345121,140650.71025749994,135145.58632299982,42.501984722866595
SL +20 points,2.0,4828,1725,3103,35.72908036454018,1.0506383588626096,5097.09956600018,5.09709956600018,4.600318252440399,105753.98656800015,100656.88700199974,32.50198472286662
SL +15 points,1.5,4828,2017,2811,41.777133388566696,1.0507973357120766,3934.9526070002557,3.9349526070002554,3.602110986795179,81398.71230700027,77463.75969999976,27.50198472286654
SL +15 points,2.0,4828,1704,3124,35.294117647058826,1.0384744409438698,3319.716917000227,3.319716917000227,4.828457263624389,89603.41163900013,86283.69472199967,27.50198472286654
SL +20 points,1.0,4828,2484,2344,51.44987572493787,1.0431259039119993,3286.6840350001185,3.286684035000118,3.609025105712417,79498.04975399992,76211.36571900008,32.50198472286662
SL +15 points,2.5,4828,1482,3346,30.695940347970176,1.0311495917377076,2873.2651995001825,2.8732651995001826,4.885109358990304,95114.12741349998,92240.86221399976,27.50198472286654
SL at swing (5 candles),2.0,4828,1685,3143,34.90057995028997,1.0327125947856808,2358.668893000344,2.3586688930003437,3.000186265840225,74461.44485600003,72102.7759629997,22.2822170449462
SL at swing (5 candles),2.5,4828,1454,3374,30.115990057995027,1.0115997328499882,902.1051840003065,0.9021051840003066,4.066416401878561,78671.58450450019,77769.47932049971,22.2822170449462
SL at swing (5 candles),1.0,4828,2453,2375,50.80778790389395,1.0109367549087045,592.3571730001286,0.5923571730001286,2.5103561009006357,54754.41693800019,54162.05976499978,22.2822170449462
SL at swing (5 candles),1.5,4828,1982,2846,41.05219552609776,1.0054566631680244,356.6689825002186,0.3566689825002186,2.2693894314781518,65720.60505800003,65363.93607549975,22.2822170449462
SL +15 points,1.0,4828,2445,2383,50.642087821043916,1.0041719251701355,275.1753270000445,0.2751753270000445,3.973526027460201,66234.01106299987,65958.83573600001,27.50198472286654
SL at candle,1.0,4828,2477,2351,51.30488815244407,0.9965660038103389,-103.73913999999331,-0.1037391399999933,1.96886019597415,30105.71196899987,30209.45110899993,12.501984722866563
SL at candle,1.5,4828,1989,2839,41.19718309859155,0.9970487433886155,-106.91802899987397,-0.10691802899987397,2.362193685498874,36121.049606000095,36227.96763499991,12.501984722866563
SL at candle,2.5,4828,1427,3401,29.55675227837614,0.9753152778339277,-1070.2018044998713,-1.0702018044998713,2.3956809981499294,42284.62298549988,43354.82478999977,12.501984722866563
SL at candle,2.0,4828,1637,3191,33.90637945318973,0.9546797853929232,-1849.1322669998317,-1.8491322669998318,2.298967861017906,38952.357378,40801.48964499981,12.501984722866563
