direction,smt_datetime,smt_idx,fvg_type,fvg_top,fvg_bottom,entry_datetime,entry_idx,entry_price,stop_loss,take_profit,risk,reward,exit_datetime,exit_price,pnl,outcome
LONG,2018-01-12 03:30:00,424,Bearish,7896.206922,7895.914036,2018-01-15 01:00:00,432,7947.754861,7891.520746,8060.223091000001,56.2341150000002,112.4682300000004,2018-01-23 01:00:00,8060.223091000001,112.4682300000004,WIN
LONG,2018-01-12 03:45:00,429,Bearish,7896.206922,7895.914036,2018-01-15 01:00:00,432,7947.754861,7890.934974,8061.3946350000015,56.81988700000056,113.63977400000113,2018-01-23 01:00:00,8061.3946350000015,113.63977400000113,WIN
SHORT,2018-01-15 02:00:00,448,Bullish,7948.633519,7946.583316,2018-01-15 02:05:00,450,7945.411772,7953.026809,7930.181698000001,7.615036999999575,15.23007399999915,2018-01-16 01:00:00,7953.026809,-7.615036999999575,LOSS
LONG,2018-01-15 02:15:00,453,Bearish,7944.826,7942.190026,2018-01-15 02:25:00,455,7946.876202,7940.43271,7959.763186000001,6.443492000000333,12.886984000000666,2018-01-16 01:00:00,7959.763186000001,12.886984000000666,WIN
SHORT,2018-01-16 03:45:00,524,Bullish,7971.185742,7970.59997,2018-01-17 01:00:00,528,7925.78841,7977.336348,7822.692534000001,51.547937999999704,103.09587599999941,2018-01-18 01:00:00,7977.336348,-51.547937999999704,LOSS
LONG,2018-01-22 01:45:00,685,Bearish,8013.9471,8013.361328,2018-01-22 02:15:00,692,8015.41153,8009.553809,8027.126972000001,5.857721000000311,11.715442000000621,2018-01-23 01:00:00,8027.126972000001,11.715442000000621,WIN
LONG,2018-01-22 02:00:00,688,Bearish,8013.9471,8013.361328,2018-01-22 02:15:00,692,8015.41153,8007.796493,8030.641604000001,7.615037000000484,15.230074000000968,2018-01-23 01:00:00,8030.641604000001,15.230074000000968,WIN
SHORT,2018-01-22 02:30:00,697,Bullish,8014.532872,8013.9471,2018-01-22 03:00:00,704,8013.654214,8022.440794,7996.081054,8.786579999999958,17.573159999999916,2018-01-23 01:00:00,8022.440794,-8.786579999999958,LOSS
LONG,2018-01-25 01:45:00,828,Bearish,8122.022039,8121.14338,2018-01-25 02:15:00,836,8127.001101,8112.3568,8156.289703,14.644301000000269,29.288602000000537,2018-01-26 03:45:00,8156.289703,29.288602000000537,WIN
SHORT,2018-02-06 03:00:00,1233,Bullish,7620.015411,7618.258095,2018-02-06 03:10:00,1235,7617.672323,7660.726567,7531.563835,43.054243999999926,86.10848799999985,2018-02-07 01:00:00,7660.726567,-43.054243999999926,LOSS
LONG,2018-02-06 03:45:00,1245,Bearish,7608.592857,7601.270707,2018-02-07 01:00:00,1248,7746.835055,7576.668281,8087.168602999998,170.16677399999935,340.3335479999987,2018-02-09 01:00:00,7576.668281,-170.16677399999935,LOSS
SHORT,2018-02-07 01:15:00,1252,Bullish,7737.462703,7733.655185,2018-02-07 01:30:00,1256,7726.040148,7755.621636,7666.877172,29.58148799999981,59.16297599999962,2018-02-09 01:00:00,7666.877172,59.16297599999962,WIN
LONG,2018-02-07 02:00:00,1265,Bearish,7736.291159,7734.533843,2018-02-07 02:30:00,1273,7737.169817,7702.023495,7807.462460999999,35.1463219999996,70.2926439999992,2018-02-08 01:00:00,7702.023495,-35.1463219999996,LOSS
LONG,2018-02-07 02:15:00,1268,Bearish,7736.291159,7734.533843,2018-02-07 02:30:00,1273,7737.169817,7701.144837,7809.219777,36.02498000000014,72.04996000000028,2018-02-08 01:00:00,7701.144837,-36.02498000000014,LOSS
SHORT,2018-02-09 02:45:00,1372,Bullish,7456.29213,7450.727296,2018-02-09 03:15:00,1381,7444.283803,7471.522203,7389.807003,27.238400000000183,54.47680000000037,2018-02-12 01:00:00,7471.522203,-27.238400000000183,LOSS
SHORT,2018-02-09 02:45:00,1373,Bullish,7456.29213,7450.727296,2018-02-09 03:15:00,1381,7444.283803,7472.693747,7387.463915,28.409943999999996,56.81988799999999,2018-02-12 01:00:00,7472.693747,-28.409943999999996,LOSS
SHORT,2018-02-16 03:30:00,1624,Bullish,8027.712742,8024.783882,2018-02-19 01:00:00,1632,7984.072726,8036.499323,7879.219532000001,52.426596999999674,104.85319399999935,2018-02-22 01:00:00,7879.219532000001,104.85319399999935,WIN
LONG,2018-02-19 03:15:00,1668,Bearish,7972.357286,7971.185742,2018-02-19 03:30:00,1672,7972.943058,7967.378223,7984.072728,5.56483500000013,11.12967000000026,2018-02-20 01:00:00,7967.378223,-5.56483500000013,LOSS
LONG,2018-02-20 03:30:00,1720,Bearish,7919.052031,7918.759145,2018-02-21 01:00:00,1728,7977.043462,7891.813632,8147.503121999998,85.22982999999931,170.45965999999862,2018-02-22 01:00:00,7891.813632,-85.22982999999931,LOSS
LONG,2018-02-20 03:45:00,1724,Bearish,7907.922363,7904.993503,2018-02-21 01:00:00,1728,7977.043462,7887.420342,8156.289701999998,89.62311999999929,179.24623999999858,2018-02-22 01:00:00,7887.420342,-89.62311999999929,LOSS
LONG,2018-02-22 01:30:00,1784,Bearish,7883.90571,7883.027052,2018-02-22 01:45:00,1789,7884.784368,7867.211207,7919.930689999998,17.573160999999345,35.14632199999869,2018-02-22 03:00:00,7867.211207,-17.573160999999345,LOSS
