trade_id,date,setup_type,entry_price,stop_loss,risk,strategy,1R_outcome,1R_level,1.5R_outcome,1.5R_level,2R_outcome,2R_level,2.5R_outcome,2.5R_level,Equilibrium_outcome,Equilibrium_level,Equilibrium_RR,Full_Range_outcome,Full_Range_level,Full_Range_RR
22,2018-02-01,buy,8179.720583,8165.954941,13.765642000000298,Swing_SL,LOSS,8193.486225,LOSS,8200.369046,LOSS,8207.251867,LOSS,8214.134688000002,WIN,8179.720583,0.0,LOSS,8186.456961,0.4893617021276202
25,2018-02-06,sell,7547.37968,7630.266422,82.88674199999969,Swing_SL,NO_TOUCH,7464.492938,NO_TOUCH,7423.049567,NO_TOUCH,7381.606196000001,NO_TOUCH,7340.162825000001,NO_TOUCH,7450.2879665,1.1713780896346528,NO_TOUCH,7334.158662,2.5724381590484158
27,2018-02-08,sell,7716.37491,7728.676122,12.301211999999396,Swing_SL,WIN,7704.073698000001,WIN,7697.923092000001,WIN,7691.772486000002,WIN,7685.621880000002,WIN,7680.2034875,2.940476312415581,NO_TOUCH,7647.839583,5.571428815307295
28,2018-02-09,sell,7444.283803,7472.693747,28.409943999999996,Swing_SL,NO_TOUCH,7415.873859,NO_TOUCH,7401.668887,NO_TOUCH,7387.463915,NO_TOUCH,7373.258943000001,NO_TOUCH,7413.823657999999,1.072164908174438,NO_TOUCH,7367.254782,2.711340120909788
37,2018-02-22,sell,7876.583559,7893.278062,16.694503000000623,Swing_SL,LOSS,7859.889055999999,LOSS,7851.541804499999,LOSS,7843.194552999998,LOSS,7834.847301499998,WIN,7865.746777,0.6491227681350561,LOSS,7843.194554,1.9999999400999688
42,2018-03-01,sell,8062.859064,8082.189541,19.33047699999952,Swing_SL,WIN,8043.528587000001,WIN,8033.863348500001,WIN,8024.198110000001,NO_TOUCH,8014.532871500001,WIN,8036.792208999999,1.348484830457189,NO_TOUCH,8014.532872,2.499999974134195
63,2018-04-02,buy,7649.413132,7632.486424,16.926707999999962,Swing_SL,NO_TOUCH,7666.33984,NO_TOUCH,7674.803194,NO_TOUCH,7683.266548,NO_TOUCH,7691.729901999999,NO_TOUCH,7662.8377635,0.7931035083726891,NO_TOUCH,7677.137914,1.6379311322674375
66,2018-04-05,sell,7745.136588,7768.191933,23.05534499999976,Swing_SL,WIN,7722.0812430000005,WIN,7710.5535705,NO_TOUCH,7699.025898000001,NO_TOUCH,7687.498225500001,WIN,7712.304609999999,1.4240506051851063,NO_TOUCH,7682.39103,2.721518936281421
67,2018-04-06,sell,7637.4477,7650.580492,13.132792000000336,Swing_SL,LOSS,7624.314907999999,LOSS,7617.748511999999,LOSS,7611.182115999999,LOSS,7604.615719999999,LOSS,7602.8646835,2.6333331480464226,LOSS,7570.616385,5.088888562310112
73,2018-04-16,buy,7775.487928,7753.891783,21.596144999999524,Swing_SL,WIN,7797.084072999999,WIN,7807.882145499999,NO_TOUCH,7818.680217999999,NO_TOUCH,7829.478290499998,WIN,7786.7237605,0.5202702843493928,WIN,7808.757666,1.5405405918510735
77,2018-04-20,buy,7899.228006,7860.705151,38.52285500000016,Swing_SL,NO_TOUCH,7937.750861,NO_TOUCH,7957.0122885,NO_TOUCH,7976.273716000001,NO_TOUCH,7995.535143500001,NO_TOUCH,7911.923037,0.32954543478148846,NO_TOUCH,7926.660947,0.7121211810495331
81,2018-04-26,buy,7685.309428,7657.000967,28.308460999999625,Swing_SL,NO_TOUCH,7713.617888999999,NO_TOUCH,7727.7721194999995,NO_TOUCH,7741.926349999999,NO_TOUCH,7756.080580499998,WIN,7696.691181,0.40206187824907624,NO_TOUCH,7719.162846,1.195876314152191
105,2018-05-30,sell,8119.275219,8136.493767,17.218547999999828,Swing_SL,NO_TOUCH,8102.056671,NO_TOUCH,8093.447397,NO_TOUCH,8084.838123,NO_TOUCH,8076.228849000001,NO_TOUCH,8094.468835,1.4406780409126647,NO_TOUCH,8076.374767,2.491525533976517
108,2018-06-04,sell,8297.00566,8306.636374,9.630713999998989,Swing_SL,LOSS,8287.374946000002,LOSS,8282.559589000002,LOSS,8277.744232000003,LOSS,8272.928875000003,LOSS,8285.623907500001,1.1818181393405192,LOSS,8271.323757,2.666666562832548
112,2018-06-08,buy,8328.561675,8304.127504,24.434171000000788,Swing_SL,LOSS,8352.995846000002,LOSS,8365.212931500002,LOSS,8377.430017000002,LOSS,8389.647102500003,LOSS,8342.7010745,0.5786731827324691,LOSS,8359.167538,1.2525844646007378
