Date,Time,Type,Entry_Price,Open_830,High_830,Low_830,Close_830,Max_High_Prev5,Min_Low_Prev5,Prev_Candles_Start,Prev_Candles_End
2018-01-02,08:30:00,Bearish,7533.028265,7545.329478,7550.601426,7528.634975,7533.028265,7548.84411,7535.957126,08:05:00,08:25:00
2018-01-03,08:30:00,Bullish,7660.726567,7646.082267,7661.898111,7645.496495,7660.726567,7651.354215,7640.810318,08:05:00,08:25:00
2018-01-05,08:30:00,Bearish,7755.32875,7762.6509,7769.387278,7752.692776,7755.32875,7768.50862,7757.378952,08:05:00,08:25:00
2018-01-08,08:30:00,Bullish,7811.85575,7803.947828,7817.127699,7801.018968,7811.85575,7805.705144,7798.67588,08:05:00,08:25:00
2018-01-09,08:30:00,Bearish,7849.052274,7849.638046,7854.617108,7845.537642,7849.052274,7856.081538,7848.759388,08:05:00,08:25:00
2018-01-10,08:30:00,Bullish,7805.705144,7798.968766,7810.098434,7787.839097,7805.705144,7798.968766,7791.939501,08:05:00,08:25:00
2018-01-11,08:30:00,Bearish,7829.136025,7830.307569,7833.822201,7825.328507,7829.136025,7835.286631,7830.307569,08:05:00,08:25:00
2018-01-16,08:30:00,Bullish,7996.666825,7977.629234,7996.959711,7977.336348,7996.666825,7981.729638,7973.235944,08:05:00,08:25:00
2018-01-17,08:30:00,Bearish,7927.838612,7945.704658,7945.704658,7926.959954,7927.838612,7961.227617,7943.068684,08:05:00,08:25:00
2018-01-22,08:30:00,Bearish,8013.361328,8014.239986,8017.168846,8006.624949,8013.361328,8018.633276,8008.968037,08:05:00,08:25:00
2018-01-23,08:30:00,Bullish,8131.980163,8129.637075,8136.959225,8125.536671,8131.980163,8131.394391,8118.21452,08:05:00,08:25:00
2018-01-24,08:30:00,Bearish,8185.871189,8186.164075,8193.486226,8179.720583,8185.871189,8190.557366,8181.770785,08:05:00,08:25:00
2018-01-25,08:30:00,Bearish,8167.712257,8170.348231,8174.155749,8154.825272,8167.712257,8181.185013,8164.783396,08:05:00,08:25:00
2018-01-26,08:30:00,Bearish,8150.139096,8156.875474,8160.975878,8141.352515,8150.139096,8163.904738,8155.996816,08:05:00,08:25:00
2018-01-29,08:30:00,Bearish,8199.343946,8217.502879,8218.674423,8194.65777,8199.343946,8218.381537,8204.90878,08:05:00,08:25:00
2018-01-31,08:30:00,Bullish,8181.185013,8174.448635,8186.456961,8172.105547,8181.185013,8178.549039,8165.662055,08:05:00,08:25:00
2018-02-01,08:30:00,Bullish,8122.022039,8099.762701,8127.293987,8096.540955,8122.022039,8101.520018,8081.310883,08:05:00,08:25:00
2018-02-02,08:30:00,Bullish,8065.495038,8061.68752,8069.888328,8049.679193,8065.495038,8061.980406,8039.721069,08:05:00,08:25:00
2018-02-06,08:30:00,Bullish,7586.626406,7508.718726,7586.919292,7467.128912,7586.626406,7555.287603,7494.367312,08:05:00,08:25:00
2018-02-07,08:30:00,Bearish,7777.588087,7785.496009,7797.21145,7759.72204,7777.588087,7796.039906,7764.408216,08:05:00,08:25:00
2018-02-08,08:30:00,Bearish,7716.667796,7730.140553,7737.169817,7707.588329,7716.667796,7749.471029,7723.404174,08:05:00,08:25:00
2018-02-09,08:30:00,Bullish,7497.589058,7487.630933,7520.141281,7480.308783,7497.589058,7492.902882,7458.049446,08:05:00,08:25:00
2018-02-12,08:30:00,Bullish,7609.471515,7585.747748,7618.550981,7581.94023,7609.471515,7589.26238,7543.865048,08:05:00,08:25:00
2018-02-13,08:30:00,Bullish,7609.178629,7599.513391,7623.237158,7590.141038,7609.178629,7603.320909,7587.79795,08:05:00,08:25:00
2018-02-14,08:30:00,Bullish,7658.383479,7639.345888,7671.270464,7634.07394,7658.383479,7643.739179,7617.379437,08:05:00,08:25:00
2018-02-15,08:30:00,Bearish,7868.089865,7894.15672,7897.671352,7866.625435,7868.089865,7894.742492,7882.734166,08:05:00,08:25:00
2018-02-19,08:30:00,Bearish,7957.420099,7973.52883,7974.99326,7957.127213,7957.420099,7975.286146,7965.328021,08:05:00,08:25:00
2018-02-20,08:30:00,Bullish,7926.959954,7905.286389,7929.595928,7902.064642,7926.959954,7909.972565,7895.914036,08:05:00,08:25:00
2018-02-21,08:30:00,Bullish,7992.566421,7986.415814,7999.595685,7973.821716,7992.566421,7989.930446,7978.507892,08:05:00,08:25:00
2018-02-22,08:30:00,Bullish,7981.143866,7960.056073,7982.31541,7956.248555,7981.143866,7967.085337,7953.026809,08:05:00,08:25:00
2018-02-23,08:30:00,Bullish,7992.566421,7986.7087,7995.788167,7972.943058,7992.566421,7993.737965,7983.77984,08:05:00,08:25:00
2018-02-26,08:30:00,Bullish,8137.544997,8123.193583,8139.888085,8118.21452,8137.544997,8129.051303,8119.67895,08:05:00,08:25:00
2018-02-27,08:30:00,Bearish,8183.528101,8196.415086,8200.808376,8180.892127,8183.528101,8201.394148,8189.092936,08:05:00,08:25:00
2018-02-28,08:30:00,Bearish,8130.515733,8137.544997,8143.109831,8129.344189,8130.515733,8139.595199,8132.273049,08:05:00,08:25:00
2018-03-01,08:30:00,Bullish,8057.587116,8042.942815,8071.059872,8039.135297,8057.587116,8061.68752,8042.649929,08:05:00,08:25:00
2018-03-02,08:30:00,Bullish,7839.679922,7817.127699,7854.324222,7808.341118,7839.679922,7828.550253,7807.755346,08:05:00,08:25:00
2018-03-05,08:30:00,Bullish,7963.863591,7944.826,7968.549767,7943.068684,7963.863591,7948.633519,7935.746534,08:05:00,08:25:00
2018-03-06,08:30:00,Bullish,8109.42794,8104.741764,8113.235458,8096.833841,8109.42794,8108.842168,8098.005385,08:05:00,08:25:00
2018-03-07,08:30:00,Bullish,8057.29423,8040.013955,8064.030608,8032.398918,8057.29423,8052.315167,8030.641602,08:05:00,08:25:00
2018-03-09,08:30:00,Bearish,8220.251791,8225.213068,8229.882505,8217.625233,8220.251791,8235.427461,8224.337548,08:05:00,08:25:00
