====================================================================================================
RAPPORT D'ANALYSE - STRATÉGIE BOUGIE 8H30 (OUVERTURE NEW YORK)
====================================================================================================

Critères de la stratégie:
  - BULLISH: le HIGH de la bougie 8h30 dépasse le HIGH maximum des 5 bougies précédentes
  - BEARISH: le LOW de la bougie 8h30 est inférieur au LOW minimum des 5 bougies précédentes

Période analysée: 2018-2025

----------------------------------------------------------------------------------------------------
RÉSUMÉ
----------------------------------------------------------------------------------------------------
  Trades identifiés sur 1 minute:  1680 trades
  Trades identifiés sur 5 minutes: 1750 trades
  Trades identifiés sur 15 minutes: 1583 trades

  1 minute: 881 Bullish, 799 Bearish
  5 minutes: 899 Bullish, 851 Bearish
  15 minutes: 826 Bullish, 757 Bearish

====================================================================================================
TRADES IDENTIFIÉS - BOUGIES 1 MINUTE
====================================================================================================

Statistiques par année:
  2018: 114 Bullish, 89 Bearish (Total: 203)
  2019: 111 Bullish, 108 Bearish (Total: 219)
  2020: 110 Bullish, 108 Bearish (Total: 218)
  2021: 121 Bullish, 109 Bearish (Total: 230)
  2022: 128 Bullish, 93 Bearish (Total: 221)
  2023: 120 Bullish, 91 Bearish (Total: 211)
  2024: 91 Bullish, 103 Bearish (Total: 194)
  2025: 86 Bullish, 98 Bearish (Total: 184)

----------------------------------------------------------------------------------------------------
Liste détaillée des trades:
----------------------------------------------------------------------------------------------------

Date         Type     Entry Price    High 8h30      Low 8h30       Max High Prev5   Min Low Prev5   
----------------------------------------------------------------------------------------------------
2018-01-02   Bullish  7546.79        7550.60        7541.81        7548.84          7543.28         
2018-01-04   Bearish  7739.51        7743.03        7733.95        7747.13          7741.27         
2018-01-05   Bearish  7758.55        7764.41        7755.91        7766.75          7760.01         
2018-01-08   Bullish  7805.41        7807.46        7802.48        7805.71          7798.68         
2018-01-10   Bearish  7790.18        7801.31        7787.84        7798.97          7792.23         
2018-01-12   Bearish  7856.37        7865.16        7853.15        7865.16          7858.72         
2018-01-16   Bullish  7982.02        7986.42        7977.34        7981.73          7973.24         
2018-01-17   Bearish  7941.60        7945.70        7938.09        7952.15          7943.07         
2018-01-24   Bearish  8182.06        8189.09        8179.72        8189.09          8184.41         
2018-01-26   Bearish  8151.90        8160.98        8151.02        8160.10          8156.00         
2018-01-29   Bearish  8212.52        8218.67        8208.42        8218.38          8210.77         
2018-01-30   Bearish  8105.03        8123.49        8098.88        8127.00          8116.46         
2018-01-31   Bullish  8181.19        8184.70        8172.11        8178.55          8171.52         
2018-02-01   Bullish  8103.86        8107.67        8096.54        8100.93          8093.03         
2018-02-02   Bullish  8063.44        8064.03        8049.68        8061.69          8040.89         
2018-02-05   Bearish  7832.94        7858.13        7828.84        7869.85          7849.35         
2018-02-06   Bearish  7471.52        7509.60        7467.13        7523.07          7494.37         
2018-02-07   Bullish  7789.89        7797.21        7764.12        7796.04          7777.30         
2018-02-12   Bullish  7598.63        7600.39        7583.70        7589.26          7571.10         
2018-02-14   Bullish  7645.79        7662.19        7634.07        7643.74          7626.46         
2018-02-15   Bearish  7883.91        7897.67        7883.61        7894.74          7885.96         
2018-02-16   Bullish  7958.59        7961.52        7946.29        7957.71          7941.02         
2018-02-19   Bearish  7972.65        7974.99        7971.77        7975.29          7972.36         
2018-02-20   Bullish  7907.92        7910.85        7902.06        7907.92          7898.55         
2018-02-21   Bearish  7981.73        7987.88        7978.80        7989.93          7984.37         
2018-02-22   Bullish  7961.23        7967.09        7959.47        7964.45          7954.78         
2018-02-23   Bearish  7985.54        7992.27        7980.56        7988.47          7985.24         
2018-02-26   Bullish  8125.83        8129.64        8122.02        8129.05          8120.85         
2018-02-27   Bearish  8188.51        8199.05        8186.75        8197.59          8189.39         
2018-02-28   Bullish  8139.89        8142.23        8137.25        8139.60          8134.32         
2018-03-02   Bullish  7823.28        7825.33        7808.34        7817.13          7807.76         
2018-03-05   Bullish  7952.73        7953.91        7943.07        7946.58          7935.75         
2018-03-06   Bullish  8111.19        8111.19        8103.28        8107.67          8103.57         
2018-03-07   Bullish  8048.21        8050.56        8032.40        8040.89          8030.64         
2018-03-09   Bullish  8228.72        8229.01        8220.25        8228.42          8224.34         
2018-03-12   Bearish  8343.70        8348.95        8343.41        8349.54          8346.62         
2018-03-13   Bearish  8401.19        8404.40        8398.57        8405.28          8399.73         
2018-03-14   Bullish  8298.17        8301.97        8292.92        8297.30          8290.29         
2018-03-15   Bullish  8254.98        8258.48        8251.48        8257.02          8252.35         
2018-03-16   Bullish  8259.36        8264.32        8250.02        8252.35          8244.47         
2018-03-19   Bearish  8121.90        8140.58        8121.61        8140.87          8133.28         
2018-03-20   Bullish  8041.94        8048.36        8035.52        8046.02          8033.77         
2018-03-21   Bearish  8038.14        8040.19        8031.72        8040.19          8035.81         
2018-03-23   Bullish  7829.48        7832.40        7810.51        7824.81          7811.09         
2018-03-26   Bullish  7777.24        7777.24        7767.90        7769.65          7757.69         
2018-03-27   Bearish  7947.38        7961.10        7943.59        7960.81          7952.93         
2018-03-28   Bearish  7600.68        7608.26        7590.17        7609.14          7592.21         
2018-03-29   Bullish  7602.14        7605.35        7589.00        7602.72          7591.05         
2018-04-02   Bearish  7629.28        7636.57        7621.69        7638.03          7630.15         
2018-04-04   Bullish  7415.94        7419.44        7397.85        7413.02          7404.27         
2018-04-05   Bearish  7736.09        7748.35        7731.71        7747.76          7742.51         
2018-04-09   Bullish  7589.00        7592.80        7581.41        7590.46          7578.50         
2018-04-10   Bullish  7702.53        7703.11        7686.77        7691.44          7686.48         
2018-04-11   Bullish  7703.40        7703.99        7688.81        7694.65          7688.81         
2018-04-13   Bullish  7828.02        7828.89        7821.89        7828.02          7820.43         
2018-04-16   Bullish  7800.59        7805.55        7798.25        7803.80          7798.84         
2018-04-17   Bearish  7874.42        7882.88        7872.67        7884.64          7879.97         
2018-04-18   Bearish  7972.19        7976.86        7970.44        7980.65          7973.65         
2018-04-23   Bearish  7821.01        7827.44        7818.10        7823.64          7820.72         
2018-04-24   Bullish  7810.51        7811.97        7799.13        7805.84          7800.29         
2018-04-25   Bearish  7612.06        7617.89        7608.56        7617.60          7611.77         
2018-04-26   Bearish  7705.15        7716.24        7701.36        7718.29          7708.07         
2018-04-27   Bearish  7882.88        7887.26        7879.38        7893.68          7882.01         
2018-04-30   Bullish  7798.84        7799.13        7791.54        7797.38          7792.71         
2018-05-01   Bearish  7695.23        7703.11        7691.73        7703.40          7692.90         
2018-05-02   Bearish  7808.76        7823.93        7804.09        7826.85          7819.26         
2018-05-03   Bullish  7722.37        7727.63        7713.91        7726.17          7718.00         
2018-05-04   Bullish  7724.42        7731.13        7722.66        7730.25          7720.33         
2018-05-07   Bearish  7939.79        7947.38        7936.00        7950.01          7940.67         
2018-05-08   Bearish  7951.18        7958.18        7951.18        7957.30          7951.47         
2018-05-09   Bearish  7973.94        7979.78        7972.77        7980.94          7975.98         
2018-05-10   Bearish  8071.71        8075.50        8068.20        8076.08          8073.75         
2018-05-11   Bullish  8124.24        8124.82        8116.65        8122.49          8117.82         
2018-05-14   Bullish  8148.46        8148.46        8140.87        8142.62          8139.12         
2018-05-16   Bullish  8055.65        8059.74        8053.90        8058.57          8050.40         
2018-05-17   Bullish  8069.66        8071.41        8064.41        8069.66          8064.41         
2018-05-21   Bullish  8092.72        8092.72        8082.50        8087.46          8082.50         
2018-05-22   Bearish  8103.22        8106.43        8102.06        8105.56          8103.52         
2018-05-23   Bullish  8000.79        8003.41        7994.37        7994.95          7989.70         
2018-05-24   Bearish  8112.27        8122.19        8111.40        8125.40          8117.82         
2018-05-25   Bullish  8130.37        8131.24        8118.69        8124.82          8117.23         
2018-05-28   Bullish  8143.79        8145.54        8140.87        8144.37          8140.00         
2018-05-29   Bullish  8093.59        8100.89        8086.59        8091.55          8078.42         
2018-05-31   Bearish  8144.37        8149.33        8139.41        8151.96          8144.37         
2018-06-01   Bullish  8184.65        8190.19        8182.60        8188.15          8182.60         
2018-06-04   Bullish  8297.30        8298.76        8288.25        8294.38          8290.88         
2018-06-05   Bullish  8366.76        8367.05        8362.38        8364.42          8357.42         
2018-06-06   Bullish  8385.14        8386.02        8379.60        8381.06          8377.85         
2018-06-07   Bearish  8413.74        8423.08        8412.57        8422.20          8417.54         
2018-06-08   Bullish  8316.64        8321.29        8306.16        8308.49          8300.35         
2018-06-11   Bullish  8346.89        8348.34        8342.52        8345.72          8341.65         
2018-06-12   Bullish  8386.74        8387.90        8383.25        8387.32          8384.99         
2018-06-13   Bearish  8426.88        8432.41        8425.13        8432.41          8426.59         
2018-06-18   Bearish  8404.77        8415.83        8404.19        8415.83          8410.88         
2018-06-19   Bullish  8363.76        8363.76        8351.83        8358.52          8350.67         
2018-06-21   Bullish  8527.82        8528.11        8517.93        8521.13          8515.89         
2018-06-22   Bearish  8445.21        8456.84        8444.91        8457.71          8453.93         
2018-06-25   Bearish  8322.16        8331.18        8317.80        8332.63          8326.53         
2018-06-26   Bullish  8247.99        8250.31        8239.55        8246.53          8243.04         
2018-06-27   Bullish  8286.09        8291.33        8278.82        8286.09          8278.53         
2018-06-28   Bullish  8126.69        8129.60        8122.91        8125.82          8118.25         
2018-06-29   Bullish  8255.26        8257.00        8242.46        8245.95          8241.59         
2018-07-03   Bearish  8305.00        8311.98        8304.71        8314.89          8309.07         
2018-07-05   Bullish  8243.91        8247.70        8235.48        8245.37          8234.02         
2018-07-06   Bearish  8300.06        8304.71        8295.40        8308.78          8301.51         
2018-07-09   Bullish  8461.50        8462.66        8454.22        8458.00          8452.19         
2018-07-11   Bullish  8429.50        8431.83        8421.35        8431.53          8425.43         
2018-07-12   Bearish  8486.51        8488.84        8481.28        8488.55          8484.47         
2018-07-13   Bullish  8595.30        8599.37        8591.81        8593.85          8590.07         
2018-07-16   Bearish  8601.41        8607.81        8599.66        8607.52          8603.16         
2018-07-17   Bullish  8502.22        8505.13        8488.55        8493.78          8487.38         
2018-07-19   Bullish  8592.97        8593.56        8581.05        8586.87          8583.38         
2018-07-23   Bullish  8553.41        8554.00        8540.32        8544.40          8540.03         
2018-07-24   Bullish  8690.13        8690.13        8682.57        8684.31          8679.95         
2018-07-25   Bullish  8637.48        8638.64        8629.04        8636.32          8632.83         
2018-07-26   Bullish  8643.30        8644.75        8625.55        8633.70          8614.50         
2018-07-27   Bearish  8671.80        8676.46        8665.11        8676.17          8669.19         
2018-07-31   Bullish  8423.68        8425.72        8404.19        8423.68          8399.25         
2018-08-01   Bullish  8469.06        8474.00        8459.17        8463.24          8458.30         
2018-08-02   Bullish  8410.88        8417.86        8406.23        8412.05          8405.65         
2018-08-03   Bearish  8594.14        8607.52        8593.85        8604.90          8596.76         
2018-08-06   Bearish  8603.45        8609.55        8603.45        8610.14          8606.35         
2018-08-07   Bullish  8688.38        8691.87        8683.73        8688.38          8685.18         
2018-08-09   Bearish  8698.86        8700.31        8695.66        8700.31          8696.82         
2018-08-10   Bearish  8633.70        8638.93        8632.53        8640.68          8634.57         
2018-08-13   Bullish  8652.31        8653.48        8641.84        8650.28          8644.46         
2018-08-14   Bearish  8652.90        8656.39        8645.92        8658.13          8652.02         
2018-08-15   Bearish  8604.03        8610.14        8601.70        8608.68          8602.86         
2018-08-20   Bearish  8615.37        8618.57        8612.75        8620.03          8615.37         
2018-08-21   Bearish  8611.01        8616.24        8609.55        8615.37          8611.01         
2018-08-23   Bullish  8640.97        8646.21        8636.02        8636.90          8631.08         
2018-08-24   Bullish  8671.51        8672.39        8663.66        8668.02          8664.53         
2018-08-27   Bullish  8770.70        8771.29        8761.98        8764.89          8761.40         
2018-08-28   Bearish  8824.23        8830.92        8823.94        8830.63          8826.26         
2018-08-29   Bullish  8835.86        8838.77        8830.63        8834.41          8830.63         
2018-08-30   Bullish  8903.35        8908.29        8899.86        8904.51          8900.15         
2018-08-31   Bullish  8899.27        8899.56        8890.26        8894.04          8889.38         
2018-09-04   Bearish  8886.18        8887.93        8880.95        8891.42          8885.31         
2018-09-05   Bearish  8856.51        8861.46        8850.99        8865.24          8858.55         
2018-09-06   Bullish  8770.41        8771.87        8760.52        8766.63          8759.94         
2018-09-07   Bullish  8627.88        8629.63        8616.54        8620.90          8610.72         
2018-09-10   Bullish  8696.53        8699.44        8689.26        8693.33          8689.55         
2018-09-11   Bullish  8642.72        8644.75        8633.99        8638.06          8631.37         
2018-09-12   Bearish  8717.47        8728.82        8713.98        8729.11          8723.00         
2018-09-13   Bullish  8768.11        8773.90        8765.79        8767.24          8763.47         
2018-09-14   Bearish  8806.66        8819.70        8806.08        8820.57          8811.87         
2018-09-17   Bearish  8756.51        8765.50        8756.22        8765.50          8761.73         
2018-09-19   Bullish  8728.98        8731.01        8725.21        8727.53          8722.31         
2018-09-20   Bullish  8789.84        8790.13        8771.87        8779.99          8776.51         
2018-09-21   Bearish  8839.12        8841.44        8827.52        8851.87          8834.77         
2018-09-24   Bearish  8699.41        8707.24        8697.96        8705.79          8700.57         
2018-09-25   Bullish  8786.08        8791.87        8783.47        8789.84          8782.89         
2018-09-26   Bullish  8815.06        8818.25        8802.89        8814.48          8804.34         
2018-09-27   Bullish  8845.78        8847.81        8840.57        8842.60          8834.48         
2018-09-28   Bullish  8859.12        8860.57        8850.71        8853.90          8843.76         
2018-10-02   Bullish  8883.75        8890.71        8878.83        8883.46          8878.54         
2018-10-03   Bullish  8915.64        8918.54        8906.65        8913.90          8909.55         
2018-10-05   Bullish  8707.82        8710.43        8696.22        8709.85          8701.73         
2018-10-08   Bearish  8563.19        8571.88        8553.04        8580.00          8561.45         
2018-10-09   Bullish  8558.55        8565.21        8549.56        8557.10          8547.82         
2018-10-10   Bearish  8512.17        8528.69        8506.96        8529.56          8520.58         
2018-10-12   Bullish  8307.54        8316.53        8301.17        8308.99          8289.57         
