date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2018-01-10,08:30:00,bullish_830_to_bearish_breakdown,7798.968766,7813.027294,7787.839097,7802.483398,7802.776284,7808.048232,7771.43748,7783.738693,7799.261652,7789.889299,2018
2018-01-30,08:30:00,bullish_830_to_bearish_breakdown,8123.486469,8141.938287,8098.884043,8132.858821,8132.565935,8133.151707,8102.984448,8105.913308,8157.754132,8116.457204,2018
2018-02-07,08:30:00,bearish_830_to_bullish_breakout,7785.496009,7812.148636,7759.72204,7783.738693,7783.152921,7808.92689,7760.014926,7804.240714,7796.039906,7758.843382,2018
2018-02-15,08:30:00,bearish_830_to_bullish_breakout,7894.15672,7897.671352,7852.566906,7878.047989,7878.047989,7913.194311,7877.462217,7910.558337,7894.742492,7858.717512,2018
2018-02-28,08:30:00,bearish_830_to_bullish_breakout,8137.544997,8143.109831,8116.457204,8122.607811,8122.314925,8151.603526,8114.699888,8151.603526,8139.595199,8120.264722,2018
2018-03-06,08:30:00,bearish_830_to_bullish_breakout,8104.741764,8113.235458,8085.997059,8087.168603,8086.582831,8123.193583,8081.310883,8117.628748,8110.306598,8093.319209,2018
2018-04-24,08:30:00,bullish_830_to_bearish_breakdown,7802.92087,7811.967904,7788.620719,7803.21271,7803.21271,7816.345501,7760.312258,7782.492083,7828.310933,7800.294312,2018
2018-05-01,08:30:00,bearish_830_to_bullish_breakout,7698.734059,7712.74237,7679.764472,7681.515511,7682.099191,7727.91804,7680.639991,7722.373084,7717.703647,7692.897263,2018
2018-05-03,08:30:00,bearish_830_to_bullish_breakout,7721.789404,7727.6262,7692.897263,7699.317739,7699.901419,7749.514186,7697.5667,7742.51003,7726.750681,7710.115812,2018
2018-05-09,08:30:00,bullish_830_to_bearish_breakdown,7976.273714,7988.822826,7963.140923,7983.569709,7982.98603,7991.157544,7960.514365,7964.016442,7987.655466,7975.981874,2018
2018-05-16,08:30:00,bearish_830_to_bullish_breakout,8054.778622,8067.911413,8050.692864,8053.319423,8053.319423,8082.795243,8052.443903,8079.585005,8058.572539,8036.392714,2018
2018-05-17,08:30:00,bearish_830_to_bullish_breakout,8069.078772,8082.211563,8062.074617,8066.744054,8066.744054,8083.962602,8065.868534,8071.99717,8071.70533,8052.443903,2018
2018-05-25,08:30:00,bearish_830_to_bullish_breakout,8120.734418,8132.69985,8104.391389,8109.936345,8110.520024,8142.038723,8109.352665,8136.493767,8128.030413,8104.683228,2018
2018-05-30,08:30:00,bullish_830_to_bearish_breakdown,8123.944655,8131.82433,8114.605782,8124.236495,8124.236495,8138.828486,8109.644505,8114.897622,8137.661126,8116.356821,2018
2018-06-05,08:30:00,bearish_830_to_bullish_breakout,8364.420655,8370.257451,8353.038903,8363.836975,8364.128815,8374.343208,8361.502257,8374.343208,8364.420655,8349.828665,2018
2018-06-18,08:30:00,bearish_830_to_bullish_breakout,8415.244805,8415.826571,8387.610921,8411.463326,8411.754209,8429.207188,8407.681847,8416.990103,8416.117454,8398.664475,2018
2018-06-27,08:30:00,bearish_830_to_bullish_breakout,8282.31128,8293.655716,8268.348897,8280.856865,8280.856865,8309.945164,8280.856865,8307.327217,8286.092759,8249.732385,2018
2018-07-13,08:30:00,bullish_830_to_bearish_breakdown,8593.556076,8605.482278,8591.810778,8593.846959,8593.556076,8598.501086,8571.739852,8579.011926,8600.246384,8588.029299,2018
2018-07-19,08:30:00,bullish_830_to_bearish_breakdown,8585.993118,8612.172587,8581.048107,8600.246384,8600.246384,8607.809342,8564.75866,8576.684862,8590.356363,8577.848394,2018
2018-08-06,08:30:00,bearish_830_to_bullish_breakout,8607.809342,8615.081417,8595.592257,8603.155214,8602.864331,8625.844087,8597.91932,8622.935257,8619.153779,8601.700799,2018
2018-08-15,08:30:00,bullish_830_to_bearish_breakdown,8607.809342,8631.370864,8601.700799,8617.990247,8618.28113,8619.444661,8579.593692,8580.175458,8615.3723,8596.755789,2018
2018-08-17,08:30:00,bullish_830_to_bearish_breakdown,8571.158086,8589.483714,8550.796277,8576.103096,8576.103096,8581.33899,8551.959809,8560.104532,8580.466341,8563.595128,2018
2018-08-27,08:30:00,bearish_830_to_bullish_breakout,8762.849974,8773.612644,8747.142293,8758.195846,8757.904963,8777.975889,8754.70525,8774.776176,8766.631453,8760.813793,2018
